# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.246
metadata : {}


# id : NWRW1800000040.246.1.1
전씨 집서 압류된 그림은 ‘이대원 작품’

전씨	전/NNP+씨/NNB
집서	집/NNG+서/JKB
압류된	압류/NNG+되/XSV+ㄴ/ETM
그림은	그림/NNG+은/JX
‘이대원	‘/SS+이대원/NNP
작품’	작품/NNG+’/SS


# id : NWRW1800000040.246.2.1
홍대 총장·예술원 회장 지낸 원로작가

홍대	홍대/NNP
총장·예술원	총장/NNG+·/SP+예술원/NNG
회장	회장/NNG
지낸	지내/VV+ㄴ/ETM
원로작가	원로/NNG+작가/NNG


# id : NWRW1800000040.246.3.1
2011년 낙찰총액 26억…3위 오르기도

2011년	2011/SN+년/NNB
낙찰총액	낙찰/NNG+총액/NNG
26억…3위	26/SN+억/NR+…/SE+3/SN+위/NNB
오르기도	오르/VV+기/ETN+도/JX


# id : NWRW1800000040.246.4.1
검찰이 16일 전두환 전 대통령 일가의 집과 관련 회사들에서 확인한 압수·압류품들 가운데 단연 눈길을 모은 것은 100점 넘는 미술품이었다.

검찰이	검찰/NNG+이/JKS
16일	16/SN+일/NNB
전두환	전두환/NNP
전	전/MMD
대통령	대통령/NNG
일가의	일가/NNG+의/JKG
집과	집/NNG+과/JKB
관련	관련/NNG
회사들에서	회사/NNG+들/XSN+에서/JKB
확인한	확인/NNG+하/XSV+ㄴ/ETM
압수·압류품들	압수/NNG+·/SP+압류품/NNG+들/XSN
가운데	가운데/NNG
단연	단연/MAG
눈길을	눈길/NNG+을/JKO
모은	모으/VV+ㄴ/ETM
것은	것/NNB+은/JX
100점	100/SN+점/NNB
넘는	넘/VV+는/ETM
미술품이었다.	미술품/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.246.4.2
검찰은 압수 미술품의 전체 내역에는 함구했지만, 서울 연희동 전 전 대통령 집에서 압류 딱지를 붙인 이대원(1921~2005) 화백의 200호(200×106㎝)짜리 대작 그림 1점(제목 미상)과 큰아들 재국씨가 운영하는 경기도 연천군 허브빌리지에서 나온 동남아산 불상은 언론에 공개되면서 주목을 받았다.

검찰은	검찰/NNG+은/JX
압수	압수/NNG
미술품의	미술품/NNG+의/JKG
전체	전체/NNG
내역에는	내역/NNG+에/JKB+는/JX
함구했지만,	함구/NNG+하/XSV+았/EP+지만/EC+,/SP
서울	서울/NNP
연희동	연희동/NNP
전	전/MMD
대통령	대통령/NNG
집에서	집/NNG+에서/JKB
압류	압류/NNG
딱지를	딱지/NNG+를/JKO
붙인	붙이/VV+ㄴ/ETM
이대원(1921~2005)	이대원/NNP+(/SS+1921/SN+~/SO+2005/SN+)/SS
화백의	화백/NNG+의/JKG
200호(200×106㎝)짜리	200/SN+호/NNB+(/SS+200/SN+×/SW+106/SN+㎝/SW+)/SS+짜리/XSN
대작	대작/NNG
그림	그림/NNG
1점(제목	1/SN+점/NNB+(/SS+제목/NNG
미상)과	미상/NNG+)/SS+과/JC
큰아들	큰아들/NNG
재국씨가	재국/NNP+씨/NNB+가/JKS
운영하는	운영/NNG+하/XSV+는/ETM
경기도	경기도/NNP
연천군	연천군/NNP
허브빌리지에서	허브빌리지/NNP+에서/JKB
나온	나오/VV+ㄴ/ETM
동남아산	동남아/NNP+산/XSN
불상은	불상/NNG+은/JX
언론에	언론/NNG+에/JKB
공개되면서	공개/NNG+되/XSV+면서/EC
주목을	주목/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.246.5.1
이대원 화백은 홍익대 총장과 대한민국 예술원 회장을 지냈던 원로작가로, 1950~60년대 국내 대표적 화랑이었던 반도화랑을 운영했다.

이대원	이대원/NNP
화백은	화백/NNG+은/JX
홍익대	홍익대/NNP
총장과	총장/NNG+과/JC
대한민국	대한민국/NNP
예술원	예술원/NNG
회장을	회장/NNG+을/JKO
지냈던	지내/VV+었/EP+던/ETM
원로작가로,	원로/NNG+작가/NNG+로/JKB+,/SP
1950~60년대	1950/SN+~/SO+60/SN+년대/NNB
국내	국내/NNG
대표적	대표/NNG+적/XSN
화랑이었던	화랑/NNG+이/VCP+었/EP+던/ETM
반도화랑을	반도화랑/NNG+을/JKO
운영했다.	운영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.246.5.2
원색의 점묘로 과수원, 사과나무, 풀숲 등의 풍경을 즐겨 그렸다.

원색의	원색/NNG+의/JKG
점묘로	점묘/NNG+로/JKB
과수원,	과수원/NNG+,/SP
사과나무,	사과나무/NNG+,/SP
풀숲	풀숲/NNG
등의	등/NNB+의/JKG
풍경을	풍경/NNG+을/JKO
즐겨	즐기/VV+어/EC
그렸다.	그리/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.246.5.3
감각적이고 개성이 뚜렷한 그의 작품들은 미술시장에서 인기가 높다.

감각적이고	감각/NNG+적/XSN+이/VCP+고/EC
개성이	개성/NNG+이/JKS
뚜렷한	뚜렷하/VA+ㄴ/ETM
그의	그/NP+의/JKG
작품들은	작품/NNG+들/XSN+은/JX
미술시장에서	미술/NNG+시장/NNG+에서/JKB
인기가	인기/NNG+가/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000040.246.5.4
유통되는 작품 수량은 1000여점 정도인데, 농원과 나무 등을 그린 70년대 작품들 가운데 10호 이상은 점당 1억원을 넘는다고 한다.

유통되는	유통/NNG+되/XSV+는/ETM
작품	작품/NNG
수량은	수량/NNG+은/JX
1000여점	1000/SN+여/XSN+점/NNB
정도인데,	정도/NNG+이/VCP+ㄴ데/EC+,/SP
농원과	농원/NNG+과/JC
나무	나무/NNG
등을	등/NNB+을/JKO
그린	그리/VV+ㄴ/ETM
70년대	70/SN+년대/NNB
작품들	작품/NNG+들/XSN
가운데	가운데/NNG
10호	10/SN+호/NNB
이상은	이상/NNG+은/JX
점당	점/NNB+당/XSN
1억원을	1/SN+억/NR+원/NNB+을/JKO
넘는다고	넘/VV+는다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.246.5.5
2011년 한국미술시가감정협회의 국내 경매작가별 낙찰총액 순위에서 그의 작품은 26억원의 낙찰총액으로 3위에 오르기도 했다.

2011년	2011/SN+년/NNB
한국미술시가감정협회의	한국미술시가감정협회/NNP+의/JKG
국내	국내/NNG
경매작가별	경매/NNG+작가/NNG+별/XSN
낙찰총액	낙찰/NNG+총액/NNG
순위에서	순위/NNG+에서/JKB
그의	그/NP+의/JKG
작품은	작품/NNG+은/JX
26억원의	26/SN+억/NR+원/NNB+의/JKG
낙찰총액으로	낙찰/NNG+총액/NNG+으로/JKB
3위에	3/SN+위/NNB+에/JKB
오르기도	오르/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.246.5.6
허브빌리지에서 압수된 동남아산 불상은 재국씨가 현지에서 수집한 것으로 알려졌으나, 명품으로 보기는 어렵다는 게 관계자들 이야기다.

허브빌리지에서	허브빌리지/NNP+에서/JKB
압수된	압수/NNG+되/XSV+ㄴ/ETM
동남아산	동남아/NNP+산/XSN
불상은	불상/NNG+은/JX
재국씨가	재국/NNP+씨/NNB+가/JKS
현지에서	현지/NNG+에서/JKB
수집한	수집/NNG+하/XSV+ㄴ/ETM
