# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.222
metadata : {}


# id : NWRW1800000045.222.1.1
양동근 세번째 MVP냐, 라틀리프 용병 첫 수상이냐

양동근	양동근/NNP
세번째	세/MMN+번/NNB+째/XSN
MVP냐,	MVP/SL+이/VCP+냐/EF+,/SP
라틀리프	라틀리프/NNP
용병	용병/NNG
첫	첫/MMN
수상이냐	수상/NNG+이/VCP+냐/EF


# id : NWRW1800000045.222.2.1
최우수선수, 모비스 집안싸움 양, 평균 출전시간 리그 전체 1위… 라틀리프, 득점-리바운드 두자릿수

최우수선수,	최/XPN+우수/NNG+선수/NNG+,/SP
모비스	모비스/NNP
집안싸움	집안싸움/NNG
양,	양/NNG+,/SP
평균	평균/NNG
출전시간	출전/NNG+시간/NNG
리그	리그/NNG
전체	전체/NNG
1위…	1/SN+위/NNB+…/SE
라틀리프,	라틀리프/NNP+,/SP
득점-리바운드	득점/NNG+-/SO+리바운드/NNG
두자릿수	두/MMN+자릿수/NNG


# id : NWRW1800000045.222.3.1
프로농구 정규리그 마감(5일)을 눈앞에 두고 정규리그 최우수선수(MVP)의 향방에 팬들의 눈이 쏠리고 있다.

프로농구	프로/NNG+농구/NNG
정규리그	정규/NNG+리그/NNG
마감(5일)을	마감/NNG+(/SS+5/SN+일/NNB+)/SS+을/JKO
눈앞에	눈앞/NNG+에/JKB
두고	두/VV+고/EC
최우수선수(MVP)의	최/XPN+우수/NNG+선수/NNG+(/SS+MVP/SL+)/SS+의/JKG
향방에	향방/NNG+에/JKB
팬들의	팬/NNG+들/XSN+의/JKG
눈이	눈/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.222.3.2
모비스가 1일 정규리그 우승을 확정하면서 MVP 다툼도 모비스 집안싸움으로 좁혀질 것으로 보인다.

모비스가	모비스/NNP+가/JKS
1일	1/SN+일/NNB
정규리그	정규/NNG+리그/NNG
우승을	우승/NNG+을/JKO
확정하면서	확정/NNG+하/XSV+면서/EC
MVP	MVP/SL
다툼도	다툼/NNG+도/JX
모비스	모비스/NNP
집안싸움으로	집안싸움/NNG+으로/JKB
좁혀질	좁히/VV+어/EC+지/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.222.3.3
프로농구 출범 후 18시즌 동안 정규리그 우승팀에서 MVP가 나오지 않은 건 4번뿐이다.

프로농구	프로/NNG+농구/NNG
출범	출범/NNG
후	후/NNG
