# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.349
metadata : {}


# id : NWRW1800000054.349.1.1
朴대통령, 오늘 취임 4주년… 참모와 오찬도 없을 듯

朴대통령,	朴/SH+대통령/NNG+,/SP
오늘	오늘/NNG
취임	취임/NNG
4주년…	4/SN+주년/NNB+…/SE
참모와	참모/NNG+와/JKB
오찬도	오찬/NNG+도/JX
없을	없/VA+을/ETM
듯	듯/NNB


# id : NWRW1800000054.349.2.1
일정 잡지 않고 탄핵심판 집중… 靑 "하야설 사실 아냐" 또 일축

일정	일정/NNG
잡지	잡/VV+지/EC
않고	않/VX+고/EC
탄핵심판	탄핵/NNG+심판/NNG
집중…	집중/NNG+…/SE
靑	靑/SH
"하야설	"/SS+하야설/NNG
사실	사실/NNG
아냐"	아니/VCN+야/EF+"/SS
또	또/MAG
일축	일축/NNG


# id : NWRW1800000054.349.3.1
박근혜 대통령은 25일 취임 4주년을 맞았다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
25일	25/SN+일/NNB
취임	취임/NNG
4주년을	4/SN+주년/NNB+을/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.349.3.2
박 대통령은 '최순실 사태'로 인해 지난 4년의 공과(功過)를 제대로 평가받기 어려울 뿐 아니라 헌법재판소의 탄핵심판 선고 결과에 따라 임기 5년을 채울 수 있을지 불투명한 상황에 처해 있다.

박	박/NNP
대통령은	대통령/NNG+은/JX
'최순실	'/SS+최순실/NNP
사태'로	사태/NNG+'/SS+로/JKB
인해	인/NNG+하/XSV+아/EC
지난	지나/VV+ㄴ/ETM
4년의	4/SN+년/NNB+의/JKG
공과(功過)를	공과/NNG+(/SS+功過/SH+)/SS+를/JKO
제대로	제대로/MAG
평가받기	평가/NNG+받/XSV+기/ETN
어려울	어렵/VA+ㄹ/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
헌법재판소의	헌법/NNG+재판소/NNG+의/JKG
탄핵심판	탄핵/NNG+심판/NNG
선고	선고/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
임기	임기/NNG
5년을	5/SN+년/NNB+을/JKO
채울	채우/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
불투명한	불/XPN+투명/NNG+하/XSA+ㄴ/ETM
상황에	상황/NNG+에/JKB
처해	처하/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.349.3.3
청와대의 부인에도 정치권에서는 '박 대통령 자진 하야설(說)'도 계속 나오고 있다.

청와대의	청와대/NNP+의/JKG
부인에도	부인/NNG+에/JKB+도/JX
정치권에서는	정치/NNG+권/XSN+에서/JKB+는/JX
'박	'/SS+박/NNP
대통령	대통령/NNG
자진	자진/NNG
하야설(說)'도	하야설/NNG+(/SS+說/SH+)/SS+'/SS+도/JX
계속	계속/MAG
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.349.4.1
청와대 관계자는 24일 "박 대통령은 특별한 일정 없이 취임 4주년을 조용하게 보낼 것"이라며 "자축할 분위기도 아니고 그럴 여력도 없지 않나"라고 했다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
24일	24/SN+일/NNB
"박	"/SS+박/NNP
대통령은	대통령/NNG+은/JX
특별한	특별/NNG+하/XSA+ㄴ/ETM
일정	일정/NNG
없이	없이/MAG
취임	취임/NNG
4주년을	4/SN+주년/NNB+을/JKO
조용하게	조용하/VA+게/EC
보낼	보내/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"자축할	"/SS+자축/NNG+하/XSV+ㄹ/ETM
분위기도	분위기/NNG+도/JX
아니고	아니/VCN+고/EC
그럴	그렇/VA+ㄹ/ETM
여력도	여력/NNG+도/JX
없지	없/VA+지/EC
않나"라고	않/VX+나/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.349.4.2
박 대통령은 참모들과의 오찬 계획 등도 잡지 않은 것으로 알려졌다.

박	박/NNP
대통령은	대통령/NNG+은/JX
참모들과의	참모/NNG+들/XSN+과/JKB+의/JKG
오찬	오찬/NNG
계획	계획/NNG
등도	등/NNB+도/JX
잡지	잡/VV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.349.4.3
박 대통령은 취임 1주년 때인 2014년 2월 25일에는 '경제혁신 3개년 계획' 대국민담화를 발표했고, 2주년 때는 청와대 직원 조회에 참석했었다.

박	박/NNP
대통령은	대통령/NNG+은/JX
취임	취임/NNG
1주년	1/SN+주년/NNB
때인	때/NNG+이/VCP+ㄴ/ETM
2014년	2014/SN+년/NNB
2월	2/SN+월/NNB
25일에는	25/SN+일/NNB+에/JKB+는/JX
'경제혁신	'/SS+경제/NNG+혁신/NNG
3개년	3/SN+개년/NNB
계획'	계획/NNG+'/SS
대국민담화를	대국민/NNG+담화/NNG+를/JKO
발표했고,	발표/NNG+하/XSV+았/EP+고/EC+,/SP
2주년	2/SN+주년/NNB
때는	때/NNG+는/JX
청와대	청와대/NNP
직원	직원/NNG
조회에	조회/NNG+에/JKB
참석했었다.	참석/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000054.349.4.4
작년 3주년 때는 대전 창조경제혁신센터를 찾아 핵심 국정 과제였던 창조경제를 강조했다.

작년	작년/NNG
3주년	3/SN+주년/NNB
때는	때/NNG+는/JX
대전	대전/NNP
창조경제혁신센터를	창조/NNG+경제/NNG+혁신/NNG+센터/NNG+를/JKO
찾아	찾/VV+아/EC
핵심	핵심/NNG
국정	국정/NNG
과제였던	과제/NNG+이/VCP+었/EP+던/ETM
창조경제를	창조/NNG+경제/NNG+를/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.349.4.5
하지만 이번에는 헌법재판소 최종 변론 출석 여부를 점검하는 등 변호인단과 함께 탄핵심판 대비에 집중하면서 보낼 예정이라고 한다.

하지만	하지만/MAJ
이번에는	이번/NNG+에/JKB+는/JX
헌법재판소	헌법/NNG+재판소/NNG
최종	최종/NNG
변론	변론/NNG
출석	출석/NNG
여부를	여부/NNG+를/JKO
점검하는	점검/NNG+하/XSV+는/ETM
등	등/NNB
변호인단과	변호인단/NNG+과/JKB
함께	함께/MAG
탄핵심판	탄핵/NNG+심판/NNG
대비에	대비/NNG+에/JKB
집중하면서	집중/NNG+하/XSV+면서/EC
보낼	보내/VV+ㄹ/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.349.5.1
박 대통령이 탄핵 기로에 서게 되면서 지난 4년간의 국정 평가도 받기 어렵게 됐다.

박	박/NNP
대통령이	대통령/NNG+이/JKS
탄핵	탄핵/NNG
기로에	기로/NNG+에/JKB
서게	서/VV+게/EC
되면서	되/VV+면서/EC
지난	지나/VV+ㄴ/ETM
4년간의	4/SN+년/NNB+간/XSN+의/JKG
국정	국정/NNG
평가도	평가/NNG+도/JX
받기	받/VV+기/ETN
어렵게	어렵/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.349.5.2
한 청와대 참모는 "공무원연금 개혁, 통합진보당 해산, 일관성 있는 대북 정책 등 박근혜 정부가 한 의미 있는 일도 적지 않았는데 탄핵 사태로 그런 걸 내세우기가 어려운 상황이어서 안타깝다"고 했다.

한	하/VV+ㄴ/ETM
청와대	청와대/NNP
참모는	참모/NNG+는/JX
"공무원연금	"/SS+공무원/NNG+연금/NNG
개혁,	개혁/NNG+,/SP
통합진보당	통합진보당/NNP
해산,	해산/NNG+,/SP
일관성	일관/NNG+성/XSN
있는	있/VA+는/ETM
대북	대북/NNG
정책	정책/NNG
등	등/NNB
박근혜	박근혜/NNP
정부가	정부/NNG+가/JKS
의미	의미/NNG
일도	일/NNG+도/JX
적지	적/VA+지/EC
않았는데	않/VX+았/EP+는데/EC
탄핵	탄핵/NNG
사태로	사태/NNG+로/JKB
그런	그런/MMD
걸	거/NNB+ㄹ/JKO
내세우기가	내세우/VV+기/ETN+가/JKS
어려운	어렵/VA+ㄴ/ETM
상황이어서	상황/NNG+이/VCP+어서/EC
안타깝다"고	안타깝/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.349.6.1
박근혜 정부 핵심 실세였던 중요 인물 여러 명이 어려움에 처해 있기도 하다.

박근혜	박근혜/NNP
정부	정부/NNG
핵심	핵심/NNG
실세였던	실세/NNG+이/VCP+었/EP+던/ETM
중요	중요/NNG
인물	인물/NNG
여러	여러/MMN
명이	명/NNB+이/JKS
어려움에	어려움/NNG+에/JKB
처해	처하/VV+아/EC
있기도	있/VX+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000054.349.6.2
김기춘 전 청와대 비서실장, 조윤선 전 문화체육관광부 장관은 이른바 '문화체육계 블랙리스트 의혹'으로 구속됐고, 안종범 전 청와대 정책조정수석과 정호성 전 부속비서관 등도 '최순실 사태'로 구속됐다.

김기춘	김기춘/NNP
전	전/MMD
청와대	청와대/NNP
비서실장,	비서실장/NNG+,/SP
조윤선	조윤선/NNP
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
장관은	장관/NNG+은/JX
이른바	이른바/MAG
'문화체육계	'/SS+문화/NNG+체육/NNG+계/XSN
블랙리스트	블랙리스트/NNG
의혹'으로	의혹/NNG+'/SS+으로/JKB
구속됐고,	구속/NNG+되/XSV+었/EP+고/EC+,/SP
안종범	안종범/NNP
정책조정수석과	정책/NNG+조정/NNG+수석/NNG+과/JC
정호성	정호성/NNP
부속비서관	부속/NNG+비서관/NNG
등도	등/NNB+도/JX
'최순실	'/SS+최순실/NNP
사태'로	사태/NNG+'/SS+로/JKB
구속됐다.	구속/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.349.7.1
취임 4주년을 맞아 하야설이 계속 나오는 데 대해 청와대 관계자는 전날에 이어 이날도 "하야설은 전혀 사실이 아니다. 탄핵 인용을 전제로 하는 하야설은 대통령 흔들기"라고 말했다.

취임	취임/NNG
4주년을	4/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
하야설이	하야설/NNG+이/JKS
계속	계속/MAG
나오는	나오/VV+는/ETM
데	데/NNB
대해	대하/VV+아/EC
청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
전날에	전날/NNG+에/JKB
이어	잇/VV+어/EC
이날도	이날/NNG+도/JX
"하야설은	"/SS+하야설/NNG+은/JX
전혀	전혀/MAG
사실이	사실/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF
탄핵	탄핵/NNG
인용을	인용/NNG+을/JKO
전제로	전제/NNG+로/JKB
하는	하/VV+는/ETM
하야설은	하야설/NNG+은/JX
대통령	대통령/NNG
흔들기"라고	흔들/VV+기/ETN+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


