# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.94
metadata : {}


# id : NWRW1800000026.94.1.1
[굿모닝 CEO] 고영립 화승그룹 회장 "죽기살기로 일했더니 회사도 살고 癌도 물러갑디다"

[굿모닝	[/SS+굿모닝/NNG
CEO]	CEO/SL+]/SS
고영립	고영립/NNP
화승그룹	화승그룹/NNP
회장	회장/NNG
"죽기살기로	"/SS+죽/VV+기/ETN+살/VV+기/ETN+로/JKB
일했더니	일/NNG+하/XSV+았/EP+더니/EC
회사도	회사/NNG+도/JX
살고	살/VV+고/EC
癌도	癌/SH+도/JX
물러갑디다"	물러가/VV+ㅂ디다/EF+"/SS


# id : NWRW1800000026.94.2.1
죽기를 각오하고 일했더니 회사도 살고, 저도 살았죠.

죽기를	죽/VV+기/ETN+를/JKO
각오하고	각오/NNG+하/XSV+고/EC
일했더니	일/NNG+하/XSV+았/EP+더니/EC
회사도	회사/NNG+도/JX
살고,	살/VV+고/EC+,/SP
저도	저/NP+도/JX
살았죠.	살/VV+았/EP+죠/EF+./SF


# id : NWRW1800000026.94.3.1
고영립(60) 화승그룹 회장은 키 187㎝에 몸무게 90㎏대의 거구다.

고영립(60)	고영립/NNP+(/SS+60/SN+)/SS
화승그룹	화승그룹/NNP
회장은	회장/NNG+은/JX
키	키/NNG
187㎝에	187/SN+㎝/SW+에/JKB
몸무게	몸무게/NNG
90㎏대의	90/SN+㎏/SW+대/XSN+의/JKG
거구다.	거구/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.94.3.2
누가 봐도 "참 건장하다"는 느낌을 준다.

누가	누구/NP+가/JKS
봐도	보/VV+아도/EC
"참	"/SS+참/MAG
건장하다"는	건장하/VA+다/EF+"/SS+는/ETM
느낌을	느낌/NNG+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.94.3.3
하지만 IMF 외환위기 직후인 1999년부터 부도난 회사를 살려낼 최고경영자(CEO)를 맡아 몇년 동안 밤낮으로 뛰어다녔을 때는 그도 탈진 상태가 됐다.

하지만	하지만/MAJ
IMF	IMF/SL
외환위기	외환/NNG+위기/NNG
직후인	직후/NNG+이/VCP+ㄴ/ETM
1999년부터	1999/SN+년/NNB+부터/JX
부도난	부도나/VV+ㄴ/ETM
회사를	회사/NNG+를/JKO
살려낼	살리/VV+어/EC+내/VX+ㄹ/ETM
최고경영자(CEO)를	최고/NNG+경영자/NNG+(/SS+CEO/SL+)/SS+를/JKO
맡아	맡/VV+아/EC
몇년	몇/NR+년/NNB
동안	동안/NNG
밤낮으로	밤낮/NNG+으로/JKB
뛰어다녔을	뛰어다니/VV+었/EP+을/ETM
때는	때/NNG+는/JX
그도	그/NP+도/JX
탈진	탈진/NNG
상태가	상태/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.94.4.1
화승은 신발 브랜드 '르까프'로 잘 알려진 회사.

화승은	화승/NNP+은/JX
신발	신발/NNG
브랜드	브랜드/NNG
'르까프'로	'/SS+르까프/NNP+'/SS+로/JKB
잘	잘/MAG
알려진	알려지/VV+ㄴ/ETM
회사.	회사/NNG+./SF


# id : NWRW1800000026.94.4.2
그는 "거의 매일 밤 12시까지 일하다 아침 회의 때 코피를 쏟은 게 한두 번이 아니었다"고 했다.

그는	그/NP+는/JX
"거의	"/SS+거의/MAG
매일	매일/MAG
밤	밤/NNG
12시까지	12/SN+시/NNB+까지/JX
일하다	일/NNG+하/XSV+다/EC
아침	아침/NNG
회의	회의/NNG
때	때/NNG
코피를	코피/NNG+를/JKO
쏟은	쏟/VV+은/ETM
게	거/NNB+이/JKS
한두	한두/MMN
번이	번/NNB+이/JKC
아니었다"고	아니/VCN+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.94.5.1
코피가 안 멎어 병원에 실려간 날도 있었다.

코피가	코피/NNG+가/JKS
안	안/MAG
멎어	멎/VV+어/EC
병원에	병원/NNG+에/JKB
실려간	실리/VV+어/EC+가/VV+ㄴ/ETM
날도	날/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.94.5.2
과로와 스트레스 때문인지 2004년 8월 왼쪽 겨드랑이 밑에서 피부암이 발견됐다.

과로와	과로/NNG+와/JC
스트레스	스트레스/NNG
때문인지	때문/NNB+이/VCP+ㄴ지/EC
2004년	2004/SN+년/NNB
8월	8/SN+월/NNB
왼쪽	왼쪽/NNG
겨드랑이	겨드랑이/NNG
밑에서	밑/NNG+에서/JKB
피부암이	피부암/NNG+이/JKS
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.94.5.3
3기 말기였다.

3기	3/SN+기/NNG
말기였다.	말기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.94.5.4
체구가 크다는 이유로 보통 사람보다 2배나 많은 항암제로 방사선 치료를 받아 고통스러웠지만 치료 중에도 회사 일을 챙겼다.

체구가	체구/NNG+가/JKS
크다는	크/VA+다는/ETM
이유로	이유/NNG+로/JKB
보통	보통/NNG
사람보다	사람/NNG+보다/JKB
2배나	2/SN+배/NNG+나/JX
많은	많/VA+은/ETM
항암제로	항암제/NNG+로/JKB
방사선	방사선/NNG
치료를	치료/NNG+를/JKO
받아	받/VV+아/EC
고통스러웠지만	고통/NNG+스럽/XSA+었/EP+지만/EC
치료	치료/NNG
중에도	중/NNB+에/JKB+도/JX
회사	회사/NNG
일을	일/NNG+을/JKO
챙겼다.	챙기/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.94.5.5
"일에 매달려 잡념이 사라져서 그런지 암세포가 힘을 못 쓴 것 같아요."

"일에	"/SS+일/NNG+에/JKB
매달려	매달리/VV+어/EC
잡념이	잡념/NNG+이/JKS
사라져서	사라지/VV+어서/EC
그런지	그렇/VA+ㄴ지/EC
암세포가	암세포/NNG+가/JKS
힘을	힘/NNG+을/JKO
못	못/MAG
쓴	쓰/VV+ㄴ/ETM
것	것/NNB
같아요."	같/VA+아요/EF+./SF+"/SS


# id : NWRW1800000026.94.6.1
1998년 화의(和議)에 들어갔던 화승은 2005년 1월 화의에서 벗어났다.

1998년	1998/SN+년/NNB
화의(和議)에	화의/NNG+(/SS+和議/SH+)/SS+에/JKB
들어갔던	들어가/VV+았/EP+던/ETM
화승은	화승/NNP+은/JX
2005년	2005/SN+년/NNB
1월	1/SN+월/NNB
화의에서	화의/NNG+에서/JKB
벗어났다.	벗어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.94.6.2
1998년 8400억원이던 그룹 매출은 지난해 2조6000억원으로 늘었다.

1998년	1998/SN+년/NNB
8400억원이던	8400/SN+억/NR+원/NNB+이/VCP+던/ETM
그룹	그룹/NNG
매출은	매출/NNG+은/JX
지난해	지난해/NNG
2조6000억원으로	2/SN+조/NR+6000/SN+억/NR+원/NNB+으로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.94.7.1
