# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.368
metadata : {}


# id : NWRW1800000053.368.1.1
[단독]“北 핵실험장 갱도 붕괴”… 中, 동북지역 방사능오염 초긴장

[단독]“北	[/SS+단독/NNG+]/SS+“/SS+北/SH
핵실험장	핵/NNG+실험장/NNG
갱도	갱도/NNG
붕괴”…	붕괴/NNG+”/SS+…/SE
中,	中/SH+,/SP
동북지역	동북/NNG+지역/NNG
방사능오염	방사능/NNG+오염/NNG
초긴장	초/XPN+긴장/NNG


# id : NWRW1800000053.368.2.1
[北 6차 핵실험 후폭풍]풍계리, 北中접경서 100km 거리 핵실험 갱도 노출땐 환경재앙 우려 中당국, 24시간 방사능 수치 조사 “영향없다” 발표에도 주민들 공포 中연구팀 “북핵 폭발력 108kt” 한국 국방부 발표보다 2배이상 커

[北	[/SS+北/SH
6차	6/SN+차/NNB
핵실험	핵/NNG+실험/NNG
후폭풍]풍계리,	후폭풍/NNG+]/SS+풍계리/NNP+,/SP
北中접경서	北中/SH+접경/NNG+서/JKB
100km	100/SN+km/SW
거리	거리/NNG
갱도	갱도/NNG
노출땐	노출/NNG+때/NNG+ㄴ/JX
환경재앙	환경/NNG+재앙/NNG
우려	우려/NNG
中당국,	中/SH+당국/NNG+,/SP
24시간	24/SN+시간/NNB
방사능	방사능/NNG
수치	수치/NNG
조사	조사/NNG
“영향없다”	“/SS+영향/NNG+없/VA+다/EF+”/SS
발표에도	발표/NNG+에/JKB+도/JX
주민들	주민/NNG+들/XSN
공포	공포/NNG
中연구팀	中/SH+연구/NNG+팀/NNG
“북핵	“/SS+북핵/NNG
폭발력	폭발력/NNG
108kt”	108/SN+kt/SW+”/SS
한국	한국/NNP
국방부	국방부/NNG
발표보다	발표/NNG+보다/JKB
2배이상	2/SN+배/NNG+이상/NNG
커	크/VA+어/EF


# id : NWRW1800000053.368.3.1
중국 정부가 북한의 6차 핵실험 여파로 인한 함경북도 길주군 풍계리 핵실험장의 붕괴 및 방사능 누출 가능성과 중국 동북지방에 미칠 영향에 촉각을 곤두세우면서 5일 북-중 접경지역 방사능 유출 여부 검사를 이례적으로 전면 강화한 것으로 확인됐다.

중국	중국/NNP
정부가	정부/NNG+가/JKS
북한의	북한/NNP+의/JKG
6차	6/SN+차/NNB
핵실험	핵/NNG+실험/NNG
여파로	여파/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
함경북도	함경북도/NNP
길주군	길주군/NNP
풍계리	풍계리/NNP
핵실험장의	핵/NNG+실험장/NNG+의/JKG
붕괴	붕괴/NNG
및	및/MAG
방사능	방사능/NNG
누출	누출/NNG
가능성과	가능/NNG+성/XSN+과/JC
동북지방에	동북/NNG+지방/NNG+에/JKB
미칠	미치/VV+ㄹ/ETM
영향에	영향/NNG+에/JKB
촉각을	촉각/NNG+을/JKO
곤두세우면서	곤두세우/VV+면서/EC
5일	5/SN+일/NNB
북-중	북-중/NNP
접경지역	접경/NNG+지역/NNG
유출	유출/NNG
여부	여부/NNG
검사를	검사/NNG+를/JKO
이례적으로	이례/NNG+적/XSN+으로/JKB
전면	전면/NNG
강화한	강화/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.368.3.2
외교 소식통은 “핵실험장 갱도가 무너지면서 2차 지진이 발생했다”고 전했다.

외교	외교/NNG
소식통은	소식통/NNG+은/JX
“핵실험장	“/SS+핵/NNG+실험장/NNG
갱도가	갱도/NNG+가/JKS
무너지면서	무너지/VV+면서/EC
2차	2/SN+차/NNB
지진이	지진/NNG+이/JKS
발생했다”고	발생/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.368.3.3
중국은 방사능 누출에 따른 중국 동북지방의 오염을 북핵에 대한 사실상의 ‘레드라인’으로 설정한 바 있다.

중국은	중국/NNP+은/JX
방사능	방사능/NNG
누출에	누출/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
중국	중국/NNP
동북지방의	동북/NNG+지방/NNG+의/JKG
오염을	오염/NNG+을/JKO
북핵에	북핵/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사실상의	사실/NNG+상/XSN+의/JKG
‘레드라인’으로	‘/SS+레드/NNG+라인/NNG+’/SS+으로/JKB
설정한	설정/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.368.4.1
중국 환경보호부는 이날 “북-중 접경지역 전역에서 24시간 조사 방식으로 방사능 환경 조사를 전면 강화했다”며 “북-중 접경지역의 민감 지역에서 (공기 중 방사선량 조사뿐 아니라) 음용 수원지, 지표수, 지하수, 토양의 방사선량까지 조사 분석했다”고 밝혔다.

중국	중국/NNP
환경보호부는	환경/NNG+보호부/NNG+는/JX
이날	이날/NNG
“북-중	“/SS+북-중/NNP
접경지역	접경/NNG+지역/NNG
전역에서	전역/NNG+에서/JKB
24시간	24/SN+시간/NNB
조사	조사/NNG
방식으로	방식/NNG+으로/JKB
방사능	방사능/NNG
환경	환경/NNG
조사를	조사/NNG+를/JKO
전면	전면/NNG
강화했다”며	강화/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
접경지역의	접경/NNG+지역/NNG+의/JKG
민감	민감/NNG
지역에서	지역/NNG+에서/JKB
(공기	(/SS+공기/NNG
중	중/NNB
방사선량	방사선량/NNG
조사뿐	조사/NNG+뿐/JX
아니라)	아니/VCN+라/EC+)/SS
음용	음용/NNG
수원지,	수원지/NNG+,/SP
지표수,	지표수/NNG+,/SP
지하수,	지하수/NNG+,/SP
