# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.203
metadata : {}


# id : NWRW1800000041.203.1.1
[휴지통]‘지문의 기억’… 4년만에 덜미잡힌 택시강도

[휴지통]‘지문의	[/SS+휴지통/NNG+]/SS+‘/SS+지문/NNG+의/JKG
기억’…	기억/NNG+’/SS+…/SE
4년만에	4/SN+년/NNB+만/NNB+에/JKB
덜미잡힌	덜미/NNG+잡히/VV+ㄴ/ETM
택시강도	택시/NNG+강도/NNG


# id : NWRW1800000041.203.2.1
당시 주민증 없는 미성년이라 미궁 경찰 최근 재감정… 일당 4명 검거

당시	당시/NNG
주민증	주민증/NNG
없는	없/VA+는/ETM
미성년이라	미/XPN+성년/NNG+이/VCP+라/EC
미궁	미궁/NNG
경찰	경찰/NNG
최근	최근/MAG
재감정…	재/XPN+감정/NNG+…/SE
일당	일당/NNG
4명	4/SN+명/NNB
검거	검거/NNG


# id : NWRW1800000041.203.3.1
2010년 4월 11일 오전 1시 50분경.

2010년	2010/SN+년/NNB
4월	4/SN+월/NNB
11일	11/SN+일/NNB
오전	오전/NNG
1시	1/SN+시/NNB
50분경.	50/SN+분/NNB+경/XSN+./SF


# id : NWRW1800000041.203.3.2
가출카페에서 만난 이모 씨(당시 25세·무직)와 가출 청소년 정모, 조모, 이모 군 등 4명은 서울 중구 신당동 지하철 약수역에서 주위를 두리번거리다 택시 한 대를 탔다.

가출카페에서	가출/NNG+카페/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
이모	이/NNP+모/NP
씨(당시	씨/NNB+(/SS+당시/NNG
25세·무직)와	25/SN+세/NNB+·/SP+무직/NNG+)/SS+와/JC
가출	가출/NNG
청소년	청소년/NNG
정모,	정/NNP+모/NP+,/SP
조모,	조/NNP+모/NP+,/SP
군	군/NNB
등	등/NNB
4명은	4/SN+명/NNB+은/JX
서울	서울/NNP
중구	중구/NNP
신당동	신당동/NNP
지하철	지하철/NNG
약수역에서	약수역/NNP+에서/JKB
주위를	주위/NNG+를/JKO
두리번거리다	두리번거리/VV+다/EC
택시	택시/NNG
한	한/MMN
대를	대/NNB+를/JKO
탔다.	타/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.203.3.3
목적지는 종암동 개운산 스포츠센터.

목적지는	목적지/NNG+는/JX
종암동	종암동/NNP
개운산	개운산/NNP
스포츠센터.	스포츠/NNG+센터/NNG+./SF


# id : NWRW1800000041.203.3.4
목적지에 도착하자 이들은 갑자기 강도로 돌변했다.

목적지에	목적지/NNG+에/JKB
도착하자	도착/NNG+하/XSV+자/EC
이들은	이/NP+들/XSN+은/JX
갑자기	갑자기/MAG
강도로	강도/NNG+로/JKB
돌변했다.	돌변/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.203.3.5
뒷좌석에 앉아 있던 이 씨는 운전석에 앉아 있던 택시기사 최모 씨(당시 55세)의 목을 졸라 기절시켰다.

뒷좌석에	뒷좌석/NNG+에/JKB
앉아	앉/VV+아/EC
있던	있/VX+던/ETM
이	이/NNP
씨는	씨/NNB+는/JX
운전석에	운전석/NNG+에/JKB
택시기사	택시/NNG+기사/NNG
최모	최/NNP+모/NP
씨(당시	씨/NNB+(/SS+당시/NNG
55세)의	55/SN+세/NNB+)/SS+의/JKG
목을	목/NNG+을/JKO
졸라	조르/VV+아/EC
기절시켰다.	기절/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.203.3.6
이 틈을 타 나머지 가출 청소년들은 재빨리 최 씨가 가지고 있던 돈을 빼앗아 달아났다.

이	이/MMD
틈을	틈/NNG+을/JKO
타	타/VV+아/EC
나머지	나머지/NNG
가출	가출/NNG
청소년들은	청소년/NNG+들/XSN+은/JX
재빨리	재빨리/MAG
최	최/NNP
씨가	씨/NNB+가/JKS
가지고	가지/VV+고/EC
있던	있/VX+던/ETM
돈을	돈/NNG+을/JKO
빼앗아	빼앗/VV+아/EC
달아났다.	달아나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.203.3.7
이들이 최 씨로부터 빼앗은 돈은 3만6000원.

이들이	이/NP+들/XSN+이/JKS
최	최/NNP
씨로부터	씨/NNB+로부터/JKB
빼앗은	빼앗/VV+은/ETM
돈은	돈/NNG+은/JX
3만6000원.	3/SN+만/NR+6000/SN+원/NNB+./SF


# id : NWRW1800000041.203.3.8
이 돈으로 그들은 편의점에서 빵과 우유 등을 사 먹었다.

이	이/MMD
돈으로	돈/NNG+으로/JKB
그들은	그/NP+들/XSN+은/JX
편의점에서	편의점/NNG+에서/JKB
빵과	빵/NNG+과/JC
우유	우유/NNG
등을	등/NNB+을/JKO
사	사/VV+아/EC
먹었다.	먹/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.203.4.1
그로부터 4년여 후인 2014년 5월 19일.

그로부터	그/NP+로부터/JKB
4년여	4/SN+년/NNB+여/XSN
후인	후/NNG+이/VCP+ㄴ/ETM
2014년	2014/SN+년/NNB
5월	5/SN+월/NNB
19일.	19/SN+일/NNB+./SF


# id : NWRW1800000041.203.4.2
대학생이 된 정 씨는 경찰에 붙잡혔다.

대학생이	대학/NNG+생/XSN+이/JKC
된	되/VV+ㄴ/ETM
정	정/NNP
씨는	씨/NNB+는/JX
경찰에	경찰/NNG+에/JKB
붙잡혔다.	붙잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.203.4.3
영구 미제로 남을 뻔한 사건의 해결 실마리는 바로 당시 현장 택시 손잡이와 유리에 남아 있던 정 씨와 조 씨의 지문.

영구	영구/NNG
미제로	미제/NNG+로/JKB
남을	남/VV+을/ETM
뻔한	뻔/NNB+하/XSA+ㄴ/ETM
사건의	사건/NNG+의/JKG
해결	해결/NNG
실마리는	실마리/NNG+는/JX
바로	바로/MAG
당시	당시/NNG
현장	현장/NNG
택시	택시/NNG
손잡이와	손잡이/NNG+와/JC
유리에	유리/NNG+에/JKB
남아	남/VV+아/EC
있던	있/VX+던/ETM
정	정/NNP
씨와	씨/NNB+와/JC
조	조/NNP
씨의	씨/NNB+의/JKG
지문.	지문/NNG+./SF


