# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.11
metadata : {}


# id : NWRW1800000021.11.1.1
印尼 여객선 침몰 200여명 실종

印尼	印尼/SH
여객선	여객선/NNG
침몰	침몰/NNG
200여명	200/SN+여/XSN+명/NNB
실종	실종/NNG


# id : NWRW1800000021.11.2.1
11일 인도네시아 술라웨시 섬 앞바다에서 승객 250여 명과 승무원 17명을 태운 여객선이 거친 파도에 휩쓸려 침몰해 200여 명이 실종됐다.

11일	11/SN+일/NNB
인도네시아	인도네시아/NNP
술라웨시	술라웨시/NNP
섬	섬/NNG
앞바다에서	앞바다/NNG+에서/JKB
승객	승객/NNG
250여	250/SN+여/XSN
명과	명/NNB+과/JC
승무원	승무원/NNG
17명을	17/SN+명/NNB+을/JKO
태운	태우/VV+ㄴ/ETM
여객선이	여객선/NNG+이/JKS
거친	거칠/VA+ㄴ/ETM
파도에	파도/NNG+에/JKB
휩쓸려	휩쓸리/VV+어/EC
침몰해	침몰/NNG+하/XSV+아/EC
200여	200/SN+여/XSN
명이	명/NNB+이/JKS
실종됐다.	실종/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.11.3.1
AP통신에 따르면 700t급 규모의 여객선 ‘테라타이 프리마’호는 10일 밤 술라웨시 섬 파레파레 항을 출발해 동칼리만탄 주 사마린다로 향하던 중 11일 새벽 술라웨시 섬에서 50km 떨어진 해상에서 침몰했다.

AP통신에	AP통신/NNP+에/JKB
따르면	따르/VV+면/EC
700t급	700/SN+t/SW+급/NNG
규모의	규모/NNG+의/JKG
여객선	여객선/NNG
‘테라타이	‘/SS+테라타이/NNP
프리마’호는	프리마/NNP+’/SS+호/NA+는/JX
10일	10/SN+일/NNB
밤	밤/NNG
술라웨시	술라웨시/NNP
섬	섬/NNG
파레파레	파레파레/NNP
항을	항/NNG+을/JKO
출발해	출발/NNG+하/XSV+아/EC
동칼리만탄	동칼리만탄/NNP
주	주/NNG
사마린다로	사마린다/NNP+로/JKB
향하던	향하/VV+던/ETM
중	중/NNB
11일	11/SN+일/NNB
새벽	새벽/NNG
섬에서	섬/NNG+에서/JKB
50km	50/SN+km/SW
떨어진	떨어지/VV+ㄴ/ETM
해상에서	해상/NNG+에서/JKB
침몰했다.	침몰/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.11.3.2
침몰 직전 여객선은 “폭풍을 맞았다”는 무선을 보냈으며 오전 2시경 연락이 끊겼다고 항만 관계자는 전했다.

침몰	침몰/NNG
직전	직전/NNG
여객선은	여객선/NNG+은/JX
“폭풍을	“/SS+폭풍/NNG+을/JKO
맞았다”는	맞/VV+았/EP+다/EF+”/SS+는/ETM
무선을	무선/NNG+을/JKO
보냈으며	보내/VV+었/EP+으며/EC
오전	오전/NNG
2시경	2/SN+시/NNB+경/XSN
연락이	연락/NNG+이/JKS
끊겼다고	끊기/VV+었/EP+다고/EC
항만	항만/NNG
관계자는	관계자/NNG+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.11.4.1
승객과 승무원 등 18명은 3개의 구명보트를 타고 표류하다 부근을 지나던 어선에 의해 구조됐으나 나머지 탑승객의 생사는 확인되지 않고 있다.

승객과	승객/NNG+과/JC
승무원	승무원/NNG
등	등/NNB
18명은	18/SN+명/NNB+은/JX
3개의	3/SN+개/NNB+의/JKG
구명보트를	구명보트/NNG+를/JKO
타고	타/VV+고/EC
표류하다	표류/NNG+하/XSV+다/EC
부근을	부근/NNG+을/JKO
지나던	지나/VV+던/ETM
어선에	어선/NNG+에/JKB
의해	의하/VV+아/EC
구조됐으나	구조/NNG+되/XSV+었/EP+으나/EC
나머지	나머지/NNG
탑승객의	탑승객/NNG+의/JKG
생사는	생사/NNG+는/JX
확인되지	확인/NNG+되/XSV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.11.5.1
항만 관계자는 “구조대원들이 실종자들을 찾고 있지만 악천후로 수색에 어려움을 겪고 있다”고 말했다.

항만	항만/NNG
관계자는	관계자/NNG+는/JX
“구조대원들이	“/SS+구조대원/NNG+들/XSN+이/JKS
실종자들을	실종자/NNG+들/XSN+을/JKO
찾고	찾/VV+고/EC
있지만	있/VX+지만/EC
악천후로	악천후/NNG+로/JKB
수색에	수색/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.11.5.2
한 생존자는 현지 방송과의 인터뷰에서 “침몰 직전 4m 높이의 파도가 여객선을 강타했다”고 당시 상황을 설명했다.

한	한/MMN
생존자는	생존자/NNG+는/JX
현지	현지/NNG
방송과의	방송/NNG+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“침몰	“/SS+침몰/NNG
직전	직전/NNG
4m	4/SN+m/SW
높이의	높이/NNG+의/JKG
파도가	파도/NNG+가/JKS
여객선을	여객선/NNG+을/JKO
강타했다”고	강타/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
당시	당시/NNG
상황을	상황/NNG+을/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


