# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.66
metadata : {}


# id : NWRW1800000037.66.1.1
[함께가는 기업들]‘마음톡톡’ 예술 치료를 통한 사회공헌

[함께가는	[/SS+함께/MAG+가/VV+는/ETM
기업들]‘마음톡톡’	기업/NNG+들/XSN+]/SS+‘/SS+마음/NNG+톡톡/MAG+’/SS
예술	예술/NNG
치료를	치료/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
사회공헌	사회/NNG+공헌/NNG


# id : NWRW1800000037.66.2.1
GS칼텍스는 ‘에너지로 나누는 아름다운 세상’을 슬로건으로 사회공헌활동을 벌이고 있다.

GS칼텍스는	GS칼텍스/NNP+는/JX
‘에너지로	‘/SS+에너지/NNG+로/JKB
나누는	나누/VV+는/ETM
아름다운	아름답/VA+ㄴ/ETM
세상’을	세상/NNG+’/SS+을/JKO
슬로건으로	슬로건/NNG+으로/JKB
사회공헌활동을	사회/NNG+공헌/NNG+활동/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.66.2.2
이 회사는 2005년 사회공헌 전담팀을 발족한 뒤 주요 생산설비가 있는 전남 여수지역을 중심으로 다양한 사업을 펼쳐왔다.

이	이/MMD
회사는	회사/NNG+는/JX
2005년	2005/SN+년/NNB
사회공헌	사회/NNG+공헌/NNG
전담팀을	전담/NNG+팀/NNG+을/JKO
발족한	발족/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
주요	주요/NNG
생산설비가	생산/NNG+설비/NNG+가/JKS
있는	있/VA+는/ETM
전남	전남/NNP
여수지역을	여수/NNP+지역/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
사업을	사업/NNG+을/JKO
펼쳐왔다.	펼치/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.66.2.3
대표적인 사례가 여수의 문화예술공원 ‘예울마루’ 조성 사업이다.

대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
사례가	사례/NNG+가/JKS
여수의	여수/NNP+의/JKG
문화예술공원	문화/NNG+예술/NNG+공원/NNG
‘예울마루’	‘/SS+예울마루/NNP+’/SS
조성	조성/NNG
