# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.82
metadata : {}


# id : NWRW1800000021.82.1.1
필립스, LG디스플레이 지분 전량 매각

필립스,	필립스/NNP+,/SP
LG디스플레이	LG디스플레이/NNP
지분	지분/NNG
전량	전량/NNG
매각	매각/NNG


# id : NWRW1800000021.82.2.1
네덜란드 필립스는 11일 홈페이지를 통해 LG디스플레이의 잔여 보유 지분 13.2%(4722만5000주) 전량을 매각했다고 밝혔다.

네덜란드	네덜란드/NNP
필립스는	필립스/NNP+는/JX
11일	11/SN+일/NNB
홈페이지를	홈페이지/NNG+를/JKO
통해	통하/VV+아/EC
LG디스플레이의	LG디스플레이/NNP+의/JKG
잔여	잔여/NNG
보유	보유/NNG
지분	지분/NNG
13.2%(4722만5000주)	13/SN+./SP+2/SN+%/SW+(/SS+4722/SN+만/NR+5000/SN+주/NNG+)/SS
전량을	전량/NNG+을/JKO
매각했다고	매각/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.82.2.2
11일 종가인 2만7700원보다 조금 낮은 2만5500원과 2만6000원 사이에서 매각이 이뤄져 전체 매각대금은 6억3000만 유로(약 1조3100억 원)에 이른다.

11일	11/SN+일/NNB
종가인	종가/NNG+이/VCP+ㄴ/ETM
2만7700원보다	2/SN+만/NR+7700/SN+원/NNB+보다/JKB
조금	조금/MAG
낮은	낮/VA+은/ETM
2만5500원과	2/SN+만/NR+5500/SN+원/NNB+과/JC
2만6000원	2/SN+만/NR+6000/SN+원/NNB
사이에서	사이/NNG+에서/JKB
매각이	매각/NNG+이/JKS
이뤄져	이뤄지/VV+어/EC
전체	전체/NNG
매각대금은	매각/NNG+대금/NNG+은/JX
6억3000만	6/SN+억/NR+3000/SN+만/NR
유로(약	유로/NNB+(/SS+약/MMA
1조3100억	1/SN+조/NR+3100/SN+억/NR
원)에	원/NNB+)/SS+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.82.3.1
필립스는 1999년 설립된 LG필립스LCD의 주식 32.9%를 보유하고 공동 경영체제를 유지하다 2004년부터 보유 지분을 점진적으로 낮춰왔다.

필립스는	필립스/NNP+는/JX
1999년	1999/SN+년/NNB
설립된	설립/NNG+되/XSV+ㄴ/ETM
LG필립스LCD의	LG필립스LCD/NNP+의/JKG
주식	주식/NNG
32.9%를	32/SN+./SP+9/SN+%/SW+를/JKO
보유하고	보유/NNG+하/XSV+고/EC
공동	공동/NNG
경영체제를	경영/NNG+체제/NNG+를/JKO
유지하다	유지/NNG+하/XSV+다/EC
2004년부터	2004/SN+년/NNB+부터/JX
보유	보유/NNG
지분을	지분/NNG+을/JKO
점진적으로	점진/NNG+적/XSN+으로/JKB
낮춰왔다.	낮추/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.82.3.2
LG필립스LCD는 지난해 2월부터는 아예 LG디스플레이로 사명을 바꾸면서 LG 단독경영 체제로 재편됐다.

LG필립스LCD는	LG필립스LCD/NNP+는/JX
지난해	지난해/NNG
2월부터는	2/SN+월/NNB+부터/JX+는/JX
아예	아예/MAG
LG디스플레이로	LG디스플레이/NNP+로/JKB
사명을	사명/NNG+을/JKO
바꾸면서	바꾸/VV+면서/EC
LG	LG/SL
단독경영	단독/NNG+경영/NNG
체제로	체제/NNG+로/JKB
재편됐다.	재편/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.82.4.1
LG디스플레이는 “양사는 지분 매각과 상관없이 액정표시장치(LCD) 관련 사업 분야에서 전략적인 고객과 공급사로 협력 관계를 지속 발전시켜 갈 것”이라고 밝혔다.

LG디스플레이는	LG디스플레이/NNP+는/JX
“양사는	“/SS+양/MMN+사/NNG+는/JX
지분	지분/NNG
매각과	매각/NNG+과/JKB
상관없이	상관없이/MAG
액정표시장치(LCD)	액정/NNG+표시/NNG+장치/NNG+(/SS+LCD/SL+)/SS
관련	관련/NNG
사업	사업/NNG
분야에서	분야/NNG+에서/JKB
전략적인	전략/NNG+적/XSN+이/VCP+ㄴ/ETM
고객과	고객/NNG+과/JKB
공급사로	공급사/NNG+로/JKB
협력	협력/NNG
관계를	관계/NNG+를/JKO
지속	지속/NNG
발전시켜	발전/NNG+시키/XSV+어/EC
갈	가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


