# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.8
metadata : {}


# id : NWRW1800000032.8.1.1
한덕수, 부동산 PF대출 ‘물꼬’ 트고 윤증현, ‘8·8클럽’ 법인대출 늘려줘

한덕수,	한덕수/NNP+,/SP
부동산	부동산/NNG
PF대출	PF/SL+대출/NNG
‘물꼬’	‘/SS+물꼬/NNG+’/SS
트고	트/VV+고/EC
윤증현,	윤증현/NNP+,/SP
‘8·8클럽’	‘/SS+8/SN+·/SP+8/SN+클럽/NNG+’/SS
법인대출	법인/NNG+대출/NNG
늘려줘	늘리/VV+어/EC+주/VX+어/EF


# id : NWRW1800000032.8.2.1
저축은행 부실 키운 금융당국 책임자는…

저축은행	저축/NNG+은행/NNG
부실	부실/NNG
키운	키우/VV+ㄴ/ETM
금융당국	금융/NNG+당국/NNG
책임자는…	책임자/NNG+는/JX+…/SE


# id : NWRW1800000032.8.3.1
뱅크런(대량 예금인출) 현상까지 빚어지고 있는 이번 저축은행 사태는 문제가 생길 때마다 원칙적인 해결 대신 미봉책으로 일관한 정부 당국의 책임이라는 지적이 나오고 있다.

뱅크런(대량	뱅크/NNG+런/NNG+(/SS+대량/NNG
예금인출)	예금/NNG+인출/NNG+)/SS
현상까지	현상/NNG+까지/JX
빚어지고	빚어지/VV+고/EC
있는	있/VX+는/ETM
이번	이번/NNG
저축은행	저축/NNG+은행/NNG
사태는	사태/NNG+는/JX
문제가	문제/NNG+가/JKS
생길	생기/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
원칙적인	원칙/NNG+적/XSN+이/VCP+ㄴ/ETM
해결	해결/NNG
대신	대신/NNG
미봉책으로	미봉책/NNG+으로/JKB
일관한	일관/NNG+하/XSV+ㄴ/ETM
정부	정부/NNG
당국의	당국/NNG+의/JKG
책임이라는	책임/NNG+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.8.3.2
우리나라는 아직 ‘정책 실명제’가 정착돼 있지 않은 상황이지만, 이번 사태와 관련해 만약 책임을 묻는다면 누구에게 물어야 할까?

우리나라는	우리나라/NNG+는/JX
아직	아직/MAG
‘정책	‘/SS+정책/NNG
실명제’가	실명/NNG+제/XSN+’/SS+가/JKS
정착돼	정착/NNG+되/XSV+어/EC
있지	있/VX+지/EC
않은	않/VX+은/ETM
상황이지만,	상황/NNG+이/VCP+지만/EC+,/SP
이번	이번/NNG
사태와	사태/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
만약	만약/MAG
책임을	책임/NNG+을/JKO
묻는다면	묻/VV+는다면/EC
누구에게	누구/NP+에게/JKB
물어야	묻/VV+어야/EC
할까?	하/VX+ㄹ까/EF+?/SF


# id : NWRW1800000032.8.4.1
저축은행 역사에서 첫번째 변곡점은 상호신용금고의 이름을 상호저축은행으로 변경해준 지난 2000년이다.

저축은행	저축/NNG+은행/NNG
역사에서	역사/NNG+에서/JKB
첫번째	첫/MMN+번/NNB+째/XSN
변곡점은	변곡점/NNG+은/JX
상호신용금고의	상호/NNG+신용/NNG+금고/NNG+의/JKG
이름을	이름/NNG+을/JKO
상호저축은행으로	상호/NNG+저축/NNG+은행/NNG+으로/JKB
변경해준	변경/NNG+하/XSV+아/EC+주/VX+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
2000년이다.	2000/SN+년/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.8.4.2
외환위기 이후 상호신용금고가 대거 부실에 빠지면서 ‘상호신용금고=부실금융’이라는 이미지가 강해지자 관련 업계는 이름을 바꿔줄 것을 정부에 요청했다.

외환위기	외환/NNG+위기/NNG
이후	이후/NNG
상호신용금고가	상호/NNG+신용/NNG+금고/NNG+가/JKS
대거	대거/MAG
부실에	부실/NNG+에/JKB
빠지면서	빠지/VV+면서/EC
‘상호신용금고=부실금융’이라는	‘/SS+상호/NNG+신용/NNG+금고/NNG+=/SW+부실/NNG+금융/NNG+’/SS+이/VCP+라는/ETM
이미지가	이미지/NNG+가/JKS
강해지자	강하/VA+아/EC+지/VX+자/EC
관련	관련/NNG
업계는	업계/NNG+는/JX
이름을	이름/NNG+을/JKO
바꿔줄	바꾸/VV+어/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
정부에	정부/NNG+에/JKB
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.8.4.3
은행이라는 이름을 얻게 된 저축은행들은 이전보다 훨씬 공격적인 영업을 시작하게 된다.

은행이라는	은행/NNG+이/VCP+라는/ETM
이름을	이름/NNG+을/JKO
얻게	얻/VV+게/EC
된	되/VV+ㄴ/ETM
저축은행들은	저축/NNG+은행/NNG+들/XSN+은/JX
이전보다	이전/NNG+보다/JKB
훨씬	훨씬/MAG
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
영업을	영업/NNG+을/JKO
시작하게	시작/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.8.4.4
당시 법안을 마련했던 재정경제부(현 기획재정부) 장관은 진념 현 삼정케이피엠지 고문이었다.

당시	당시/NNG
법안을	법안/NNG+을/JKO
마련했던	마련/NNG+하/XSV+았/EP+던/ETM
재정경제부(현	재정/NNG+경제부/NNG+(/SS+현/MMD
기획재정부)	기획/NNG+재정부/NNG+)/SS
장관은	장관/NNG+은/JX
