# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.397
metadata : {}


# id : NWRW1800000037.397.1.1
[수도권]남한산성 갈까, 남양주 수종사로 갈까

[수도권]남한산성	[/SS+수도/NNG+권/XSN+]/SS+남한산성/NNP
갈까,	가/VV+ㄹ까/EF+,/SP
남양주	남양주/NNP
수종사로	수종사/NNP+로/JKB
갈까	가/VV+ㄹ까/EF


# id : NWRW1800000037.397.2.1
가볼 만한 ‘한가위 달맞이 명소 7곳’

가볼	가/VV+아/EC+보/VX+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
‘한가위	‘/SS+한가위/NNG
달맞이	달맞이/NNG
명소	명소/NNG
7곳’	7/SN+곳/NNG+’/SS


# id : NWRW1800000037.397.3.1
풍요로움과 넉넉함의 상징인 한가위 보름달을 온 가족이 함께 바라보는 것은 명절날 또 하나의 큰 즐거움이다.

풍요로움과	풍요/NNG+롭/XSA+ㅁ/ETN+과/JC
넉넉함의	넉넉하/VA+ㅁ/ETN+의/JKG
상징인	상징/NNG+이/VCP+ㄴ/ETM
한가위	한가위/NNG
보름달을	보름달/NNG+을/JKO
온	온/MMN
가족이	가족/NNG+이/JKS
함께	함께/MAG
바라보는	바라보/VV+는/ETM
것은	것/NNB+은/JX
명절날	명절날/NNG
또	또/MAG
하나의	하나/NR+의/JKG
큰	크/VA+ㄴ/ETM
즐거움이다.	즐거움/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.397.3.2
휘영청 둥근 보름달을 제대로 즐길 수 있는 경기도의 달맞이 명소 7곳을 소개한다.

휘영청	휘영청/MAG
둥근	둥글/VA+ㄴ/ETM
보름달을	보름달/NNG+을/JKO
제대로	제대로/MAG
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
경기도의	경기도/NNP+의/JKG
달맞이	달맞이/NNG
명소	명소/NNG
7곳을	7/SN+곳/NNG+을/JKO
소개한다.	소개/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.397.4.1
