# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.328
metadata : {}


# id : NWRW1800000033.328.1.1
정부, 美서 시호크헬기 8대-하푼미사일 18기 10억달러상당 도입 추진

정부,	정부/NNG+,/SP
美서	美/SH+서/JKB
시호크헬기	시호크/NNP+헬기/NNG
8대-하푼미사일	8/SN+대/NNB+-/SO+하푼/NNP+미사일/NNG
18기	18/SN+기/NNB
10억달러상당	10/SN+억/NR+달러/NNB+상당/NNG
도입	도입/NNG
추진	추진/NNG


# id : NWRW1800000033.328.2.1
美국방부, 의회에 검토요청… 방사청 “10월에 기종 결정”

美국방부,	美/SH+국방부/NNG+,/SP
의회에	의회/NNG+에/JKB
검토요청…	검토/NNG+요청/NNG+…/SE
방사청	방사청/NNG
“10월에	“/SS+10/SN+월/NNB+에/JKB
기종	기종/NNG
결정”	결정/NNG+”/SS


# id : NWRW1800000033.328.3.1
정부가 미국으로부터 10억 달러(약 1조1700억 원) 상당의 시호크 헬기 8대와 하푼 미사일 18기를 도입하는 방안을 추진하고 있다.

정부가	정부/NNG+가/JKS
미국으로부터	미국/NNP+으로부터/JKB
10억	10/SN+억/NR
달러(약	달러/NNB+(/SS+약/MMA
1조1700억	1/SN+조/NR+1700/SN+억/NR
원)	원/NNB+)/SS
상당의	상당/NNG+의/JKG
시호크	시호크/NNP
헬기	헬기/NNG
8대와	8/SN+대/NNB+와/JC
하푼	하푼/NNP
미사일	미사일/NNG
18기를	18/SN+기/NNB+를/JKO
도입하는	도입/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.328.4.1
미 국방부 국방안전협력국은 최근 MH-60R 시호크 다목적 헬리콥터 8대를 한국에 수출하는 방안에 대해 검토해 줄 것을 미 연방의회에 요청했다고 24일(현지 시간) 밝혔다.

미	미/NNP
국방부	국방부/NNG
국방안전협력국은	국방안전협력국/NNP+은/JX
최근	최근/MAG
MH-60R	MH/SL+-/SO+60/SN+R/SL
시호크	시호크/NNP
다목적	다목적/NNG
헬리콥터	헬리콥터/NNG
8대를	8/SN+대/NNB+를/JKO
한국에	한국/NNP+에/JKB
수출하는	수출/NNG+하/XSV+는/ETM
방안에	방안/NNG+에/JKB
대해	대하/VV+아/EC
검토해	검토/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
연방의회에	연방/NNG+의회/NNG+에/JKB
요청했다고	요청/NNG+하/XSV+았/EP+다고/EC
24일(현지	24/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.328.5.1
미 국방부는 한국 정부가 8대의 다중임무 시호크 헬기와 18대의 T-700 엔진 및 관련 부품, 통신장비, 전자전시스템, 훈련장비 및 서비스 등의 구매를 타진해 와 대외군사매각(FMS) 방식으로 수출을 추진하게 됐다고 밝혔다.

미	미/NNP
국방부는	국방부/NNG+는/JX
한국	한국/NNP
정부가	정부/NNG+가/JKS
8대의	8/SN+대/NNB+의/JKG
다중임무	다중/NNG+임무/NNG
시호크	시호크/NNP
헬기와	헬기/NNG+와/JC
18대의	18/SN+대/NNB+의/JKG
T-700	T/SL+-/SO+700/SN
엔진	엔진/NNG
및	및/MAG
관련	관련/NNG
부품,	부품/NNG+,/SP
통신장비,	통신/NNG+장비/NNG+,/SP
전자전시스템,	전자전/NNG+시스템/NNG+,/SP
훈련장비	훈련/NNG+장비/NNG
서비스	서비스/NNG
등의	등/NNB+의/JKG
구매를	구매/NNG+를/JKO
타진해	타진/NNG+하/XSV+아/EC
와	오/VX+아/EC
대외군사매각(FMS)	대외/NNG+군사/NNG+매각/NNG+(/SS+FMS/SL+)/SS
방식으로	방식/NNG+으로/JKB
수출을	수출/NNG+을/JKO
추진하게	추진/NNG+하/XSV+게/EC
됐다고	되/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.328.5.2
금액은 10억 달러에 이르는 것으로 알려졌다.

금액은	금액/NNG+은/JX
10억	10/SN+억/NR
달러에	달러/NNB+에/JKB
이르는	이르/VV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.328.5.3
FMS는 미 정부가 품질보증한 무기나 군사장비를 외국에 수출할 때 적용하는 정부 간 직거래 계약제도로 군수업체를 대신해 물자를 넘겨주면 해당 국가가 나중에 비용을 지급한다.

FMS는	FMS/SL+는/JX
미	미/NNP
정부가	정부/NNG+가/JKS
품질보증한	품질/NNG+보증/NNG+하/XSV+ㄴ/ETM
무기나	무기/NNG+나/JC
군사장비를	군사/NNG+장비/NNG+를/JKO
외국에	외국/NNG+에/JKB
수출할	수출/NNG+하/XSV+ㄹ/ETM
때	때/NNG
적용하는	적용/NNG+하/XSV+는/ETM
정부	정부/NNG
간	간/NNB
직거래	직거래/NNG
계약제도로	계약/NNG+제도/NNG+로/JKB
군수업체를	군수업체/NNG+를/JKO
대신해	대신/NNG+하/XSV+아/EC
물자를	물자/NNG+를/JKO
넘겨주면	넘겨주/VV+면/EC
해당	해당/NNG
국가가	국가/NNG+가/JKS
나중에	나중/NNG+에/JKB
비용을	비용/NNG+을/JKO
지급한다.	지급/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.328.5.4
기술 정보는 제공되지 않으며 수출 때 미 의회의 승인과 통제를 받는다.

기술	기술/NNG
정보는	정보/NNG+는/JX
제공되지	제공/NNG+되/XSV+지/EC
않으며	않/VX+으며/EC
수출	수출/NNG
때	때/NNG
미	미/NNP
의회의	의회/NNG+의/JKG
승인과	승인/NNG+과/JC
통제를	통제/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000033.328.6.1
항공모함과 순양함, 구축함, 프리깃함 등에 배치돼 해상작전을 수행하는 MH-60R 시호크는 대잠수함 공격과 탐색, 구조에 수송 및 후송까지 가능한 다중임무 헬기로 어뢰와 미사일 기관포, 로켓 등을 탑재하고 있다.

항공모함과	항공/NNG+모함/NNG+과/JC
순양함,	순양함/NNG+,/SP
구축함,	구축함/NNG+,/SP
프리깃함	프리깃함/NNG
등에	등/NNB+에/JKB
배치돼	배치/NNG+되/XSV+어/EC
해상작전을	해상/NNG+작전/NNG+을/JKO
수행하는	수행/NNG+하/XSV+는/ETM
MH-60R	MH/SL+-/SO+60/SN+R/SL
시호크는	시호크/NNP+는/JX
대잠수함	대잠수함/NNG
공격과	공격/NNG+과/JC
탐색,	탐색/NNG+,/SP
구조에	구조/NNG+에/JKB
수송	수송/NNG
및	및/MAG
후송까지	후송/NNG+까지/JX
가능한	가능/NNG+하/XSA+ㄴ/ETM
다중임무	다중/NNG+임무/NNG
헬기로	헬기/NNG+로/JKB
어뢰와	어뢰/NNG+와/JC
미사일	미사일/NNG
기관포,	기관포/NNG+,/SP
로켓	로켓/NNG
등을	등/NNB+을/JKO
탑재하고	탑재/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.328.6.2
주요 계약업체는 시코르스키, 록히드마틴, 제너럴일렉트릭(GE) 등이다.

주요	주요/NNG
계약업체는	계약/NNG+업체/NNG+는/JX
시코르스키,	시코르스키/NNP+,/SP
록히드마틴,	록히드마틴/NNP+,/SP
제너럴일렉트릭(GE)	제너럴일렉트릭/NNP+(/SS+GE/SL+)/SS
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.328.7.1
이어 미 국방부는 한국 정부가 8400만 달러에 상당하는 18기의 UGM-84L 하푼 블록Ⅱ 미사일과 유도통제장치(GCU) 등 관련 장비와 서비스 구매도 의뢰했다고 밝혔다.

이어	이어/MAG
미	미/NNP
국방부는	국방부/NNG+는/JX
한국	한국/NNP
정부가	정부/NNG+가/JKS
8400만	8400/SN+만/NR
달러에	달러/NNB+에/JKB
상당하는	상당/NNG+하/XSA+는/ETM
18기의	18/SN+기/NNB+의/JKG
UGM-84L	UGM/SL+-/SO+84/SN+L/SL
하푼	하푼/NNP
블록Ⅱ	블록/NNG+Ⅱ/SL
미사일과	미사일/NNG+과/JC
유도통제장치(GCU)	유도/NNG+통제/NNG+장치/NNG+(/SS+GCU/SL+)/SS
등	등/NNB
관련	관련/NNG
장비와	장비/NNG+와/JC
서비스	서비스/NNG
구매도	구매/NNG+도/JX
의뢰했다고	의뢰/NNG+하/XSV+았/EP+다고/EC
