# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.38
metadata : {}


# id : NWRW1800000026.38.1.1
[수도권I] 경기도 '사랑 온도계' 최고치 경신;목표액 130억 훨씬 상회

[수도권I]	[/SS+수도/NNG+권/XSN+I/SL+]/SS
경기도	경기도/NNP
'사랑	'/SS+사랑/NNG
온도계'	온도계/NNG+'/SS
최고치	최고/NNG+치/XSN
경신;목표액	경신/NNG+;/SW+목표액/NNG
130억	130/SN+억/NR
훨씬	훨씬/MAG
상회	상회/NNG


# id : NWRW1800000026.38.2.1
경기도사회복지공동모금회가 지난해 12월부터 이달 말까지 진행 중인 '희망2010나눔캠페인' 통해 153억원을 모금해 '사랑의 체감온도탑'이 117도를 기록했다.

경기도사회복지공동모금회가	경기도사회복지공동모금회/NNP+가/JKS
지난해	지난해/NNG
12월부터	12/SN+월/NNB+부터/JX
이달	이달/NNG
말까지	말/NNB+까지/JX
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
'희망2010나눔캠페인'	'/SS+희망/NNG+2010/SN+나누/VV+ㅁ/ETN+캠페인/NNG+'/SS
통해	통하/VV+아/EC
153억원을	153/SN+억/NR+원/NNB+을/JKO
모금해	모금/NNG+하/XSV+아/EC
'사랑의	'/SS+사랑/NNG+의/JKG
체감온도탑'이	체감/NNG+온도/NNG+탑/NNG+'/SS+이/JKS
117도를	117/SN+도/NNB+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.38.2.2
모금회에 따르면 올해 모금액은 지난해보다 31억원이 더 많이 걷혀 '희망나눔캠페인'을 시작한 1998년 이래 최고치를 기록했고, 목표치인 130억원을 훌쩍 넘겼다.

모금회에	모금회/NNG+에/JKB
따르면	따르/VV+면/EC
올해	올해/NNG
모금액은	모금액/NNG+은/JX
지난해보다	지난해/NNG+보다/JKB
31억원이	31/SN+억/NR+원/NNB+이/JKS
더	더/MAG
많이	많이/MAG
걷혀	걷히/VV+어/EC
'희망나눔캠페인'을	'/SS+희망/NNG+나누/VV+ㅁ/ETN+캠페인/NNG+'/SS+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
1998년	1998/SN+년/NNB
이래	이래/NNB
최고치를	최고/NNG+치/XSN+를/JKO
기록했고,	기록/NNG+하/XSV+았/EP+고/EC+,/SP
목표치인	목표/NNG+치/XSN+이/VCP+ㄴ/ETM
130억원을	130/SN+억/NR+원/NNB+을/JKO
훌쩍	훌쩍/MAG
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.38.2.3
기부 유형별로는 기업 기부가 지난해보다 42% 증가한 64억3000만원, 개인 기부가 28% 늘어난 42억8000만원을 기록했다.

기부	기부/NNG
유형별로는	유형/NNG+별/XSN+로/JKB+는/JX
기업	기업/NNG
기부가	기부/NNG+가/JKS
지난해보다	지난해/NNG+보다/JKB
42%	42/SN+%/SW
증가한	증가/NNG+하/XSV+ㄴ/ETM
64억3000만원,	64/SN+억/NR+3000/SN+만/NR+원/NNB+,/SP
개인	개인/NNG
28%	28/SN+%/SW
늘어난	늘어나/VV+ㄴ/ETM
42억8000만원을	42/SN+억/NR+8000/SN+만/NR+원/NNB+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.38.2.4
도 모금회 관계자는 "지난해보다 경제 상황이 나아졌고 무한돌봄사업 성금도 많이 걷혀 일찌감치 목표액을 달성할 수 있었다"며 "소액이지만 모금에 참여하는 국민이 해마다 늘고 있다"고 설명했다.

도	도/NNG
모금회	모금회/NNG
관계자는	관계자/NNG+는/JX
"지난해보다	"/SS+지난해/NNG+보다/JKB
경제	경제/NNG
상황이	상황/NNG+이/JKS
나아졌고	나아지/VV+었/EP+고/EC
무한돌봄사업	무한/NNG+돌봄/NNG+사업/NNG
성금도	성금/NNG+도/JX
많이	많이/MAG
걷혀	걷히/VV+어/EC
일찌감치	일찌감치/MAG
목표액을	목표액/NNG+을/JKO
달성할	달성/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다"며	있/VA+었/EP+다/EF+"/SS+며/EC
"소액이지만	"/SS+소액/NNG+이/VCP+지만/EC
모금에	모금/NNG+에/JKB
참여하는	참여/NNG+하/XSV+는/ETM
국민이	국민/NNG+이/JKS
해마다	해마다/MAG
늘고	늘/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.38.3.1
모금회는 지난해 1월부터 12월까지 1년간 모금한 금액은 284억8000만원으로, 이 역시 목표액인 200억원을 훨씬 웃돌았다.

모금회는	모금회/NNG+는/JX
지난해	지난해/NNG
1월부터	1/SN+월/NNB+부터/JX
12월까지	12/SN+월/NNB+까지/JX
1년간	1/SN+년/NNB+간/XSN
모금한	모금/NNG+하/XSV+ㄴ/ETM
금액은	금액/NNG+은/JX
284억8000만원으로,	284/SN+억/NR+8000/SN+만/NR+원/NNB+으로/JKB+,/SP
이	이/NP
역시	역시/MAG
목표액인	목표액/NNG+이/VCP+ㄴ/ETM
200억원을	200/SN+억/NR+원/NNB+을/JKO
훨씬	훨씬/MAG
웃돌았다.	웃돌/VV+았/EP+다/EF+./SF


