# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.171
metadata : {}


# id : NWRW1800000026.171.1.1
['천안함 北소행' 후폭풍] "北 작전국이 침투, 정찰국이 무기 담당";국방부 정보본부장 "천안함, 정찰총국 소행"

['천안함	[/SS+'/SS+천안함/NNP
北소행'	北/SH+소행/NNG+'/SS
후폭풍]	후폭풍/NNG+]/SS
"北	"/SS+北/SH
작전국이	작전국/NNG+이/JKS
침투,	침투/NNG+,/SP
정찰국이	정찰국/NNG+이/JKS
무기	무기/NNG
담당";국방부	담당/NNG+"/SS+;/SW+국방부/NNG
정보본부장	정보/NNG+본부장/NNG
"천안함,	"/SS+천안함/NNP+,/SP
정찰총국	정찰/NNG+총국/NNG
소행"	소행/NNG+"/SS


# id : NWRW1800000026.171.2.1
황원동(중장) 국방부 정보본부장은 21일 천안함 폭침(爆沈)과 관련, "북한은 작년 초 노동당 대남 공작부서 등을 통합해 정찰총국을 개편했다"며 "모든 자료를 분석한 결과, 북한의 정찰총국이 주도했다는 명확한 결론을 얻지 못했지만 과거 아웅산 테러, 대한항공 폭파 전례로 정찰총국 가능성이 큰 것으로 보고 있다"고 말했다.

황원동(중장)	황원동/NNP+(/SS+중장/NNG+)/SS
국방부	국방부/NNG
정보본부장은	정보/NNG+본부장/NNG+은/JX
21일	21/SN+일/NNB
천안함	천안함/NNP
폭침(爆沈)과	폭침/NNG+(/SS+爆沈/SH+)/SS+과/JKB
관련,	관련/NNG+,/SP
"북한은	"/SS+북한/NNP+은/JX
작년	작년/NNG
초	초/NNB
노동당	노동당/NNP
대남	대남/NNG
공작부서	공작/NNG+부서/NNG
등을	등/NNB+을/JKO
통합해	통합/NNG+하/XSV+아/EC
정찰총국을	정찰/NNG+총국/NNG+을/JKO
개편했다"며	개편/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"모든	"/SS+모든/MMN
자료를	자료/NNG+를/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
북한의	북한/NNP+의/JKG
정찰총국이	정찰/NNG+총국/NNG+이/JKS
주도했다는	주도/NNG+하/XSV+았/EP+다는/ETM
명확한	명확하/VA+ㄴ/ETM
결론을	결론/NNG+을/JKO
얻지	얻/VV+지/EC
못했지만	못하/VX+았/EP+지만/EC
과거	과거/NNG
아웅산	아웅산/NNP
테러,	테러/NNG+,/SP
대한항공	대한항공/NNP
폭파	폭파/NNG
전례로	전례/NNG+로/JKB
정찰총국	정찰/NNG+총국/NNG
가능성이	가능/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.171.2.2
정부 소식통도 이날 "(천안함을 공격한) 연어급(130t급) 잠수정은 북한 해군이 아니라 정찰총국이 주로 보유하고 있다"고 밝혀, 정찰총국을 범인으로 지목했다.

정부	정부/NNG
소식통도	소식통/NNG+도/JX
이날	이날/NNG
"(천안함을	"/SS+(/SS+천안함/NNP+을/JKO
공격한)	공격/NNG+하/XSV+ㄴ/ETM+)/SS
연어급(130t급)	연어급/NNG+(/SS+130/SN+t/SW+급/NNG+)/SS
잠수정은	잠수정/NNG+은/JX
북한	북한/NNP
해군이	해군/NNG+이/JKC
아니라	아니/VCN+라/EC
정찰총국이	정찰/NNG+총국/NNG+이/JKS
주로	주로/MAG
보유하고	보유/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
밝혀,	밝히/VV+어/EC+,/SP
정찰총국을	정찰/NNG+총국/NNG+을/JKO
범인으로	범인/NNG+으로/JKB
지목했다.	지목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.171.2.3
최근 정보당국의 고위 관계자는 "정찰총국의 ○국○처 소행"이라는 말까지 했다.

최근	최근/MAG
정보당국의	정보/NNG+당국/NNG+의/JKG
고위	고위/NNG
관계자는	관계자/NNG+는/JX
"정찰총국의	"/SS+정찰/NNG+총국/NNG+의/JKG
○국○처	○/SW+국/NNG+○/SW+처/NNG
소행"이라는	소행/NNG+"/SS+이/VCP+라는/ETM
말까지	말/NNG+까지/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.171.3.1
정통한 북한 소식통에 따르면 정찰총국은 모두 6개국(局)으로 구성됐다.

정통한	정통/NNG+하/XSV+ㄴ/ETM
북한	북한/NNP
소식통에	소식통/NNG+에/JKB
