# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.13
metadata : {}


# id : NWRW1800000028.13.1.1
유럽, 조력발전소 건설 ‘밀물’

유럽,	유럽/NNP+,/SP
조력발전소	조력/NNG+발전소/NNG
건설	건설/NNG
‘밀물’	‘/SS+밀물/NNG+’/SS


# id : NWRW1800000028.13.2.1
영국 등 유럽국가들이 조수간만의 차이를 이용한 조력발전소 건설을 본격화하고 있다.

영국	영국/NNP
등	등/NNB
유럽국가들이	유럽/NNP+국가/NNG+들/XSN+이/JKS
조수간만의	조수/NNG+간만/NNG+의/JKG
차이를	차이/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
조력발전소	조력/NNG+발전소/NNG
건설을	건설/NNG+을/JKO
본격화하고	본격/NNG+화/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.13.3.1
영국은 잉글랜드와 웨일스 사이를 흐르는 영국 최대의 세번강 하류에 200억파운드(약 36조원) 예산의 조력발전소를 건설해 영국 전력생산의 5%인 최대 8.6GW(평균 2GW)를 생산한다는 계획을 추진중이라고 <슈피겔>이 최근 보도했다.

영국은	영국/NNP+은/JX
잉글랜드와	잉글랜드/NNP+와/JC
웨일스	웨일스/NNP
사이를	사이/NNG+를/JKO
흐르는	흐르/VV+는/ETM
영국	영국/NNP
최대의	최대/NNG+의/JKG
세번강	세번강/NNP
하류에	하류/NNG+에/JKB
200억파운드(약	200/SN+억/NR+파운드/NNB+(/SS+약/MMA
36조원)	36/SN+조/NR+원/NNB+)/SS
예산의	예산/NNG+의/JKG
조력발전소를	조력/NNG+발전소/NNG+를/JKO
건설해	건설/NNG+하/XSV+아/EC
전력생산의	전력/NNG+생산/NNG+의/JKG
5%인	5/SN+%/SW+이/VCP+ㄴ/ETM
최대	최대/NNG
8.6GW(평균	8/SN+./SP+6/SN+GW/SW+(/SS+평균/NNG
2GW)를	2/SN+GW/SW+)/SS+를/JKO
생산한다는	생산/NNG+하/XSV+ㄴ다는/ETM
계획을	계획/NNG+을/JKO
추진중이라고	추진/NNG+중/NNB+이/VCP+라고/EC
<슈피겔>이	</SS+슈피겔/NNP+>/SS+이/JKS
최근	최근/MAG
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.13.3.2
최대 15m, 평균 7.8m에 달하는 간만의 차이를 이용하기 위해 16.7㎞ 길이의 댐을 쌓고, 댐 아래쪽에 지름 9m 크기의 40㎿ 용량의 터빈 216개를 설치한다는 계획이다.

최대	최대/NNG
15m,	15/SN+m/SW+,/SP
평균	평균/NNG
7.8m에	7/SN+./SP+8/SN+m/SW+에/JKB
달하는	달하/VV+는/ETM
간만의	간만/NNG+의/JKG
차이를	차이/NNG+를/JKO
이용하기	이용/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
16.7㎞	16/SN+./SP+7/SN+㎞/SW
길이의	길이/NNG+의/JKG
댐을	댐/NNG+을/JKO
쌓고,	쌓/VV+고/EC+,/SP
댐	댐/NNG
아래쪽에	아래쪽/NNG+에/JKB
지름	지름/NNG
9m	9/SN+m/SW
크기의	크기/NNG+의/JKG
40㎿	40/SN+㎿/SW
용량의	용량/NNG+의/JKG
터빈	터빈/NNG
216개를	216/SN+개/NNB+를/JKO
설치한다는	설치/NNG+하/XSV+ㄴ다는/ETM
