# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.92
metadata : {}


# id : NWRW1800000037.92.1.1
[CAR]아우디 창작 디자인 공모에 도전하세요

[CAR]아우디	[/SS+CAR/SL+]/SS+아우디/NNP
창작	창작/NNG
디자인	디자인/NNG
공모에	공모/NNG+에/JKB
도전하세요	도전/NNG+하/XSV+시/EP+어요/EF


# id : NWRW1800000037.92.2.1
아우디코리아는 다음달 21일부터 29일까지 아우디 브랜드와 철학이 담긴 창작 디자인을 공모하는 ‘아우디 디자인 챌린지’ 공모전을 연다.

아우디코리아는	아우디코리아/NNP+는/JX
다음달	다음/NNG+달/NNG
21일부터	21/SN+일/NNB+부터/JX
29일까지	29/SN+일/NNB+까지/JX
아우디	아우디/NNP
브랜드와	브랜드/NNG+와/JC
철학이	철학/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
창작	창작/NNG
디자인을	디자인/NNG+을/JKO
공모하는	공모/NNG+하/XSV+는/ETM
‘아우디	‘/SS+아우디/NNP
디자인	디자인/NNG
챌린지’	챌린지/NNG+’/SS
공모전을	공모전/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.92.2.2
뮤직, ‘코스무비’(Course Movie·드라이빙 코스 소개 영상), 액세서리, 가구 등 4개 분야에서 아우디가 추구하는 가치를 반영한 창작 디자인을 발굴하는 공모전이다.

뮤직,	뮤직/NNG+,/SP
‘코스무비’(Course	‘/SS+코스/NNG+무비/NNG+’/SS+(/SS+Course/SL
Movie·드라이빙	Movie/SL+·/SP+드라이빙/NNG
코스	코스/NNG
소개	소개/NNG
영상),	영상/NNG+)/SS+,/SP
액세서리,	액세서리/NNG+,/SP
가구	가구/NNG
등	등/NNB
4개	4/SN+개/NNB
분야에서	분야/NNG+에서/JKB
아우디가	아우디/NNP+가/JKS
추구하는	추구/NNG+하/XSV+는/ETM
가치를	가치/NNG+를/JKO
반영한	반영/NNG+하/XSV+ㄴ/ETM
창작	창작/NNG
디자인을	디자인/NNG+을/JKO
발굴하는	발굴/NNG+하/XSV+는/ETM
공모전이다.	공모전/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.92.2.3
뮤직 부문은 장르 제한이 없다.

뮤직	뮤직/NNG
부문은	부문/NNG+은/JX
장르	장르/NNG
제한이	제한/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000037.92.2.4
코스무비는 아우디 자동차를 타는 사람들을 위한 드라이빙 코스를 영상으로 풀어내면 된다.

코스무비는	코스/NNG+무비/NNG+는/JX
아우디	아우디/NNP
자동차를	자동차/NNG+를/JKO
타는	타/VV+는/ETM
사람들을	사람/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
드라이빙	드라이빙/NNG
코스를	코스/NNG+를/JKO
영상으로	영상/NNG+으로/JKB
