# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.24
metadata : {}


# id : NWRW1800000021.24.1.1
[연극 리뷰]극단 신기루만화경의 ‘설공찬전’

[연극	[/SS+연극/NNG
리뷰]극단	리뷰/NNG+]/SS+극단/NNG
신기루만화경의	신기루만화경/NNP+의/JKG
‘설공찬전’	‘/SS+설공찬전/NNP+’/SS


# id : NWRW1800000021.24.2.1
1997년 한글소설본이 발견돼 ‘홍길동전’을 밀어내고 최초의 한글소설 자리를 꿰찬 ‘설공찬전’은 조선 중종조에 이미 금서(禁書)가 된 작품이다.

1997년	1997/SN+년/NNB
한글소설본이	한글/NNG+소설본/NNG+이/JKS
발견돼	발견/NNG+되/XSV+어/EC
‘홍길동전’을	‘/SS+홍길동전/NNP+’/SS+을/JKO
밀어내고	밀어내/VV+고/EC
최초의	최초/NNG+의/JKG
한글소설	한글/NNG+소설/NNG
자리를	자리/NNG+를/JKO
꿰찬	꿰차/VV+ㄴ/ETM
‘설공찬전’은	‘/SS+설공찬전/NNP+’/SS+은/JX
조선	조선/NNP
중종조에	중종조/NNG+에/JKB
이미	이미/MAG
금서(禁書)가	금서/NNG+(/SS+禁書/SH+)/SS+가/JKC
된	되/VV+ㄴ/ETM
작품이다.	작품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.24.2.2
명분은 혹세무민하는 혼백의 세계를 다뤘다는 것이었다.

명분은	명분/NNG+은/JX
혹세무민하는	혹세무민/NNG+하/XSV+는/ETM
혼백의	혼백/NNG+의/JKG
세계를	세계/NNG+를/JKO
다뤘다는	다루/VV+었/EP+다는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.24.2.3
저승세계를 소개하면서 현실 권력을 매섭게 풍자한 대목이 연산군을 몰아내고 권력을 잡은 중종 시대 권력층의 역린을 건드렸기 때문이다.

저승세계를	저승/NNG+세계/NNG+를/JKO
소개하면서	소개/NNG+하/XSV+면서/EC
현실	현실/NNG
권력을	권력/NNG+을/JKO
매섭게	매섭/VA+게/EC
풍자한	풍자/NNG+하/XSV+ㄴ/ETM
대목이	대목/NNG+이/JKS
연산군을	연산군/NNP+을/JKO
몰아내고	몰아내/VV+고/EC
잡은	잡/VV+은/ETM
중종	중종/NNP
시대	시대/NNG
권력층의	권력/NNG+층/XSN+의/JKG
역린을	역린/NNG+을/JKO
건드렸기	건드리/VV+었/EP+기/ETN
