# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.353
metadata : {}


# id : NWRW1800000026.353.1.1
[수도권] 동탄~서울역 등 '광역 급행' 7개 노선 추가;내달 중순부터 운행 예정

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
동탄~서울역	동탄/NNP+~/SO+서울역/NNP
등	등/NNB
'광역	'/SS+광역/NNG
급행'	급행/NNG+'/SS
7개	7/SN+개/NNB
노선	노선/NNG
추가;내달	추가/NNG+;/SW+내달/NNG
중순부터	중순/NNG+부터/JX
운행	운행/NNG
예정	예정/NNG


# id : NWRW1800000026.353.2.1
오는 11월 중순부터 수도권 광역급행버스 7개 노선이 추가로 운행을 시작한다.

오는	오/VV+는/ETM
11월	11/SN+월/NNB
중순부터	중순/NNG+부터/JX
수도권	수도/NNG+권/XSN
광역급행버스	광역/NNG+급행/NNG+버스/NNG
7개	7/SN+개/NNB
노선이	노선/NNG+이/JKS
추가로	추가/NNG+로/JKB
운행을	운행/NNG+을/JKO
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.353.3.1
국토해양부는 26일 수원 영통~서울역(경기고속), 동탄~서울역(대원고속), 안산 단원구~여의도(경원여객), 인천 논현~강남역(〃), 파주 운정~서울역(신성교통), 고양 정발산~강남역(대원고속), 고양 중산~여의도(〃) 구간 등 광역급행버스 노선 7개를 새로 지정하고 사업자를 선정했다고 밝혔다.

국토해양부는	국토/NNG+해양부/NNG+는/JX
26일	26/SN+일/NNB
수원	수원/NNP
영통~서울역(경기고속),	영통/NNP+~/SO+서울역/NNP+(/SS+경기고속/NNP+)/SS+,/SP
동탄~서울역(대원고속),	동탄/NNP+~/SO+서울역/NNP+(/SS+대원고속/NNP+)/SS+,/SP
안산	안산/NNP
단원구~여의도(경원여객),	단원구/NNP+~/SO+여의도/NNP+(/SS+경원여객/NNP+)/SS+,/SP
인천	인천/NNP
논현~강남역(〃),	논현/NNP+~/SO+강남역/NNP+(/SS+〃/SS+)/SS+,/SP
파주	파주/NNP
운정~서울역(신성교통),	운정/NNP+~/SO+서울역/NNP+(/SS+신성교통/NNP+)/SS+,/SP
고양	고양/NNP
정발산~강남역(대원고속),	정발산/NNP+~/SO+강남역/NNP+(/SS+대원고속/NNP+)/SS+,/SP
중산~여의도(〃)	중산/NNP+~/SO+여의도/NNP+(/SS+〃/SS+)/SS
구간	구간/NNG
등	등/NNB
광역급행버스	광역/NNG+급행/NNG+버스/NNG
노선	노선/NNG
7개를	7/SN+개/NNB+를/JKO
새로	새로/MAG
지정하고	지정/NNG+하/XSV+고/EC
사업자를	사업자/NNG+를/JKO
선정했다고	선정/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.353.3.2
이번에 지정된 노선은 인가·면허 절차를 거쳐 11월 중순부터 운행을 시작할 예정이다.

이번에	이번/NNG+에/JKB
지정된	지정/NNG+되/XSV+ㄴ/ETM
노선은	노선/NNG+은/JX
인가·면허	인가/NNG+·/SP+면허/NNG
절차를	절차/NNG+를/JKO
거쳐	거치/VV+어/EC
11월	11/SN+월/NNB
중순부터	중순/NNG+부터/JX
운행을	운행/NNG+을/JKO
시작할	시작/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.353.4.1
광역급행버스는 기·종점으로부터 5㎞ 안의 각 4개 이내 정류소에만 정차하는 버스로, 기존 직행좌석보다 평균 15분 정도 운행시간 단축 효과가 있다.

광역급행버스는	광역/NNG+급행/NNG+버스/NNG+는/JX
기·종점으로부터	기·종점/NNG+으로부터/JKB
5㎞	5/SN+㎞/SW
안의	안/NNG+의/JKG
각	각/MMD
4개	4/SN+개/NNB
이내	이내/NNG
정류소에만	정류소/NNG+에/JKB+만/JX
정차하는	정차/NNG+하/XSV+는/ETM
버스로,	버스/NNG+로/JKB+,/SP
기존	기존/NNG
직행좌석보다	직행/NNG+좌석/NNG+보다/JKB
평균	평균/NNG
15분	15/SN+분/NNB
정도	정도/NNG
운행시간	운행/NNG+시간/NNG
단축	단축/NNG
효과가	효과/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.353.4.2
국토부는 지난 7월 사업자 모집 때 응모 사업자가 없었던 3개 노선(양주~잠실, 인천~여의도, 고양~광화문)에 대해서는 재공모를 추진하겠다고 말했다.

국토부는	국토부/NNG+는/JX
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
사업자	사업자/NNG
모집	모집/NNG
때	때/NNG
응모	응모/NNG
사업자가	사업자/NNG+가/JKS
없었던	없/VA+었/EP+던/ETM
3개	3/SN+개/NNB
노선(양주~잠실,	노선/NNG+(/SS+양주/NNP+~/SO+잠실/NNP+,/SP
인천~여의도,	인천/NNP+~/SO+여의도/NNP+,/SP
고양~광화문)에	고양/NNP+~/SO+광화문/NNP+)/SS+에/JKB
대해서는	대하/VV+아서/EC+는/JX
재공모를	재/XPN+공모/NNG+를/JKO
추진하겠다고	추진/NNG+하/XSV+겠/EP+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


