# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.231
metadata : {}


# id : NWRW1800000026.231.1.1
갤럭시S, 19일 만에 30만대 판매

갤럭시S,	갤럭시S/NNP+,/SP
19일	19/SN+일/NNB
만에	만/NNB+에/JKB
30만대	30/SN+만/NR+대/NNB
판매	판매/NNG


# id : NWRW1800000026.231.2.1
삼성전자의 글로벌 전략폰 갤럭시S가 국내 휴대전화 시장 최단 시간 최다 판매 신기록을 경신하고 있다.

삼성전자의	삼성전자/NNP+의/JKG
글로벌	글로벌/NNG
전략폰	전략/NNG+폰/NNG
갤럭시S가	갤럭시S/NNP+가/JKS
국내	국내/NNG
휴대전화	휴대/NNG+전화/NNG
시장	시장/NNG
최단	최단/NNG
시간	시간/NNG
최다	최다/NNG
판매	판매/NNG
신기록을	신/XPN+기록/NNG+을/JKO
경신하고	경신/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.231.2.2
SK텔레콤은 6월 24일 출시한 갤럭시S 판매량이 12일 기준으로 30만대를 돌파했다고 13일 밝혔다.

SK텔레콤은	SK텔레콤/NNP+은/JX
6월	6/SN+월/NNB
24일	24/SN+일/NNB
출시한	출시/NNG+하/XSV+ㄴ/ETM
갤럭시S	갤럭시S/NNP
판매량이	판매량/NNG+이/JKS
12일	12/SN+일/NNB
기준으로	기준/NNG+으로/JKB
30만대를	30/SN+만/NR+대/NNB+를/JKO
돌파했다고	돌파/NNG+하/XSV+았/EP+다고/EC
13일	13/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.231.2.3
국내 휴대전화 판매사상 가장 짧은 기간(19일)에 30만대를 판매한 것이다.

국내	국내/NNG
휴대전화	휴대/NNG+전화/NNG
판매사상	판매/NNG+사상/NNG
가장	가장/MAG
짧은	짧/VA+은/ETM
기간(19일)에	기간/NNG+(/SS+19/SN+일/NNB+)/SS+에/JKB
30만대를	30/SN+만/NR+대/NNB+를/JKO
판매한	판매/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.231.2.4
작년 11월 말 출시된 애플의 아이폰도 30만대가 팔리기까지 약 2달이 걸렸다.

작년	작년/NNG
11월	11/SN+월/NNB
말	말/NNB
출시된	출시/NNG+되/XSV+ㄴ/ETM
애플의	애플/NNP+의/JKG
아이폰도	아이폰/NNP+도/JX
30만대가	30/SN+만/NR+대/NNB+가/JKS
팔리기까지	팔리/VV+기/ETN+까지/JX
약	약/MMA
2달이	2/SN+달/NNB+이/JKS
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.231.3.1
국내 최다 판매 기록(180만대)을 갖고 있는 모토로라 레이저폰이 30만대 팔릴 때까지 걸린 시간은 약 5개월이다.

국내	국내/NNG
최다	최다/NNG
판매	판매/NNG
기록(180만대)을	기록/NNG+(/SS+180/SN+만/NR+대/NNB+)/SS+을/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
모토로라	모토로라/NNP
레이저폰이	레이저폰/NNP+이/JKS
30만대	30/SN+만/NR+대/NNB
팔릴	팔리/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
걸린	걸리/VV+ㄴ/ETM
시간은	시간/NNG+은/JX
약	약/MMA
5개월이다.	5/SN+개월/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.231.3.2
갤럭시S는 출시 10일 만에 20만대가 팔렸다.

갤럭시S는	갤럭시S/NNP+는/JX
출시	출시/NNG
10일	10/SN+일/NNB
만에	만/NNB+에/JKB
20만대가	20/SN+만/NR+대/NNB+가/JKS
팔렸다.	팔리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.231.3.3
삼성전자와 SK텔레콤측은 "이런 추세라면 이달 안에 50만대 판매가 가능할 것"으로 예측하고 있다.

삼성전자와	삼성전자/NNP+와/JC
SK텔레콤측은	SK텔레콤/NNP+측/NNB+은/JX
"이런	"/SS+이런/MMD
추세라면	추세/NNG+이/VCP+라면/EC
이달	이달/NNG
안에	안/NNG+에/JKB
50만대	50/SN+만/NR+대/NNB
판매가	판매/NNG+가/JKS
가능할	가능/NNG+하/XSA+ㄹ/ETM
것"으로	것/NNB+"/SS+으로/JKB
예측하고	예측/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


