# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.43
metadata : {}


# id : NWRW1800000041.43.1.1
한국인 영양균형 깨졌다

한국인	한국인/NNG
영양균형	영양/NNG+균형/NNG
깨졌다	깨지/VV+었/EP+다/EF


# id : NWRW1800000041.43.2.1
칼슘 적게 먹고 인은 162% 과잉섭취 “커피믹스-콜라 등 가공식품 줄여야”

칼슘	칼슘/NNG
적게	적/VA+게/EC
먹고	먹/VV+고/EC
인은	인/NNG+은/JX
162%	162/SN+%/SW
과잉섭취	과잉/NNG+섭취/NNG
“커피믹스-콜라	“/SS+커피믹스/NNG+-/SO+콜라/NNG
등	등/NNB
가공식품	가공식품/NNG
줄여야”	줄이/VV+어야/EC+”/SS


# id : NWRW1800000041.43.3.1
몸속의 특정 영양성분이 부족하거나 넘치지 않도록 식습관을 조절해야 한다는 사실은 상식이다.

몸속의	몸속/NNG+의/JKG
특정	특정/NNG
영양성분이	영양/NNG+성분/NNG+이/JKS
부족하거나	부족/NNG+하/XSA+거나/EC
넘치지	넘치/VV+지/EC
않도록	않/VX+도록/EC
식습관을	식습관/NNG+을/JKO
조절해야	조절/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
사실은	사실/NNG+은/JX
상식이다.	상식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.43.3.2
하지만 영양성분 간에 균형이 필요하다는 사실은 잘 알려지지 않았다.

하지만	하지만/MAJ
영양성분	영양/NNG+성분/NNG
간에	간/NNB+에/JKB
균형이	균형/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
사실은	사실/NNG+은/JX
잘	잘/MAG
알려지지	알려지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.43.3.3
영양학자들은 생화학적으로 구조가 비슷하거나 생리학적 역할이 상반되는 영양소들이 있는 경우 이들의 균형을 잘 유지해야 한다고 강조한다.

영양학자들은	영양학자/NNG+들/XSN+은/JX
생화학적으로	생화학/NNG+적/XSN+으로/JKB
구조가	구조/NNG+가/JKS
비슷하거나	비슷하/VA+거나/EC
생리학적	생리학/NNG+적/XSN
역할이	역할/NNG+이/JKS
상반되는	상반/NNG+되/XSV+는/ETM
영양소들이	영양소/NNG+들/XSN+이/JKS
있는	있/VA+는/ETM
경우	경우/NNG
이들의	이/NP+들/XSN+의/JKG
균형을	균형/NNG+을/JKO
잘	잘/MAG
유지해야	유지/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
강조한다.	강조/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.43.4.1
대표적인 사례가 칼슘과 인이다.

대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
사례가	사례/NNG+가/JKS
칼슘과	칼슘/NNG+과/JC
인이다.	인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.43.4.2
칼슘과 인은 뼈와 치아를 구성하는 영양소로 둘이 복합적으로 작용한다.

칼슘과	칼슘/NNG+과/JC
인은	인/NNG+은/JX
뼈와	뼈/NNG+와/JC
치아를	치아/NNG+를/JKO
구성하는	구성/NNG+하/XSV+는/ETM
영양소로	영양소/NNG+로/JKB
둘이	둘/NR+이/JKS
복합적으로	복합/NNG+적/XSN+으로/JKB
작용한다.	작용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.43.4.3
문제는 칼슘과 비교해 인을 과다하게 섭취하면 소장에서 칼슘의 흡수를 방해해 뼈 건강에 영향을 줄 수 있다는 점이다.

문제는	문제/NNG+는/JX
칼슘과	칼슘/NNG+과/JKB
비교해	비교/NNG+하/XSV+아/EC
인을	인/NNG+을/JKO
과다하게	과다/NNG+하/XSA+게/EC
섭취하면	섭취/NNG+하/XSV+면/EC
소장에서	소장/NNG+에서/JKB
칼슘의	칼슘/NNG+의/JKG
흡수를	흡수/NNG+를/JKO
방해해	방해/NNG+하/XSV+아/EC
뼈	뼈/NNG
건강에	건강/NNG+에/JKB
영향을	영향/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.43.5.1
