# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.122
metadata : {}


# id : NWRW1800000041.122.1.1
[책의 향기]행복에도 공식이 있었네

[책의	[/SS+책/NNG+의/JKG
향기]행복에도	향기/NNG+]/SS+행복/NNG+에/JKB+도/JX
공식이	공식/NNG+이/JKS
있었네	있/VA+었/EP+네/EF


# id : NWRW1800000041.122.2.1
◇행복한 사람들은 무엇이 다른가/조르디 쿠아드박 지음·박효은 옮김/296쪽·1만4000원·북로드

◇행복한	◇/SW+행복/NNG+하/XSA+ㄴ/ETM
사람들은	사람/NNG+들/XSN+은/JX
무엇이	무엇/NP+이/JKS
다른가/조르디	다르/VA+ㄴ가/EF+//SP+조르디/NNP
쿠아드박	쿠아드박/NNP
지음·박효은	짓/VV+음/ETN+·/SP+박효은/NNP
옮김/296쪽·1만4000원·북로드	옮기/VV+ㅁ/ETN+//SP+296/SN+쪽/NNG+·/SP+1/SN+만/NR+4000/SN+원/NNB+·/SP+북로드/NNP


# id : NWRW1800000041.122.3.1
사람의 행복도를 측정할 수 있는 공식이 있을까?

사람의	사람/NNG+의/JKG
행복도를	행복도/NNG+를/JKO
측정할	측정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
공식이	공식/NNG+이/JKS
있을까?	있/VA+을까/EF+?/SF


# id : NWRW1800000041.122.3.2
말도 안 되는 얘기 같지만 그런 공식을 도출한 학자들이 있다.

말도	말/NNG+도/JX
안	안/MAG
되는	되/VV+는/ETM
얘기	얘기/NNG
같지만	같/VA+지만/EC
그런	그런/MMD
공식을	공식/NNG+을/JKO
도출한	도출/NNG+하/XSV+ㄴ/ETM
학자들이	학자/NNG+들/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.122.3.3
미국에선 학생을 상대로 한 달 동안 매일 자신이 느낀 긍정적, 부정적 감정을 기록하게 하고 타인과의 긍정적 관계 맺기 정도, 사회적 동화능력 같은 삶의 성숙도를 측정했단다.

미국에선	미국/NNP+에서/JKB+ㄴ/JX
학생을	학생/NNG+을/JKO
상대로	상대/NNG+로/JKB
한	한/MMN
달	달/NNB
동안	동안/NNG
매일	매일/MAG
자신이	자신/NNG+이/JKS
느낀	느끼/VV+ㄴ/ETM
긍정적,	긍정/NNG+적/XSN+,/SP
부정적	부정/NNG+적/XSN
감정을	감정/NNG+을/JKO
기록하게	기록/NNG+하/XSV+게/EC
하고	하/VX+고/EC
타인과의	타인/NNG+과/JKB+의/JKG
긍정적	긍정/NNG+적/XSN
관계	관계/NNG
맺기	맺/VV+기/ETN
정도,	정도/NNG+,/SP
사회적	사회/NNG+적/XSN
동화능력	동화/NNG+능력/NNG
같은	같/VA+은/ETM
삶의	삶/NNG+의/JKG
성숙도를	성숙도/NNG+를/JKO
측정했단다.	측정/NNG+하/XSV+았/EP+단다/EF+./SF


# id : NWRW1800000041.122.3.4
그 결과 부정적 감정보다 긍정적 감정을 3배 이상 경험한 학생은 한 달 전보다 성숙도가 높아졌다고 한다.

그	그/MMD
결과	결과/NNG
부정적	부정/NNG+적/XSN
감정보다	감정/NNG+보다/JKB
긍정적	긍정/NNG+적/XSN
감정을	감정/NNG+을/JKO
3배	3/SN+배/NNG
이상	이상/NNG
경험한	경험/NNG+하/XSV+ㄴ/ETM
학생은	학생/NNG+은/JX
한	한/MMN
달	달/NNB
전보다	전/NNG+보다/JKB
성숙도가	성숙도/NNG+가/JKS
높아졌다고	높아지/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.122.3.5
남녀 커플을 대상으로 한 비슷한 실험에서도 칭찬이나 애정 표현, 스킨십 같은 긍정적 상호작용이 질책과 조롱, 비판 같은 부정적 상호작용의 비율보다 낮은 커플은 수년 내 파경에 이르렀지만 역으로 그 비율이 5 대 1 이상인 커플은 몇 년 뒤에도 계속 좋은 관계로 지내고 있었다고 한다.

남녀	남녀/NNG
커플을	커플/NNG+을/JKO
