# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.136
metadata : {}


# id : NWRW1800000048.136.1.1
러시아도 이집트 비행 중단…여객기 폭탄테러 정황 커져

러시아도	러시아/NNP+도/JX
이집트	이집트/NNP
비행	비행/NNG
중단…여객기	중단/NNG+…/SE+여객기/NNG
폭탄테러	폭탄/NNG+테러/NNG
정황	정황/NNG
커져	커지/VV+어/EF


# id : NWRW1800000048.136.2.1
대통령실 “푸틴이 중단 지시”

대통령실	대통령실/NNG
“푸틴이	“/SS+푸틴/NNP+이/JKS
중단	중단/NNG
지시”	지시/NNG+”/SS


# id : NWRW1800000048.136.3.1
특별수송기 보내 자국민 귀국시켜

특별수송기	특별/NNG+수송기/NNG
보내	보내/VV+어/EC
자국민	자국민/NNG
귀국시켜	귀국/NNG+시키/XSV+어/EF


# id : NWRW1800000048.136.4.1
이집트도 테러 가능성 내비쳐

이집트도	이집트/NNP+도/JX
테러	테러/NNG
가능성	가능/NNG+성/XSN
내비쳐	내비치/VV+어/EF


# id : NWRW1800000048.136.5.1
“추락 직전 조종석에서 잡음”

“추락	“/SS+추락/NNG
직전	직전/NNG
조종석에서	조종석/NNG+에서/JKB
잡음”	잡음/NNG+”/SS


# id : NWRW1800000048.136.6.1
미 당국자 “폭탄 확신 99.9%”

미	미/NNP
당국자	당국자/NNG
“폭탄	“/SS+폭탄/NNG
확신	확신/NNG
99.9%”	99/SN+./SP+9/SN+%/SW+”/SS


# id : NWRW1800000048.136.7.1
이집트 시나이 반도 여객기 추락 사건의 피해 당사국인 러시아가 영국과 아일랜드에 이어 자국 항공사의 이집트행 운항을 당분간 전면 중단시켰다.

이집트	이집트/NNP
시나이	시나이/NNP
반도	반도/NNG
여객기	여객기/NNG
추락	추락/NNG
사건의	사건/NNG+의/JKG
피해	피해/NNG
당사국인	당사국/NNG+이/VCP+ㄴ/ETM
러시아가	러시아/NNP+가/JKS
영국과	영국/NNP+과/JC
아일랜드에	아일랜드/NNP+에/JKB
이어	잇/VV+어/EC
자국	자국/NNG
항공사의	항공사/NNG+의/JKG
이집트행	이집트행/NNG
운항을	운항/NNG+을/JKO
당분간	당분간/MAG
전면	전면/NNG
중단시켰다.	중단/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.136.7.2
이집트에 있는 자국 관광객들은 7일부터 특별 수송기를 보내 귀국시키고 있다.

이집트에	이집트/NNP+에/JKB
있는	있/VV+는/ETM
자국	자국/NNG
관광객들은	관광객/NNG+들/XSN+은/JX
7일부터	7/SN+일/NNB+부터/JX
특별	특별/NNG
수송기를	수송기/NNG+를/JKO
보내	보내/VV+어/EC
귀국시키고	귀국/NNG+시키/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.136.8.1
아르카디 드보르코비치 러시아 부총리는 8일 “(전날인 7일) 하루에만 1만1000명이 귀국했다”며 “다음주 중에는 수송 항공편이 줄지만, 주말에는 다시 대규모 수송이 있을 것”이라고 말했다고 <타스> 통신 등이 전했다.

아르카디	아르카디/NNP
드보르코비치	드보르코비치/NNP
러시아	러시아/NNP
부총리는	부총리/NNG+는/JX
8일	8/SN+일/NNB
“(전날인	“/SS+(/SS+전날/NNG+이/VCP+ㄴ/ETM
7일)	7/SN+일/NNB+)/SS
하루에만	하루/NNG+에/JKB+만/JX
1만1000명이	1/SN+만/NR+1000/SN+명/NNB+이/JKS
귀국했다”며	귀국/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“다음주	“/SS+다음/NNG+주/NNG
중에는	중/NNB+에/JKB+는/JX
수송	수송/NNG
항공편이	항공편/NNG+이/JKS
줄지만,	줄/VV+지만/EC+,/SP
주말에는	주말/NNG+에/JKB+는/JX
다시	다시/MAG
대규모	대/XPN+규모/NNG
수송이	수송/NNG+이/JKS
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
<타스>	</SS+타스/NNP+>/SS
통신	통신/NNG
등이	등/NNB+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.136.8.2
앞서 러시아 대통령실은 블라디미르 푸틴 대통령이 6일 “이집트행 비행 전면 중단을 지시하고 이집트 내 러시아인을 안전하게 귀국시킬 방안을 마련하라고 지시했다”고 밝혔다.

앞서	앞서/MAG
러시아	러시아/NNP
대통령실은	대통령실/NNG+은/JX
블라디미르	블라디미르/NNP
푸틴	푸틴/NNP
대통령이	대통령/NNG+이/JKS
6일	6/SN+일/NNB
“이집트행	“/SS+이집트행/NNG
비행	비행/NNG
전면	전면/NNG
중단을	중단/NNG+을/JKO
지시하고	지시/NNG+하/XSV+고/EC
이집트	이집트/NNP
내	내/NNB
러시아인을	러시아인/NNG+을/JKO
안전하게	안전/NNG+하/XSA+게/EC
귀국시킬	귀국/NNG+시키/XSV+ㄹ/ETM
방안을	방안/NNG+을/JKO
마련하라고	마련/NNG+하/XSV+라고/EC
지시했다”고	지시/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.136.8.3
현재 이집트에 남아 있는 러시아인 관광객은 약 8만명으로, 이들을 모두 귀국시키려면 약 300대의 항공기를 한달가량 투입해야 할 것으로 러시아 당국은 보고 있다.

현재	현재/MAG
이집트에	이집트/NNP+에/JKB
남아	남/VV+아/EC
있는	있/VX+는/ETM
러시아인	러시아인/NNG
관광객은	관광객/NNG+은/JX
약	약/MMA
8만명으로,	8/SN+만/NR+명/NNB+으로/JKB+,/SP
이들을	이/NP+들/XSN+을/JKO
모두	모두/MAG
귀국시키려면	귀국/NNG+시키/XSV+려면/EC
300대의	300/SN+대/NNB+의/JKG
항공기를	항공기/NNG+를/JKO
한달가량	한/MMN+달/NNB+가량/XSN
