# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.255
metadata : {}


# id : NWRW1800000052.255.1.1
활동종료 앞둔 세월호 특조위, 조사자료 서울·안산시 이관

활동종료	활동/NNG+종료/NNG
앞둔	앞두/VV+ㄴ/ETM
세월호	세월호/NNP
특조위,	특조위/NNG+,/SP
조사자료	조사/NNG+자료/NNG
서울·안산시	서울/NNP+·/SP+안산시/NNP
이관	이관/NNG


# id : NWRW1800000052.255.2.1
6천여건의 사본과 자료 목록…국회에도 제출

6천여건의	6/SN+천/NR+여/XSN+건/NNB+의/JKG
사본과	사본/NNG+과/JC
자료	자료/NNG
목록…국회에도	목록/NNG+…/SE+국회/NNG+에/JKB+도/JX
제출	제출/NNG


# id : NWRW1800000052.255.3.1
원본은 국가기록원에 보낼 예정

원본은	원본/NNG+은/JX
국가기록원에	국가/NNG+기록원/NNG+에/JKB
보낼	보내/VV+ㄹ/ETM
예정	예정/NNG


# id : NWRW1800000052.255.4.1
자료 이관 특별법 해석 놓고 정부와 충돌 가능성

자료	자료/NNG
이관	이관/NNG
특별법	특별법/NNG
해석	해석/NNG
놓고	놓/VV+고/EC
정부와	정부/NNG+와/JKB
충돌	충돌/NNG
가능성	가능/NNG+성/XSN


# id : NWRW1800000052.255.5.1
‘4·16세월호참사 특별조사위원회’(특조위)가 이달 말 활동 종료 이전에 조사 자료 전부를 사본 형태로 서울시와 안산시에 이관하기로 했다.

‘4·16세월호참사	‘/SS+4/SN+·/SP+16/SN+세월호/NNP+참사/NNG
특별조사위원회’(특조위)가	특별/NNG+조사/NNG+위원회/NNG+’/SS+(/SS+특조위/NNG+)/SS+가/JKS
이달	이달/NNG
말	말/NNB
활동	활동/NNG
종료	종료/NNG
이전에	이전/NNG+에/JKB
조사	조사/NNG
자료	자료/NNG
전부를	전부/NNG+를/JKO
사본	사본/NNG
형태로	형태/NNG+로/JKB
서울시와	서울시/NNP+와/JC
안산시에	안산시/NNP+에/JKB
이관하기로	이관/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.255.5.2
또, 국회 농림축산식품해양수산위원회의 요구로 같은 자료가 국회에도 제출된다.

또,	또/MAG+,/SP
국회	국회/NNG
농림축산식품해양수산위원회의	농림/NNG+축산/NNG+식품/NNG+해양/NNG+수산/NNG+위원회/NNG+의/JKG
요구로	요구/NNG+로/JKB
같은	같/VA+은/ETM
자료가	자료/NNG+가/JKS
국회에도	국회/NNG+에/JKB+도/JX
제출된다.	제출/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.255.5.3
그러나 자료 이관에 관한 세월호 특별법 조항 해석을 둘러싸고 정부와 갈등이 예상된다.

그러나	그러나/MAJ
자료	자료/NNG
이관에	이관/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
세월호	세월호/NNP
특별법	특별법/NNG
조항	조항/NNG
해석을	해석/NNG+을/JKO
둘러싸고	둘러싸/VV+고/EC
정부와	정부/NNG+와/JKB
갈등이	갈등/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.255.6.1
특조위는 28일 전원회의를 열어 이런 내용을 담은 ‘4·16세월호참사 관련 자료의 보관·전시를 위한 이관(안)’ 등을 의결했다.

특조위는	특조위/NNG+는/JX
28일	28/SN+일/NNB
전원회의를	전원회의/NNG+를/JKO
열어	열/VV+어/EC
이런	이런/MMD
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
‘4·16세월호참사	‘/SS+4/SN+·/SP+16/SN+세월호/NNP+참사/NNG
관련	관련/NNG
자료의	자료/NNG+의/JKG
보관·전시를	보관/NNG+·/SP+전시/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
이관(안)’	이관/NNG+(/SS+안/NNG+)/SS+’/SS
등을	등/NNB+을/JKO
의결했다.	의결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.255.6.2
이로써 특조위 활동 과정에서 입수되거나 만들어진 자료 6천여건의 사본과 자료 목록이 세 곳에 각각 보관된다.

이로써	이/NP+로써/JKB
특조위	특조위/NNG
활동	활동/NNG
과정에서	과정/NNG+에서/JKB
입수되거나	입수/NNG+되/XSV+거나/EC
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
자료	자료/NNG
6천여건의	6/SN+천/NR+여/XSN+건/NNB+의/JKG
사본과	사본/NNG+과/JC
목록이	목록/NNG+이/JKS
세	세/MMN
곳에	곳/NNG+에/JKB
각각	각각/MAG
보관된다.	보관/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.255.6.3
원본은 잔존 사무 처리 과정에서 국가기록원으로 보낼 예정이다.

원본은	원본/NNG+은/JX
잔존	잔존/NNG
사무	사무/NNG
처리	처리/NNG
과정에서	과정/NNG+에서/JKB
국가기록원으로	국가/NNG+기록원/NNG+으로/JKB
보낼	보내/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.255.6.4
세월호특별법 48조는 특조위 자료기록단에서 수집한 자료를 추모 관련 시설에 보관·전시하는 것으로 한다는 내용을 담고 있다.

세월호특별법	세월호/NNP+특별법/NNG
48조는	48/SN+조/NNB+는/JX
특조위	특조위/NNG
자료기록단에서	자료/NNG+기록단/NNG+에서/JKB
수집한	수집/NNG+하/XSV+ㄴ/ETM
자료를	자료/NNG+를/JKO
추모	추모/NNG
관련	관련/NNG
시설에	시설/NNG+에/JKB
보관·전시하는	보관/NNG+·/SP+전시/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
한다는	하/VV+ㄴ다는/ETM
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.255.7.1
특조위는 “특별법에 명시된 추모시설이 마련되지 않아 추모 관련 상설 전시시설을 운영하고 참사 관련 기록물도 보관하고 있는 서울시로 임시 이관하려는 것”이라며 “안산시의 경우 자료를 봉인해 보관하다가 추모시설이 만들어지면 정식 이관하게 된다”고 설명했다.

특조위는	특조위/NNG+는/JX
“특별법에	“/SS+특별법/NNG+에/JKB
명시된	명시/NNG+되/XSV+ㄴ/ETM
추모시설이	추모/NNG+시설/NNG+이/JKS
마련되지	마련/NNG+되/XSV+지/EC
않아	않/VX+아/EC
추모	추모/NNG
관련	관련/NNG
상설	상설/NNG
전시시설을	전시/NNG+시설/NNG+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
참사	참사/NNG
기록물도	기록물/NNG+도/JX
보관하고	보관/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
서울시로	서울시/NNP+로/JKB
임시	임시/NNG
이관하려는	이관/NNG+하/XSV+려는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“안산시의	“/SS+안산시/NNP+의/JKG
경우	경우/NNG
자료를	자료/NNG+를/JKO
봉인해	봉인/NNG+하/XSV+아/EC
보관하다가	보관/NNG+하/XSV+다가/EC
만들어지면	만들/VV+어/EC+지/VX+면/EC
정식	정식/NNG
이관하게	이관/NNG+하/XSV+게/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.255.7.2
특조위는 “서울시·안산시와 협의를 마친 상태”라며 “국회 쪽 요구에 따라 같은 자료를 국회에도 제출하기로 했다”고 덧붙였다.

특조위는	특조위/NNG+는/JX
“서울시·안산시와	“/SS+서울시/NNP+·/SP+안산시/NNP+와/JKB
협의를	협의/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
상태”라며	상태/NNG+”/SS+이/VCP+라며/EC
“국회	“/SS+국회/NNG
쪽	쪽/NNB
요구에	요구/NNG+에/JKB
따라	따르/VV+아/EC
같은	같/VA+은/ETM
자료를	자료/NNG+를/JKO
국회에도	국회/NNG+에/JKB+도/JX
제출하기로	제출/NNG+하/XSV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.255.8.1
특조위의 이런 결정은 정부에 의한 강제적인 활동 종료(이달 30일) 이후 잔존 사무 처리 과정에서 관련 자료들이 훼손될 우려에 대비해 이뤄졌다.

특조위의	특조위/NNG+의/JKG
이런	이런/MMD
결정은	결정/NNG+은/JX
정부에	정부/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
강제적인	강제/NNG+적/XSN+이/VCP+ㄴ/ETM
활동	활동/NNG
종료(이달	종료/NNG+(/SS+이달/NNG
30일)	30/SN+일/NNB+)/SS
이후	이후/NNG
잔존	잔존/NNG
사무	사무/NNG
처리	처리/NNG
과정에서	과정/NNG+에서/JKB
관련	관련/NNG
자료들이	자료/NNG+들/XSN+이/JKS
훼손될	훼손/NNG+되/XSV+ㄹ/ETM
우려에	우려/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.255.8.2
특조위는 서울시에 먼저 이관된 자료를 정식 기록물로 인정할 수 있는 사전 규정도 마련했다.

특조위는	특조위/NNG+는/JX
서울시에	서울시/NNP+에/JKB
먼저	먼저/MAG
이관된	이관/NNG+되/XSV+ㄴ/ETM
자료를	자료/NNG+를/JKO
정식	정식/NNG
기록물로	기록물/NNG+로/JKB
인정할	인정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사전	사전/NNG
규정도	규정/NNG+도/JX
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.255.8.3
이석태 특조위 위원장은 전원회의에서 “활동 과정에서 숱한 어려움을 겪었으나 참사 관련 자료를 법과 원칙에 따라 국민들이 접근할 수 있게 돼 다행으로 생각한다”고 말했다.

이석태	이석태/NNP
특조위	특조위/NNG
위원장은	위원장/NNG+은/JX
전원회의에서	전원회의/NNG+에서/JKB
“활동	“/SS+활동/NNG
과정에서	과정/NNG+에서/JKB
