# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.262
metadata : {}


# id : NWRW1800000030.262.1.1
[만물상] 무채색의 나라

[만물상]	[/SS+만물상/NNG+]/SS
무채색의	무채색/NNG+의/JKG
나라	나라/NNG


# id : NWRW1800000030.262.2.1
1920년대 미국 상류층을 다룬 소설 '위대한 개츠비'는 자동차 색깔로 등장인물을 묘사한다.

1920년대	1920/SN+년대/NNB
미국	미국/NNP
상류층을	상류/NNG+층/XSN+을/JKO
다룬	다루/VV+ㄴ/ETM
소설	소설/NNG
'위대한	'/SS+위대하/VA+ㄴ/ETM
개츠비'는	개츠비/NNP+'/SS+는/JX
자동차	자동차/NNG
색깔로	색깔/NNG+로/JKB
등장인물을	등장인물/NNG+을/JKO
묘사한다.	묘사/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.262.2.2
개츠비는 밀주(密酒) 판매와 온갖 투기로 떼돈을 벌었다.

개츠비는	개츠비/NNP+는/JX
밀주(密酒)	밀주/NNG+(/SS+密酒/SH+)/SS
판매와	판매/NNG+와/JC
온갖	온갖/MMN
투기로	투기/NNG+로/JKB
떼돈을	떼돈/NNG+을/JKO
벌었다.	벌/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.262.2.3
그는 짙은 크림색이나 샛노란 차를 몰면서 신흥 부자 이미지를 뽐낸다.

그는	그/NP+는/JX
짙은	짙/VA+은/ETM
크림색이나	크림색/NNG+이나/JC
샛노란	샛노랗/VA+ㄴ/ETM
차를	차/NNG+를/JKO
몰면서	몰/VV+면서/EC
신흥	신흥/NNG
부자	부자/NNG
이미지를	이미지/NNG+를/JKO
뽐낸다.	뽐내/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.262.2.4
전통 부유층을 대표해 개츠비와 대립하는 톰은 짙은 푸른색 차를 타고 다니며 권위를 내세운다.

전통	전통/NNG
부유층을	부유/NNG+층/XSN+을/JKO
대표해	대표/NNG+하/XSV+아/EC
개츠비와	개츠비/NNP+와/JKB
대립하는	대립/NNG+하/XSV+는/ETM
톰은	톰/NNP+은/JX
짙은	짙/VA+은/ETM
푸른색	푸른색/NNG
차를	차/NNG+를/JKO
타고	타/VV+고/EC
다니며	다니/VV+며/EC
권위를	권위/NNG+를/JKO
내세운다.	내세우/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.262.2.5
개츠비의 연인 데이지는 부유하게 자란 처녀 시절 흰색 오픈카를 몰고 다니며 남자들을 유혹했다.

개츠비의	개츠비/NNP+의/JKG
연인	연인/NNG
데이지는	데이지/NNP+는/JX
부유하게	부유/NNG+하/XSA+게/EC
자란	자라/VV+ㄴ/ETM
처녀	처녀/NNG
시절	시절/NNG
흰색	흰색/NNG
오픈카를	오픈카/NNG+를/JKO
몰고	몰/VV+고/EC
다니며	다니/VV+며/EC
남자들을	남자/NNG+들/XSN+을/JKO
유혹했다.	유혹/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.262.3.1
▶자동차 페인트를 생산하는 듀폰이 지난해 '글로벌 자동차 색상 인기도'를 조사했더니 한국인은 은색을 가장 좋아했다.

▶자동차	▶/SW+자동차/NNG
페인트를	페인트/NNG+를/JKO
생산하는	생산/NNG+하/XSV+는/ETM
듀폰이	듀폰/NNP+이/JKS
지난해	지난해/NNG
'글로벌	'/SS+글로벌/NNG
자동차	자동차/NNG
색상	색상/NNG
인기도'를	인기도/NNG+'/SS+를/JKO
조사했더니	조사/NNG+하/XSV+았/EP+더니/EC
한국인은	한국인/NNG+은/JX
은색을	은색/NNG+을/JKO
가장	가장/MAG
좋아했다.	좋아하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.262.3.2
유럽에선 검은색, 미국과 캐나다에선 흰색이 가장 높은 인기를 끌었다.

유럽에선	유럽/NNP+에서/JKB+ㄴ/JX
검은색,	검은색/NNG+,/SP
미국과	미국/NNP+과/JC
캐나다에선	캐나다/NNP+에서/JKB+ㄴ/JX
흰색이	흰색/NNG+이/JKS
가장	가장/MAG
높은	높/VA+은/ETM
인기를	인기/NNG+를/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.262.3.3
세계 시장에서 무채색은 82%를 차지했지만 북미에선 붉은색과 푸른색이 20%나 됐다.

세계	세계/NNG
시장에서	시장/NNG+에서/JKB
무채색은	무채색/NNG+은/JX
82%를	82/SN+%/SW+를/JKO
차지했지만	차지/NNG+하/XSV+았/EP+지만/EC
북미에선	북미/NNP+에서/JKB+ㄴ/JX
붉은색과	붉은색/NNG+과/JC
푸른색이	푸른색/NNG+이/JKS
20%나	20/SN+%/SW+나/JX
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.262.3.4
일반적으로 검정은 마초(macho·남성우월), 흰색은 존경, 빨강은 섹시, 노랑은 펑키(funky·관능), 청회색은 점잖음을 뜻한다고 한다.

일반적으로	일반/NNG+적/XSN+으로/JKB
검정은	검정/NNG+은/JX
마초(macho·남성우월),	마초/NNG+(/SS+macho/SL+·/SP+남성/NNG+우월/NNG+)/SS+,/SP
흰색은	흰색/NNG+은/JX
존경,	존경/NNG+,/SP
빨강은	빨강/NNG+은/JX
섹시,	섹시/NNG+,/SP
노랑은	노랑/NNG+은/JX
펑키(funky·관능),	펑키/NNG+(/SS+funky/SL+·/SP+관능/NNG+)/SS+,/SP
청회색은	청회색/NNG+은/JX
점잖음을	점잖/VA+음/ETN+을/JKO
뜻한다고	뜻/NNG+하/XSV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.262.4.1
▶초미세 나노기술이 발달한 미래엔 색을 마음대로 바꾸는 자동차가 나올 것이라고 한다.

▶초미세	▶/SW+초/XPN+미세/NNG
나노기술이	나노/NNG+기술/NNG+이/JKS
발달한	발달/NNG+하/XSV+ㄴ/ETM
미래엔	미래/NNG+에/JKB+ㄴ/JX
색을	색/NNG+을/JKO
마음대로	마음대로/MAG
바꾸는	바꾸/VV+는/ETM
자동차가	자동차/NNG+가/JKS
나올	나오/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.262.4.2
미국 리버사이드대 연구팀은 산화철 나노입자가 들어 있는 신소재를 개발했다.

미국	미국/NNP
리버사이드대	리버사이드대/NNP
연구팀은	연구/NNG+팀/NNG+은/JX
산화철	산화/NNG+철/NNG
나노입자가	나노/NNG+입자/NNG+가/JKS
들어	들/VV+어/EC
있는	있/VX+는/ETM
신소재를	신/XPN+소재/NNG+를/JKO
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.262.4.3
전기 자극을 주면 산화철의 방향이 달라져 색이 변하는 신소재다.

전기	전기/NNG
자극을	자극/NNG+을/JKO
주면	주/VV+면/EC
산화철의	산화/NNG+철/NNG+의/JKG
