# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.363
metadata : {}


# id : NWRW1800000041.363.1.1
이정희, 두달 일찍 당대표 물러나는 까닭은…

이정희,	이정희/NNP+,/SP
두달	두/MMN+달/NNB
일찍	일찍/MAG
당대표	당/NNG+대표/NNG
물러나는	물러나/VV+는/ETM
까닭은…	까닭/NNG+은/JX+…/SE


# id : NWRW1800000041.363.2.1
통진당 새 지도부 12월 선출 결정… 대법-헌재 판결 앞두고 黨 재정비

통진당	통진당/NNP
새	새/MMA
지도부	지도부/NNG
12월	12/SN+월/NNB
선출	선출/NNG
결정…	결정/NNG+…/SE
대법-헌재	대법/NNG+-/SO+헌재/NNG
판결	판결/NNG
앞두고	앞두/VV+고/EC
黨	黨/SH
재정비	재/XPN+정비/NNG


# id : NWRW1800000041.363.3.1
통합진보당 이정희 대표(사진)가 2선으로 후퇴한다.

통합진보당	통합진보당/NNP
이정희	이정희/NNP
대표(사진)가	대표/NNG+(/SS+사진/NNG+)/SS+가/JKS
2선으로	2/SN+선/NNG+으로/JKB
후퇴한다.	후퇴/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.363.3.2
통진당은 23일 오후 서울 강남구 테헤란로 SC컨벤션 국제회의장에서 임시 당 대회를 열어 새 지도부를 다음 달에 선출하는 내용의 당헌 개정안을 의결했다.

통진당은	통진당/NNP+은/JX
23일	23/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
강남구	강남구/NNP
테헤란로	테헤란로/NNP
SC컨벤션	SC컨벤션/NNP
국제회의장에서	국제회의장/NNG+에서/JKB
임시	임시/NNG
당	당/NNG
대회를	대회/NNG+를/JKO
열어	열/VV+어/EC
새	새/MMA
지도부를	지도부/NNG+를/JKO
다음	다음/NNG
달에	달/NNG+에/JKB
선출하는	선출/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
당헌	당헌/NNG
개정안을	개정안/NNG+을/JKO
의결했다.	의결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.363.3.3
새 대표로는 김두관 전 경남도지사 재임 시절 정무부지사를 지낸 강병기 경남도당위원장이 거론된다.

새	새/MMA
대표로는	대표/NNG+로/JKB+는/JX
김두관	김두관/NNP
전	전/MMD
경남도지사	경남/NNP+도지사/NNG
재임	재임/NNG
시절	시절/NNG
정무부지사를	정무/NNG+부지사/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
강병기	강병기/NNP
경남도당위원장이	경남도/NNP+당/NNG+위원장/NNG+이/JKS
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.363.4.1
연단에 선 이 대표는 “자주 민주 통일의 나무를 뿌리 뽑겠다는 박근혜 정권의 ‘진보당’ 강제해산 시도를 반드시 이겨내자”고 강조했다.

연단에	연단/NNG+에/JKB
선	서/VV+ㄴ/ETM
이	이/NNP
대표는	대표/NNG+는/JX
“자주	“/SS+자주/NNG
민주	민주/NNG
통일의	통일/NNG+의/JKG
나무를	나무/NNG+를/JKO
뿌리	뿌리/NNG
뽑겠다는	뽑/VV+겠/EP+다는/ETM
박근혜	박근혜/NNP
정권의	정권/NNG+의/JKG
‘진보당’	‘/SS+진보당/NNP+’/SS
