# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.409
metadata : {}


# id : NWRW1800000028.409.1.1
이웃사랑 양념 듬뿍 버무려… /충남 대학가 ‘김장 온정’ 훈훈

이웃사랑	이웃/NNG+사랑/NNG
양념	양념/NNG
듬뿍	듬뿍/MAG
버무려…	버무리/VV+어/EF+…/SE
/충남	//SP+충남/NNP
대학가	대학가/NNG
‘김장	‘/SS+김장/NNG
온정’	온정/NNG+’/SS
훈훈	훈훈/XR


# id : NWRW1800000028.409.2.1
대전·충남지역 대학가에서 어려운 이웃을 위한 김장김치 담그기 행사가 잇따르고 있다.

대전·충남지역	대전/NNP+·/SP+충남지역/NNP
대학가에서	대학가/NNG+에서/JKB
어려운	어렵/VA+ㄴ/ETM
이웃을	이웃/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
김장김치	김장/NNG+김치/NNG
담그기	담그/VV+기/ETN
행사가	행사/NNG+가/JKS
잇따르고	잇따르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.409.3.1
충남대 교직원과 학생들로 꾸려진 백마봉사단 100여명은 지난 20일 대학본부 앞에서 사랑의 김장 담그기 행사를 열었다.

충남대	충남대/NNP
교직원과	교직원/NNG+과/JC
학생들로	학생/NNG+들/XSN+로/JKB
꾸려진	꾸리/VV+어/EC+지/VX+ㄴ/ETM
백마봉사단	백마봉사단/NNP
100여명은	100/SN+여/XSN+명/NNB+은/JX
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
대학본부	대학/NNG+본부/NNG
앞에서	앞/NNG+에서/JKB
사랑의	사랑/NNG+의/JKG
김장	김장/NNG
담그기	담그/VV+기/ETN
행사를	행사/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.409.3.2
이들은 배추와 무 3000kg으로 담근 김장김치를 벧엘의 집, 새나루공동체 등 사회복지 시설에 전달했다.

이들은	이/NP+들/XSN+은/JX
배추와	배추/NNG+와/JC
무	무/NNG
3000kg으로	3000/SN+kg/SW+으로/JKB
담근	담그/VV+ㄴ/ETM
김장김치를	김장/NNG+김치/NNG+를/JKO
벧엘의	벧엘/NNP+의/JKG
집,	집/NNG+,/SP
새나루공동체	새나루공동체/NNP
등	등/NNB
사회복지	사회/NNG+복지/NNG
시설에	시설/NNG+에/JKB
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.409.4.1
목원대 사회복지학과는 19일 사랑의 김장김치 담그기 행사를 열어 배추김치 1000포기를 홀로 사는 노인과 장애인 가정, 소년소녀가장들에게 나눠주었다.

목원대	목원대/NNP
사회복지학과는	사회/NNG+복지학과/NNG+는/JX
19일	19/SN+일/NNB
사랑의	사랑/NNG+의/JKG
김장김치	김장/NNG+김치/NNG
담그기	담그/VV+기/ETN
행사를	행사/NNG+를/JKO
열어	열/VV+어/EC
배추김치	배추김치/NNG
1000포기를	1000/SN+포기/NNG+를/JKO
홀로	홀로/MAG
사는	살/VV+는/ETM
노인과	노인/NNG+과/JC
장애인	장애인/NNG
가정,	가정/NNG+,/SP
소년소녀가장들에게	소년/NNG+소녀/NNG+가장/NNG+들/XSN+에게/JKB
나눠주었다.	나누/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.409.4.2
올해로 16년째인 이 행사를 위해 학생들은 이달 초부터 모금운동을 벌이고 군고구마를 팔아 비용을 마련했다.

올해로	올해/NNG+로/JKB
16년째인	16/SN+년/NNB+째/XSN+이/VCP+ㄴ/ETM
이	이/MMD
행사를	행사/NNG+를/JKO
위해	위하/VV+아/EC
