# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.162
metadata : {}


# id : NWRW1800000024.162.1.1
그 광고에 스타가 나온다고?

그	그/MMD
광고에	광고/NNG+에/JKB
스타가	스타/NNG+가/JKS
나온다고?	나오/VV+ㄴ다고/EF+?/SF


# id : NWRW1800000024.162.2.1
요즘 이 광고 보셨나요?

요즘	요즘/NNG
이	이/MMD
광고	광고/NNG
보셨나요?	보/VV+시/EP+었/EP+나/EF+요/JX+?/SF


# id : NWRW1800000024.162.2.2
해외로 가는 비행기 안, 스튜어디스들이 짬을 내 모여 즐겁게 비빔라면을 비벼 먹습니다.

해외로	해외/NNG+로/JKB
가는	가/VV+는/ETM
비행기	비행기/NNG
안,	안/NNG+,/SP
스튜어디스들이	스튜어디스/NNG+들/XSN+이/JKS
짬을	짬/NNG+을/JKO
내	내/VV+어/EC
모여	모이/VV+어/EC
즐겁게	즐겁/VA+게/EC
비빔라면을	비빔라면/NNG+을/JKO
비벼	비비/VV+어/EC
먹습니다.	먹/VV+습니다/EF+./SF


# id : NWRW1800000024.162.2.3
한 승객이 이 소리를 듣고 기내식인 비빔밥 대신 비빔라면을 달라고 한다는 광고(사진 왼쪽)입니다.

한	한/MMN
승객이	승객/NNG+이/JKS
이	이/MMD
소리를	소리/NNG+를/JKO
듣고	듣/VV+고/EC
기내식인	기내식/NNG+이/VCP+ㄴ/ETM
비빔밥	비빔밥/NNG
대신	대신/NNG
비빔라면을	비빔라면/NNG+을/JKO
달라고	달/VV+라고/EC
한다는	하/VV+ㄴ다는/ETM
광고(사진	광고/NNG+(/SS+사진/NNG
왼쪽)입니다.	왼쪽/NNG+)/SS+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000024.162.2.4
광고 화면은 잠깐 나오는 이 승객의 얼굴을 크게 비추지는 않습니다.

광고	광고/NNG
화면은	화면/NNG+은/JX
잠깐	잠깐/MAG
나오는	나오/VV+는/ETM
이	이/MMD
승객의	승객/NNG+의/JKG
얼굴을	얼굴/NNG+을/JKO
크게	크/VA+게/EC
비추지는	비추/VV+지/EC+는/JX
않습니다.	않/VX+습니다/EF+./SF


# id : NWRW1800000024.162.2.5
그래도 눈썰미 좋은 시청자들은 ‘어, 탤런트 김형일씨잖아?’라고 눈치채게 됩니다.

그래도	그래도/MAJ
눈썰미	눈썰미/NNG
좋은	좋/VA+은/ETM
시청자들은	시청자/NNG+들/XSN+은/JX
‘어,	‘/SS+어/IC+,/SP
탤런트	탤런트/NNG
김형일씨잖아?’라고	김형일/NNP+씨/NNB+이/VCP+잖아/EF+?/SF+’/SS+라고/JKQ
눈치채게	눈치채/VV+게/EC
됩니다.	되/VV+ㅂ니다/EF+./SF


# id : NWRW1800000024.162.2.6
소비자들의 눈과 귀를 붙잡기 위해 혈안인 광고들이 요즘 새로운 전술을 펴고 있습니다.

소비자들의	소비자/NNG+들/XSN+의/JKG
눈과	눈/NNG+과/JC
귀를	귀/NNG+를/JKO
붙잡기	붙잡/VV+기/ETN
위해	위하/VV+아/EC
혈안인	혈안/NNG+이/VCP+ㄴ/ETM
광고들이	광고/NNG+들/XSN+이/JKS
요즘	요즘/NNG
새로운	새롭/VA+ㄴ/ETM
전술을	전술/NNG+을/JKO
펴고	펴/VV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000024.162.2.7
톱스타를 내세워 ‘이렇게 유명한 사람이 광고합니다’라고 외쳐대는 광고의 차별성이 적어지면서, 거꾸로 스타의 출연 비중은 줄이면서 시청자들에게 알아맞추기 게임식으로 접근하는 광고들이 늘어나고 있습니다.

톱스타를	톱스타/NNG+를/JKO
내세워	내세우/VV+어/EC
‘이렇게	‘/SS+이렇/VA+게/EC
유명한	유명/NNG+하/XSA+ㄴ/ETM
