# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.110
metadata : {}


# id : NWRW1800000024.110.1.1
“나도 기자들 접대…재수 없으면 걸린다” /경찰청장이 ‘성매매 발언’

“나도	“/SS+나/NP+도/JX
기자들	기자/NNG+들/XSN
접대…재수	접대/NNG+…/SE+재수/NNG
없으면	없/VA+으면/EC
걸린다”	걸리/VV+ㄴ다/EF+”/SS
/경찰청장이	//SP+경찰청장/NNG+이/JKS
‘성매매	‘/SS+성매매/NNG
발언’	발언/NNG+’/SS


# id : NWRW1800000024.110.2.1
강희락 경찰청장이 성매매와 관련된 부적절한 발언으로 물의를 빚고 있다.

강희락	강희락/NNP
경찰청장이	경찰청장/NNG+이/JKS
성매매와	성매매/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
부적절한	부적절하/VA+ㄴ/ETM
발언으로	발언/NNG+으로/JKB
물의를	물의/NNG+를/JKO
빚고	빚/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.110.3.1
강 청장은 지난 30일 ‘경찰 기강 확립, 비리 척결 대책’을 발표한 뒤 열린 기자간담회에서, ‘청와대 행정관 성접대 의혹 사건’의 수사 진행 상황을 묻는 질문이 나오자 “성매매 문제는 어떻게 처리해야 할지 난감해 기자들에게 조언이라도 구하고 싶다.

강	강/NNP
청장은	청장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
30일	30/SN+일/NNB
‘경찰	‘/SS+경찰/NNG
기강	기강/NNG
확립,	확립/NNG+,/SP
비리	비리/NNG
척결	척결/NNG
대책’을	대책/NNG+’/SS+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
열린	열리/VV+ㄴ/ETM
기자간담회에서,	기자/NNG+간담회/NNG+에서/JKB+,/SP
‘청와대	‘/SS+청와대/NNP
행정관	행정관/NNG
성접대	성/NNG+접대/NNG
의혹	의혹/NNG
사건’의	사건/NNG+’/SS+의/JKG
수사	수사/NNG
진행	진행/NNG
상황을	상황/NNG+을/JKO
묻는	묻/VV+는/ETM
질문이	질문/NNG+이/JKS
나오자	나오/VV+자/EC
“성매매	“/SS+성매매/NNG
문제는	문제/NNG+는/JX
어떻게	어떻/VA+게/EC
처리해야	처리/NNG+하/XSV+아야/EC
할지	하/VX+ㄹ지/EF
난감해	난감하/VA+아/EC
기자들에게	기자/NNG+들/XSN+에게/JKB
조언이라도	조언/NNG+이/VCP+라도/EC
구하고	구하/VV+고/EC
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000024.110.3.2
여기서도 노총각 기자들 조심해야지 재수 없으면 걸린다”고 말했다.

여기서도	여기/NP+서/JKB+도/JX
노총각	노/XPN+총각/NNG
기자들	기자/NNG+들/XSN
조심해야지	조심/NNG+하/XSV+아야지/EC
재수	재수/NNG
없으면	없/VA+으면/EC
걸린다”고	걸리/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.110.4.1
강 청장은 또 “내가 (경찰청) 공보관을 끝내고 미국 연수를 준비하면서, 기자들이 술 한잔 사라고 해서 (술자리를 가진 뒤) 2차를 갔다”며 “모텔에서 기자들에게 (방)열쇠를 나눠주며 ‘내가 이 나이에 별일을 다 하고 있다’는 생각도 들었다”고 말했다.

강	강/NNP
청장은	청장/NNG+은/JX
또	또/MAG
“내가	“/SS+내/NP+가/JKS
(경찰청)	(/SS+경찰청/NNG+)/SS
공보관을	공보관/NNG+을/JKO
