# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.89
metadata : {}


# id : NWRW1800000028.89.1.1
같은 ‘안드로이드’ 다른 이름…왜?

같은	같/VA+은/ETM
‘안드로이드’	‘/SS+안드로이드/NNG+’/SS
다른	다른/MMD
이름…왜?	이름/NNG+…/SE+왜/MAG+?/SF


# id : NWRW1800000028.89.2.1
스마트폰의 새 강자로 떠오르고 있는 ‘안드로이드폰’을 둘러싼 마케팅 경쟁이 뜨겁다.

스마트폰의	스마트폰/NNG+의/JKG
새	새/MMA
강자로	강자/NNG+로/JKB
떠오르고	떠오르/VV+고/EC
있는	있/VX+는/ETM
‘안드로이드폰’을	‘/SS+안드로이드폰/NNG+’/SS+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
마케팅	마케팅/NNG
경쟁이	경쟁/NNG+이/JKS
뜨겁다.	뜨겁/VA+다/EF+./SF


# id : NWRW1800000028.89.3.1
삼성전자는 16일 구글의 스마트폰 운영체제(OS)인 ‘안드로이드’ 명칭의 하드웨어 상표권을 확보했다고 밝혔다.

삼성전자는	삼성전자/NNP+는/JX
16일	16/SN+일/NNB
구글의	구글/NNP+의/JKG
스마트폰	스마트폰/NNG
운영체제(OS)인	운영/NNG+체제/NNG+(/SS+OS/SL+)/SS+이/VCP+ㄴ/ETM
‘안드로이드’	‘/SS+안드로이드/NNG+’/SS
명칭의	명칭/NNG+의/JKG
하드웨어	하드웨어/NNG
상표권을	상표/NNG+권/XSN+을/JKO
확보했다고	확보/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.89.3.2
삼성전자는 “국내 콘텐츠 업체가 확보중인 안드로이드의 국내 상표권을 인수해 지난해 하반기 특허청에 등록했다”며 “앞으로 다양한 안드로이드 관련 제품의 출시가 예정돼 있어 효율적인 마케팅 차원에서 상표권을 사들였다”고 설명했다.

삼성전자는	삼성전자/NNP+는/JX
“국내	“/SS+국내/NNG
콘텐츠	콘텐츠/NNG
업체가	업체/NNG+가/JKS
확보중인	확보/NNG+중/NNB+이/VCP+ㄴ/ETM
안드로이드의	안드로이드/NNG+의/JKG
국내	국내/NNG
상표권을	상표/NNG+권/XSN+을/JKO
인수해	인수/NNG+하/XSV+아/EC
지난해	지난해/NNG
하반기	하반기/NNG
특허청에	특허청/NNG+에/JKB
등록했다”며	등록/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“앞으로	“/SS+앞/NNG+으로/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
안드로이드	안드로이드/NNG
관련	관련/NNG
제품의	제품/NNG+의/JKG
출시가	출시/NNG+가/JKS
예정돼	예정/NNG+되/XSV+어/EC
있어	있/VX+어/EC
효율적인	효율/NNG+적/XSN+이/VCP+ㄴ/ETM
마케팅	마케팅/NNG
차원에서	차원/NNG+에서/JKB
사들였다”고	사들이/VV+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.89.3.3
소프트웨어 상표권은 소유자인 구글이 자유로운 사용을 허용하고 있지만 하드웨어의 경우 해당 국가법을 따르게 돼 있다.

소프트웨어	소프트웨어/NNG
상표권은	상표/NNG+권/XSN+은/JX
소유자인	소유자/NNG+이/VCP+ㄴ/ETM
구글이	구글/NNP+이/JKS
자유로운	자유/NNG+롭/XSA+ㄴ/ETM
사용을	사용/NNG+을/JKO
허용하고	허용/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
하드웨어의	하드웨어/NNG+의/JKG
경우	경우/NNG
해당	해당/NNG
국가법을	국가법/NNG+을/JKO
따르게	따르/VV+게/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.89.4.1
이에 따라 삼성은 앞으로 안드로이드를 탑재한 스마트폰·엠피3 플레이어 등을 출시할 때 독점적인 명칭 사용권을 갖게 된다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
삼성은	삼성/NNP+은/JX
앞으로	앞/NNG+으로/JKB
안드로이드를	안드로이드/NNG+를/JKO
탑재한	탑재/NNG+하/XSV+ㄴ/ETM
스마트폰·엠피3	스마트폰/NNG+·/SP+엠피3/NNG
플레이어	플레이어/NNG
등을	등/NNB+을/JKO
출시할	출시/NNG+하/XSV+ㄹ/ETM
때	때/NNG
독점적인	독점/NNG+적/XSN+이/VCP+ㄴ/ETM
명칭	명칭/NNG
사용권을	사용/NNG+권/XSN+을/JKO
갖게	갖/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.89.4.2
특히 현행 규정상 다른 업체들은 ‘안드로이드’에서 네 글자 이상을 이용할 수 없기 때문에, 초기 마케팅의 핵심인 제품 애칭(펫네임) 짓기에 제한을 받을 수밖에 없다.

특히	특히/MAG
현행	현행/NNG
규정상	규정/NNG+상/XSN
다른	다른/MMD
업체들은	업체/NNG+들/XSN+은/JX
‘안드로이드’에서	‘/SS+안드로이드/NNG+’/SS+에서/JKB
네	네/MMN
글자	글자/NNG
이상을	이상/NNG+을/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없기	없/VA+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
초기	초기/NNG
마케팅의	마케팅/NNG+의/JKG
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
제품	제품/NNG
애칭(펫네임)	애칭/NNG+(/SS+펫네임/NNG+)/SS
짓기에	짓/VV+기/ETN+에/JKB
제한을	제한/NNG+을/JKO
받을	받/VV+을/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000028.89.4.3
실제 엘지(LG)전자는 이달 초 출시한 보급형 스마트폰의 이름을 ‘안드로이-1’으로 지으려다 막판에 상표권 침해 문제 때문에 ‘안드로-1’으로 바꿨다.

실제	실제/MAG
엘지(LG)전자는	엘지/NNP+(/SS+LG/SL+)/SS+전자/NNG+는/JX
이달	이달/NNG
초	초/NNB
출시한	출시/NNG+하/XSV+ㄴ/ETM
보급형	보급/NNG+형/XSN
스마트폰의	스마트폰/NNG+의/JKG
이름을	이름/NNG+을/JKO
‘안드로이-1’으로	‘/SS+안드로이-1/NNP+’/SS+으로/JKB
지으려다	짓/VV+으려다/EC
막판에	막판/NNG+에/JKB
상표권	상표/NNG+권/XSN
침해	침해/NNG
문제	문제/NNG
때문에	때문/NNB+에/JKB
‘안드로-1’으로	‘/SS+안드로/NNP+-/SO+1/SN+’/SS+으로/JKB
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.89.4.4
제품 광고도 한동안 ‘안드로이-1’으로 내보내다 고쳐 재개했다.

제품	제품/NNG
광고도	광고/NNG+도/JX
한동안	한/XPN+동안/NNG
‘안드로이-1’으로	‘/SS+안드로이/NNG+-/SO+1/SN+’/SS+으로/JKB
내보내다	내보내/VV+다/EC
고쳐	고치/VV+어/EC
재개했다.	재개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.89.4.5
지난해 북미 시장에서 안드로이드폰 ‘드로이드’를 출시한 모토롤라는 국내 출시 스마트폰엔 ‘모토로이’란 새로운 이름을 달았다.

지난해	지난해/NNG
북미	북미/NNP
시장에서	시장/NNG+에서/JKB
안드로이드폰	안드로이드폰/NNG
‘드로이드’를	‘/SS+드로이드/NNG+’/SS+를/JKO
출시한	출시/NNG+하/XSV+ㄴ/ETM
모토롤라는	모토롤라/NNP+는/JX
국내	국내/NNG
출시	출시/NNG
스마트폰엔	스마트폰/NNG+에/JKB+ㄴ/JX
