# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.2
metadata : {}


# id : NWRW1800000046.2.1.1
移通 3社, 모바일 앱 마켓 통합하기로

移通	移通/SH
3社,	3/SN+社/SH+,/SP
모바일	모바일/NNG
앱	앱/NNG
마켓	마켓/NNG
통합하기로	통합/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000046.2.2.1
'원스토어' 프로젝트 추진

'원스토어'	'/SS+원스토어/NNG+'/SS
프로젝트	프로젝트/NNG
추진	추진/NNG


# id : NWRW1800000046.2.3.1
이동통신 3사(社)가 각자 운영하던 앱 장터(앱스토어) 운영 시스템을 통합하기로 했다.

이동통신	이동/NNG+통신/NNG
3사(社)가	3사/NNG+(/SS+社/SH+)/SS+가/JKS
각자	각자/MAG
운영하던	운영/NNG+하/XSV+던/ETM
앱	앱/NNG
장터(앱스토어)	장터/NNG+(/SS+앱스토어/NNG+)/SS
운영	운영/NNG
시스템을	시스템/NNG+을/JKO
통합하기로	통합/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.2.3.2
국내 앱 장터를 장악하고 있는 구글·애플에 맞서 3사 역량을 합쳐 공동 대응에 나선 것이다.

국내	국내/NNG
앱	앱/NNG
장터를	장터/NNG+를/JKO
장악하고	장악/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
구글·애플에	구글/NNP+·/SP+애플/NNP+에/JKB
맞서	맞서/VV+어/EC
3사	3사/NNG
역량을	역량/NNG+을/JKO
합쳐	합치/VV+어/EC
공동	공동/NNG
대응에	대응/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.2.3.3
이통 3사는 SK텔레콤의 'T스토어', KT의 '올레마켓', LG유플러스의 'U+스토어'의 인프라를 통합하는 '원스토어' 프로젝트를 추진한다고 20일 밝혔다.

이통	이통/NNG
3사는	3사/NNG+는/JX
SK텔레콤의	SK텔레콤/NNP+의/JKG
'T스토어',	'/SS+T스토어/NNP+'/SS+,/SP
KT의	KT/SL+의/JKG
'올레마켓',	'/SS+올레마켓/NNP+'/SS+,/SP
LG유플러스의	LG유플러스/NNP+의/JKG
'U+스토어'의	'/SS+U+스토어/NNP+'/SS+의/JKG
인프라를	인프라/NNG+를/JKO
통합하는	통합/NNG+하/XSV+는/ETM
'원스토어'	'/SS+원스토어/NNG+'/SS
프로젝트를	프로젝트/NNG+를/JKO
추진한다고	추진/NNG+하/XSV+ㄴ다고/EC
20일	20/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.2.4.1
국내 4000만개의 스마트폰·태블릿PC에서 공통으로 이용할 수 있는 최대 규모의 앱·게임 시장이 탄생하는 셈이다.

국내	국내/NNG
4000만개의	4000/SN+만/NR+개/NNB+의/JKG
스마트폰·태블릿PC에서	스마트폰/NNG+·/SP+태블릿/NNG+PC/SL+에서/JKB
공통으로	공통/NNG+으로/JKB
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
최대	최대/NNG
규모의	규모/NNG+의/JKG
앱·게임	앱/NNG+·/SP+게임/NNG
시장이	시장/NNG+이/JKS
탄생하는	탄생/NNG+하/XSV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.2.5.1
이통사들은 이날 경기도 판교 SK플래닛에서 앱 개발사 150여곳을 초청해 합동 설명회를 열었다.

이통사들은	이통사/NNG+들/XSN+은/JX
이날	이날/NNG
경기도	경기도/NNP
판교	판교/NNP
SK플래닛에서	SK플래닛/NNP+에서/JKB
앱	앱/NNG
개발사	개발사/NNG
150여곳을	150/SN+여/XSN+곳/NNG+을/JKO
초청해	초청/NNG+하/XSV+아/EC
합동	합동/NNG
설명회를	설명회/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.2.5.2
