# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.6
metadata : {}


# id : NWRW1800000025.6.1.1
[21세기 한국 건축가 나의 건축을 말한다]김인철 교수의 중앙대 도서관 리모델링

[21세기	[/SS+21/SN+세기/NNG
한국	한국/NNP
건축가	건축가/NNG
나의	나/NP+의/JKG
건축을	건축/NNG+을/JKO
말한다]김인철	말/NNG+하/XSV+ㄴ다/EF+]/SS+김인철/NNP
교수의	교수/NNG+의/JKG
중앙대	중앙대/NNP
도서관	도서관/NNG
리모델링	리모델링/NNG


# id : NWRW1800000025.6.2.1
《경북 경주시 안강읍 옥산리의 독락당(獨樂堂)은 건물을 지우고 경관을 남기는 공간이다.

《경북	《/SS+경북/NNP
경주시	경주시/NNP
안강읍	안강읍/NNP
옥산리의	옥산리/NNP+의/JKG
독락당(獨樂堂)은	독락당/NNP+(/SS+獨樂堂/SH+)/SS+은/JX
건물을	건물/NNG+을/JKO
지우고	지우/VV+고/EC
경관을	경관/NNG+을/JKO
남기는	남기/VV+는/ETM
공간이다.	공간/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.6.2.2
그곳에 간 사람들은 470여 년 전 조선의 문신 회재 이언적(晦齋 李彦迪·1491∼1553)이 마련한 사랑채의 지붕이나 기둥을 이야기하지 않는다.

그곳에	그곳/NP+에/JKB
간	가/VV+ㄴ/ETM
사람들은	사람/NNG+들/XSN+은/JX
470여	470/SN+여/XSN
년	년/NNB
전	전/NNG
조선의	조선/NNP+의/JKG
문신	문신/NNG
회재	회재/NNP
이언적(晦齋	이언적/NNP+(/SS+晦齋/SH
李彦迪·1491∼1553)이	李彦迪/SH+·/SP+1491/SN+∼/SO+1553/SN+)/SS+이/JKS
마련한	마련/NNG+하/XSV+ㄴ/ETM
사랑채의	사랑채/NNG+의/JKG
지붕이나	지붕/NNG+이나/JC
기둥을	기둥/NNG+을/JKO
이야기하지	이야기/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000025.6.2.3
마루에 걸터앉아 사방으로 맞는 뿌듯한 풍광이 독락당의 핵심이다.

마루에	마루/NNG+에/JKB
걸터앉아	걸터앉/VV+아/EC
사방으로	사방/NNG+으로/JKB
맞는	맞/VV+는/ETM
뿌듯한	뿌듯하/VA+ㄴ/ETM
풍광이	풍광/NNG+이/JKS
독락당의	독락당/NNP+의/JKG
핵심이다.	핵심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.6.2.4
지난해 12월 24일 오후 서울 동작구 흑석동 중앙대 공학관 연구실.

지난해	지난해/NNG
12월	12/SN+월/NNB
24일	24/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
동작구	동작구/NNP
흑석동	흑석동/NNP
중앙대	중앙대/NNP
공학관	공학관/NNP
연구실.	연구실/NNG+./SF


# id : NWRW1800000025.6.2.5
김인철 교수(63)가 켜 보인 24인치 모니터 가득 독락당 마루가 끌어안은 풍경이 비쳤다.》

김인철	김인철/NNP
교수(63)가	교수/NNG+(/SS+63/SN+)/SS+가/JKS
켜	켜/VV+어/EC
보인	보이/VV+ㄴ/ETM
24인치	24/SN+인치/NNB
모니터	모니터/NNG
가득	가득/MAG
독락당	독락당/NNP
마루가	마루/NNG+가/JKS
끌어안은	끌어안/VV+은/ETM
풍경이	풍경/NNG+이/JKS
비쳤다.》	비치/VV+었/EP+다/EF+./SF+》/SS


# id : NWRW1800000025.6.3.1
“내 건축의 선생은 선조들이 남겨준 옛 건물입니다.”

“내	“/SS+나/NP+의/JKG
건축의	건축/NNG+의/JKG
선생은	선생/NNG+은/JX
선조들이	선조/NNG+들/XSN+이/JKS
남겨준	남기/VV+어/EC+주/VX+ㄴ/ETM
옛	옛/MMA
건물입니다.”	건물/NNG+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000025.6.4.1
건축주들은 ‘노출콘크리트를 맵시 있게 쓰는 건축가’로 알고 김 교수를 찾아온다.

