# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.238
metadata : {}


# id : NWRW1800000030.238.1.1
[조선데스크] 서울에는 '스토리'가 없다

[조선데스크]	[/SS+조선/NNP+데스크/NNP+]/SS
서울에는	서울/NNP+에/JKB+는/JX
'스토리'가	'/SS+스토리/NNG+'/SS+가/JKS
없다	없/VA+다/EF


# id : NWRW1800000030.238.2.1
일본 소설가 모리미 도미히코는 교토(京都) 지방정부가 1982년부터 수여해 온 '교토부 문화상'의 지난해 수상자다.

일본	일본/NNP
소설가	소설가/NNG
모리미	모리미/NNP
도미히코는	도미히코/NNP+는/JX
교토(京都)	교토/NNP+(/SS+京都/SH+)/SS
지방정부가	지방/NNG+정부/NNG+가/JKS
1982년부터	1982/SN+년/NNB+부터/JX
수여해	수여/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
'교토부	'/SS+교토부/NNP
문화상'의	문화/NNG+상/NNG+'/SS+의/JKG
지난해	지난해/NNG
수상자다.	수상자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.238.2.2
교토부(京都府)는 그를 수상자로 선정하면서 '교토의 평범한 일상을 무대로 환상적인 모험을 그린 작품들을 많이 썼다'고 이유를 밝혔다.

교토부(京都府)는	교토부/NNP+(/SS+京都府/SH+)/SS+는/JX
그를	그/NP+를/JKO
수상자로	수상자/NNG+로/JKB
선정하면서	선정/NNG+하/XSV+면서/EC
'교토의	'/SS+교토/NNP+의/JKG
평범한	평범하/VA+ㄴ/ETM
일상을	일상/NNG+을/JKO
무대로	무대/NNG+로/JKB
환상적인	환상/NNG+적/XSN+이/VCP+ㄴ/ETM
모험을	모험/NNG+을/JKO
그린	그리/VV+ㄴ/ETM
작품들을	작품/NNG+들/XSN+을/JKO
많이	많이/MAG
썼다'고	쓰/VV+었/EP+다/EF+'/SS+고/JKQ
이유를	이유/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.238.2.3
교토 선전을 잘해 주었다는 얘기다.

교토	교토/NNP
선전을	선전/NNG+을/JKO
잘해	잘/MAG+하/XSV+아/EC
주었다는	주/VV+었/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.238.3.1
교토는 일본인들에게 좋게 말하면 천황가(天皇家)의 전통이 서린 유서 깊은 고도(古都)이고 깎아서 평하자면 쉰내 나는 옛 도시다.

교토는	교토/NNP+는/JX
일본인들에게	일본인/NNG+들/XSN+에게/JKB
좋게	좋/VA+게/EC
말하면	말/NNG+하/XSV+면/EC
천황가(天皇家)의	천황가/NNG+(/SS+天皇家/SH+)/SS+의/JKG
전통이	전통/NNG+이/JKS
서린	서리/VV+ㄴ/ETM
유서	유서/NNG
깊은	깊/VA+은/ETM
고도(古都)이고	고도/NNG+(/SS+古都/SH+)/SS+이/VCP+고/EC
깎아서	깎/VV+아서/EC
평하자면	평/NNG+하/XSV+자면/EC
쉰내	쉰내/NNG
나는	나/VV+는/ETM
옛	옛/MMA
도시다.	도시/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.238.3.2
모리미는 '밤은 짧아, 걸어 아가씨야' '요이야마 만화경' 등의 작품에서 낡은 이미지로 굳어버린 교토를 환상과 현실이 공존하는 독특한 문화공간으로 새단장해 교토의 부가가치를 한층 끌어올렸다.

모리미는	모리미/NNP+는/JX
'밤은	'/SS+밤/NNG+은/JX
짧아,	짧/VA+아/EC+,/SP
걸어	걷/VV+어/EC
아가씨야'	아가씨/NNG+이/VCP+야/EF+'/SS
'요이야마	'/SS+요이야마/NNP
만화경'	만화경/NNG+'/SS
등의	등/NNB+의/JKG
작품에서	작품/NNG+에서/JKB
낡은	낡/VV+은/ETM
이미지로	이미지/NNG+로/JKB
굳어버린	굳/VV+어/EC+버리/VX+ㄴ/ETM
교토를	교토/NNP+를/JKO
환상과	환상/NNG+과/JC
현실이	현실/NNG+이/JKS
공존하는	공존/NNG+하/XSV+는/ETM
독특한	독특/NNG+하/XSA+ㄴ/ETM
문화공간으로	문화/NNG+공간/NNG+으로/JKB
새단장해	새/MMA+단장/NNG+하/XSV+아/EC
교토의	교토/NNP+의/JKG
부가가치를	부가/NNG+가치/NNG+를/JKO
한층	한층/MAG
끌어올렸다.	끌어올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.238.4.1
미국에서는 소설가 폴 오스터가 모리미와 유사한 작업을 하고 있다.

미국에서는	미국/NNP+에서/JKB+는/JX
소설가	소설가/NNG
폴	폴/NNP
오스터가	오스터/NNP+가/JKS
모리미와	모리미/NNP+와/JKB
유사한	유사/NNG+하/XSA+ㄴ/ETM
작업을	작업/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.238.4.2
뉴욕에서 30년 넘게 살아온 그의 소설 무대는 대부분 뉴욕이다.

뉴욕에서	뉴욕/NNP+에서/JKB
30년	30/SN+년/NNB
넘게	넘/VV+게/EC
살아온	살아오/VV+ㄴ/ETM
그의	그/NP+의/JKG
소설	소설/NNG
무대는	무대/NNG+는/JX
대부분	대/XPN+부분/NNG
뉴욕이다.	뉴욕/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000030.238.4.3
세계 경제의 중심지이자 유엔본부가 있는 지구촌 정치 수도이며 모마(MoMA)라는 미술의 꽃까지 거느린 뉴욕은 폴 오스터의 소설 덕에 현대인의 열망과 좌절, 고독과 절망이 명멸하는 인간 드라마의 현장으로 거듭났다.

세계	세계/NNG
경제의	경제/NNG+의/JKG
중심지이자	중심지/NNG+이/VCP+자/EC
유엔본부가	유엔/NNP+본부/NNG+가/JKS
있는	있/VA+는/ETM
지구촌	지구촌/NNG
정치	정치/NNG
수도이며	수도/NNG+이/VCP+며/EC
모마(MoMA)라는	모마/NNP+(/SS+MoMA/SL+)/SS+이/VCP+라는/ETM
미술의	미술/NNG+의/JKG
꽃까지	꽃/NNG+까지/JX
거느린	거느리/VV+ㄴ/ETM
뉴욕은	뉴욕/NNP+은/JX
폴	폴/NNP
오스터의	오스터/NNP+의/JKG
소설	소설/NNG
덕에	덕/NNG+에/JKB
현대인의	현대인/NNG+의/JKG
열망과	열망/NNG+과/JC
좌절,	좌절/NNG+,/SP
고독과	고독/NNG+과/JC
절망이	절망/NNG+이/JKS
명멸하는	명멸/NNG+하/XSV+는/ETM
인간	인간/NNG
드라마의	드라마/NNG+의/JKG
현장으로	현장/NNG+으로/JKB
거듭났다.	거듭나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.238.5.1
모리미 도미히코와 폴 오스터의 소설을 읽으며 한국 소설 속의 서울을 떠올리는 마음은 착잡하다.

모리미	모리미/NNP
도미히코와	도미히코/NNP+와/JC
폴	폴/NNP
오스터의	오스터/NNP+의/JKG
소설을	소설/NNG+을/JKO
읽으며	읽/VV+으며/EC
한국	한국/NNP
소설	소설/NNG
속의	속/NNG+의/JKG
서울을	서울/NNP+을/JKO
떠올리는	떠올리/VV+는/ETM
마음은	마음/NNG+은/JX
착잡하다.	착잡/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000030.238.5.2
소설공간마저 문화상품으로 세계에 내놓는 외국 작가들의 전략적 문화 마인드가 우리 문학에선 보이지 않는다는 초조함 때문이다.

소설공간마저	소설/NNG+공간/NNG+마저/JX
문화상품으로	문화/NNG+상품/NNG+으로/JKB
세계에	세계/NNG+에/JKB
내놓는	내놓/VV+는/ETM
외국	외국/NNG
작가들의	작가/NNG+들/XSN+의/JKG
전략적	전략/NNG+적/XSN
문화	문화/NNG
마인드가	마인드/NNG+가/JKS
우리	우리/NP
문학에선	문학/NNG+에서/JKB+ㄴ/JX
보이지	보이/VV+지/EC
않는다는	않/VX+는다는/ETM
초조함	초조/NNG+하/XSA+ㅁ/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.238.5.3
모리미가 소설에서 교토의 낮과 밤을 나눠 낮에는 볼 수 없는 환상이 펼치지는 공간으로 교토의 밤을 표현했다면, 폴 오스터는 뉴욕에 '우연이 지배하는 대도시'라는 테마를 부여한다.

모리미가	모리미/NNP+가/JKS
소설에서	소설/NNG+에서/JKB
교토의	교토/NNP+의/JKG
낮과	낮/NNG+과/JC
밤을	밤/NNG+을/JKO
나눠	나누/VV+어/EC
낮에는	낮/NNG+에/JKB+는/JX
볼	보/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
환상이	환상/NNG+이/JKS
펼치지는	펼치/VV+지/EC+는/JX
공간으로	공간/NNG+으로/JKB
표현했다면,	표현/NNG+하/XSV+았/EP+다면/EC+,/SP
폴	폴/NNP
오스터는	오스터/NNP+는/JX
뉴욕에	뉴욕/NNP+에/JKB
'우연이	'/SS+우연/NNG+이/JKS
지배하는	지배/NNG+하/XSV+는/ETM
대도시'라는	대/XPN+도시/NNG+'/SS+이/VCP+라는/ETM
테마를	테마/NNG+를/JKO
