# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.35
metadata : {}


# id : NWRW1800000030.35.1.1
"거품파이 던진 건 가장 잘 한 일, 이빨 빠진 청문회… 희극이었다"

"거품파이	"/SS+거품/NNG+파이/NNG
던진	던지/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
가장	가장/MAG
잘	잘/MAG
한	하/VV+ㄴ/ETM
일,	일/NNG+,/SP
이빨	이빨/NNG
빠진	빠지/VV+ㄴ/ETM
청문회…	청문회/NNG+…/SE
희극이었다"	희극/NNG+이/VCP+었/EP+다/EF+"/SS


# id : NWRW1800000030.35.2.1
•면도거품男, 트위터에 거사실패 아쉬움 남겨

•면도거품男,	•/SW+면도/NNG+거품/NNG+男/SH+,/SP
트위터에	트위터/NNP+에/JKB
거사실패	거사/NNG+실패/NNG
아쉬움	아쉬움/NNG
남겨	남기/VV+어/EF


# id : NWRW1800000030.35.3.1
지난 20일 영국 의회 청문회장에서 언론재벌 루퍼트 머독에게 '면도 거품 파이'를 던지려다 체포된 코미디언 출신 사회활동가 조너선 메이 볼스(26)가 트위터와 신문사 홈페이지를 통해 자신의 행동을 정당화하고 거사 실패를 아쉬워하는 글을 남겼다.

지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
영국	영국/NNP
의회	의회/NNG
청문회장에서	청문회장/NNG+에서/JKB
언론재벌	언론/NNG+재벌/NNG
루퍼트	루퍼트/NNP
머독에게	머독/NNP+에게/JKB
'면도	'/SS+면도/NNG
거품	거품/NNG
파이'를	파이/NNG+'/SS+를/JKO
던지려다	던지/VV+려다/EC
체포된	체포/NNG+되/XSV+ㄴ/ETM
코미디언	코미디언/NNG
출신	출신/NNG
사회활동가	사회/NNG+활동가/NNG
조너선	조너선/NNP
메이	메이/NNP
볼스(26)가	볼스/NNP+(/SS+26/SN+)/SS+가/JKS
트위터와	트위터/NNP+와/JC
신문사	신문사/NNG
홈페이지를	홈페이지/NNG+를/JKO
통해	통하/VV+아/EC
자신의	자신/NNG+의/JKG
행동을	행동/NNG+을/JKO
정당화하고	정당화/NNG+하/XSV+고/EC
거사	거사/NNG
실패를	실패/NNG+를/JKO
아쉬워하는	아쉬워하/VV+는/ETM
글을	글/NNG+을/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.35.4.1
그는 의회 청문회장으로 잠입한 뒤 파이를 던지기 직전까지 휴대폰을 이용해 메시지를 남겼다.

그는	그/NP+는/JX
의회	의회/NNG
청문회장으로	청문회장/NNG+으로/JKB
잠입한	잠입/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
파이를	파이/NNG+를/JKO
던지기	던지/VV+기/ETN
직전까지	직전/NNG+까지/JX
휴대폰을	휴대폰/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
메시지를	메시지/NNG+를/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.35.4.2
파이를 던지기 몇초 전 작성된 트위터 글에선 '철퍼덕(splat)'이라는 제목(태그)을 붙이고 "지금 내가 하는 행동은 이제껏 했던 일 가운데 가장 나은 일"이라는 글을 남겼다.

파이를	파이/NNG+를/JKO
던지기	던지/VV+기/ETN
몇초	몇/NR+초/NNB
전	전/NNG
작성된	작성/NNG+되/XSV+ㄴ/ETM
트위터	트위터/NNP
글에선	글/NNG+에서/JKB+ㄴ/JX
'철퍼덕(splat)'이라는	'/SS+철퍼덕/MAG+(/SS+splat/SL+)/SS+'/SS+이/VCP+라는/ETM
제목(태그)을	제목/NNG+(/SS+태그/NNG+)/SS+을/JKO
붙이고	붙이/VV+고/EC
"지금	"/SS+지금/MAG
내가	내/NP+가/JKS
하는	하/VV+는/ETM
행동은	행동/NNG+은/JX
이제껏	이제껏/MAG
했던	하/VV+았/EP+던/ETM
일	일/NNG
가운데	가운데/NNG
가장	가장/MAG
나은	낫/VA+은/ETM
일"이라는	일/NNG+"/SS+이/VCP+라는/ETM
글을	글/NNG+을/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.35.5.1
그는 또 경찰 조사를 받고 보석으로 풀려난 뒤 가디언지 인터넷 홈페이지에 남긴 글을 통해 "의회 청문회는 '희극'에 가까웠다. 이빨 빠진 청문회 패널 사이를 약삭빠른 머독이 미끄러지듯 빠져나갔다"고 비판했다.

그는	그/NP+는/JX
또	또/MAG
경찰	경찰/NNG
조사를	조사/NNG+를/JKO
받고	받/VV+고/EC
보석으로	보석/NNG+으로/JKB
풀려난	풀려나/VV+ㄴ/ETM
뒤	뒤/NNG
가디언지	가디언지/NNP
인터넷	인터넷/NNG
홈페이지에	홈페이지/NNG+에/JKB
남긴	남기/VV+ㄴ/ETM
글을	글/NNG+을/JKO
통해	통하/VV+아/EC
"의회	"/SS+의회/NNG
청문회는	청문회/NNG+는/JX
'희극'에	'/SS+희극/NNG+'/SS+에/JKB
가까웠다.	가깝/VA+었/EP+다/EF+./SF
이빨	이빨/NNG
빠진	빠지/VV+ㄴ/ETM
청문회	청문회/NNG
패널	패널/NNG
사이를	사이/NNG+를/JKO
약삭빠른	약삭빠르/VA+ㄴ/ETM
머독이	머독/NNP+이/JKS
미끄러지듯	미끄러지/VV+듯/EC
빠져나갔다"고	빠져나가/VV+았/EP+다/EF+"/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.35.6.1
코미디언으로 활동 중인 메이 볼스는 영국 정부의 긴축정책에 반대하는 운동단체인 언커트(Uncut) 조직에서 활동가로 일하면서, 루퍼트 머독에 대해 비판적인 발언을 자주 했던 것으로 전해졌다.

코미디언으로	코미디언/NNG+으로/JKB
활동	활동/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
메이	메이/NNP
볼스는	볼스/NNP+는/JX
영국	영국/NNP
정부의	정부/NNG+의/JKG
긴축정책에	긴축/NNG+정책/NNG+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
운동단체인	운동/NNG+단체/NNG+이/VCP+ㄴ/ETM
언커트(Uncut)	언커트/NNP+(/SS+Uncut/SL+)/SS
조직에서	조직/NNG+에서/JKB
활동가로	활동가/NNG+로/JKB
일하면서,	일/NNG+하/XSV+면서/EC+,/SP
루퍼트	루퍼트/NNP
머독에	머독/NNP+에/JKB
대해	대하/VV+아/EC
비판적인	비판/NNG+적/XSN+이/VCP+ㄴ/ETM
발언을	발언/NNG+을/JKO
자주	자주/MAG
했던	하/VV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.35.7.1
그의 대학 친구는 "머독의 과도한 영향력이 민주주의에 해악을 끼친다고 비난해 왔다"고 전했다.

그의	그/NP+의/JKG
대학	대학/NNG
친구는	친구/NNG+는/JX
"머독의	"/SS+머독/NNP+의/JKG
과도한	과도/NNG+하/XSA+ㄴ/ETM
영향력이	영향력/NNG+이/JKS
민주주의에	민주주의/NNG+에/JKB
해악을	해악/NNG+을/JKO
끼친다고	끼치/VV+ㄴ다고/EC
비난해	비난/NNG+하/XSV+아/EC
왔다"고	오/VX+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.35.7.2
메이 볼스는 "권총 찬 경찰과 엑스레이 검색대로는 면도 거품을 숨긴 채 잠입한 남자를 당해낼 수 없었다"고 의회의 허술한 보안 시스템을 조롱하면서도 "머독의 아내가 의자에서 튀어나오면서 상황이 이상하게 변해버렸다"고 거사 실패를 아쉬워했다.

메이	메이/NNP
볼스는	볼스/NNP+는/JX
"권총	"/SS+권총/NNG
찬	차/VV+ㄴ/ETM
경찰과	경찰/NNG+과/JC
엑스레이	엑스레이/NNG
검색대로는	검색대/NNG+로/JKB+는/JX
면도	면도/NNG
거품을	거품/NNG+을/JKO
숨긴	숨기/VV+ㄴ/ETM
채	채/NNB
잠입한	잠입/NNG+하/XSV+ㄴ/ETM
남자를	남자/NNG+를/JKO
당해낼	당하/VV+아/EC+내/VX+ㄹ/ETM
수	수/NNB
없었다"고	없/VA+었/EP+다/EF+"/SS+고/JKQ
의회의	의회/NNG+의/JKG
허술한	허술하/VA+ㄴ/ETM
보안	보안/NNG
시스템을	시스템/NNG+을/JKO
조롱하면서도	조롱/NNG+하/XSV+면서/EC+도/JX
"머독의	"/SS+머독/NNP+의/JKG
아내가	아내/NNG+가/JKS
의자에서	의자/NNG+에서/JKB
튀어나오면서	튀어나오/VV+면서/EC
상황이	상황/NNG+이/JKS
이상하게	이상/NNG+하/XSA+게/EC
변해버렸다"고	변하/VV+아/EC+버리/VX+었/EP+다/EF+"/SS+고/JKQ
거사	거사/NNG
실패를	실패/NNG+를/JKO
아쉬워했다.	아쉬워하/VV+았/EP+다/EF+./SF


