# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.337
metadata : {}


# id : NWRW1800000049.337.1.1
[뉴스분석]여야 특권놓기, 쇼 말고 리얼액션 보여라

[뉴스분석]여야	[/SS+뉴스/NNG+분석/NNG+]/SS+여야/NNG
특권놓기,	특권/NNG+놓/VV+기/ETN+,/SP
쇼	쇼/NNG
말고	말/VV+고/EC
리얼액션	리얼/NNG+액션/NNG
보여라	보이/VV+어라/EF


# id : NWRW1800000049.337.2.1
친인척 채용 비난여론에 떠밀려 3당 “의원 불체포특권 포기” 합의 과거 자정 결의 번번이 흐지부지 말로만 끝나지 않아야 불신 해소

친인척	친인척/NNG
채용	채용/NNG
비난여론에	비난/NNG+여론/NNG+에/JKB
떠밀려	떠밀리/VV+어/EC
3당	3/SN+당/NNG
“의원	“/SS+의원/NNG
불체포특권	불/XPN+체포/NNG+특권/NNG
포기”	포기/NNG+”/SS
합의	합의/NNG
과거	과거/NNG
자정	자정/NNG
결의	결의/NNG
번번이	번번이/MAG
흐지부지	흐지부지/MAG
말로만	말/NNG+로/JKB+만/JX
끝나지	끝나/VV+지/EC
않아야	않/VX+아야/EC
불신	불신/NNG
해소	해소/NNG


# id : NWRW1800000049.337.3.1
브렉시트(영국의 유럽연합·EU 탈퇴) 이후 한국 정치권에서도 분노와 불만 조절을 위한 양극화 해소 목소리가 쏟아지는 모습이다.

브렉시트(영국의	브렉시트/NNG+(/SS+영국/NNP+의/JKG
유럽연합·EU	유럽연합/NNP+·/SP+EU/SL
탈퇴)	탈퇴/NNG+)/SS
이후	이후/NNG
한국	한국/NNP
정치권에서도	정치/NNG+권/XSN+에서/JKB+도/JX
분노와	분노/NNG+와/JC
불만	불만/NNG
조절을	조절/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
양극화	양극/NNG+화/XSN
해소	해소/NNG
목소리가	목소리/NNG+가/JKS
쏟아지는	쏟아지/VV+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.337.3.2
하지만 감당할 수 없는 달콤한 양극화 해소 방안을 경쟁적으로 내놓기보다는 ‘특권과 갑질’ 등 정치 영역에 대한 불신과 혐오부터 해소해야 한다는 지적이 나오고 있다.

하지만	하지만/MAJ
감당할	감당/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
달콤한	달콤하/VA+ㄴ/ETM
양극화	양극/NNG+화/XSN
해소	해소/NNG
방안을	방안/NNG+을/JKO
경쟁적으로	경쟁/NNG+적/XSN+으로/JKB
내놓기보다는	내놓/VV+기/ETN+보다/JKB+는/JX
‘특권과	‘/SS+특권/NNG+과/JC
갑질’	갑/NNG+질/XSN+’/SS
등	등/NNB
정치	정치/NNG
영역에	영역/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불신과	불신/NNG+과/JC
혐오부터	혐오/NNG+부터/JX
해소해야	해소/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.337.4.1
공교롭게도 한국은 경제협력개발기구(OECD) 회원국 가운데 ‘포퓰리즘 광풍’이 휩쓸고 있는 미국 영국과 함께 양극화가 가장 심한 국가로 꼽힌다.

공교롭게도	공교롭/VA+게/EC+도/JX
한국은	한국/NNP+은/JX
경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
회원국	회원국/NNG
가운데	가운데/NNG
‘포퓰리즘	‘/SS+포퓰리즘/NNG
광풍’이	광풍/NNG+’/SS+이/JKS
휩쓸고	휩쓸/VV+고/EC
있는	있/VX+는/ETM
미국	미국/NNP
영국과	영국/NNP+과/JKB
함께	함께/MAG
양극화가	양극/NNG+화/XSN+가/JKS
가장	가장/MAG
심한	심하/VA+ㄴ/ETM
국가로	국가/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.337.4.2
한국에서도 내년 대선을 앞두고 포퓰리즘이 극에 달할 수 있는 여건이 충분하다는 얘기다.

한국에서도	한국/NNP+에서/JKB+도/JX
내년	내년/NNG
대선을	대선/NNG+을/JKO
앞두고	앞두/VV+고/EC
포퓰리즘이	포퓰리즘/NNG+이/JKS
극에	극/NNG+에/JKB
달할	달하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
여건이	여건/NNG+이/JKS
충분하다는	충분하/VA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.337.4.3
전문가들은 이를 차단하려면 ‘정치 정상화’가 시급하다고 입을 모으고 있다.

전문가들은	전문가/NNG+들/XSN+은/JX
이를	이/NP+를/JKO
차단하려면	차단/NNG+하/XSV+려면/EC
‘정치	‘/SS+정치/NNG
정상화’가	정상/NNG+화/XSN+’/SS+가/JKS
시급하다고	시급하/VA+다고/EC
입을	입/NNG+을/JKO
모으고	모으/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.337.5.1
대중의 불안과 불만을 한꺼번에 해결할 방법은 없다는 걸 솔직히 설명하고 국민의 이해와 고통 분담을 요구하려면 무엇보다 정치권이 자정 노력을 통해 신뢰를 회복해야 한다는 것이다.

대중의	대중/NNG+의/JKG
불안과	불안/NNG+과/JC
불만을	불만/NNG+을/JKO
한꺼번에	한꺼번에/MAG
해결할	해결/NNG+하/XSV+ㄹ/ETM
방법은	방법/NNG+은/JX
없다는	없/VA+다는/ETM
걸	거/NNB+ㄹ/JKO
솔직히	솔직히/MAG
설명하고	설명/NNG+하/XSV+고/EC
국민의	국민/NNG+의/JKG
이해와	이해/NNG+와/JC
