# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.65
metadata : {}


# id : NWRW1800000052.65.1.1
공정위, SKT-CJ헬로비전 합병 심사보고서 발송…합병 물 건너 가나

공정위,	공정위/NNG+,/SP
SKT-CJ헬로비전	SKT/SL+-/SO+CJ/SL+헬로비전/NNP
합병	합병/NNG
심사보고서	심사/NNG+보고서/NNG
발송…합병	발송/NNG+…/SE+합병/NNG
물	물/NNG
건너	건너/VV+어/EC
가나	가/VX+나/EF


# id : NWRW1800000052.65.2.1
합병 심사 7개월 만에 보고서 발송…빠르면 이달 중순 결론 나올 듯

합병	합병/NNG
심사	심사/NNG
7개월	7/SN+개월/NNB
만에	만/NNB+에/JKB
보고서	보고서/NNG
발송…빠르면	발송/NNG+…/SE+빠르/VA+면/EC
이달	이달/NNG
중순	중순/NNG
결론	결론/NNG
나올	나오/VV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000052.65.3.1
알뜰폰·지역 케이블 방송 ‘경쟁 제한성 높다’ 의견 담긴 것으로 알려져

알뜰폰·지역	알뜰/NNG+폰/NNG+·/SP+지역/NNG
케이블	케이블/NNG
방송	방송/NNG
‘경쟁	‘/SS+경쟁/NNG
제한성	제한/NNG+성/XSN
높다’	높/VA+다/EF+’/SS
의견	의견/NNG
담긴	담기/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EF


# id : NWRW1800000052.65.4.1
SKT의 인수 작업에 걸림돌 될 듯, 인수 포기할 수도

SKT의	SKT/SL+의/JKG
인수	인수/NNG
작업에	작업/NNG+에/JKB
걸림돌	걸림돌/NNG
될	되/VV+ㄹ/ETM
듯,	듯/NNB+,/SP
포기할	포기/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX


# id : NWRW1800000052.65.5.1
독과점 논란이 이어진 에스케이텔레콤(SKT)의 씨제이(CJ)헬로비전 인수에 대해 공정거래위원회가 7개월 만에 ‘기업결합(합병) 심사보고서’를 내놨다.

독과점	독과점/NNG
논란이	논란/NNG+이/JKS
이어진	이어지/VV+ㄴ/ETM
에스케이텔레콤(SKT)의	에스케이텔레콤/NNP+(/SS+SKT/SL+)/SS+의/JKG
씨제이(CJ)헬로비전	씨제이/NNP+(/SS+CJ/SL+)/SS+헬로비전/NNP
인수에	인수/NNG+에/JKB
대해	대하/VV+아/EC
공정거래위원회가	공정/NNG+거래/NNG+위원회/NNG+가/JKS
7개월	7/SN+개월/NNB
만에	만/NNB+에/JKB
‘기업결합(합병)	‘/SS+기업/NNG+결합/NNG+(/SS+합병/NNG+)/SS
심사보고서’를	심사/NNG+보고서/NNG+’/SS+를/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.65.5.2
그러나 두 업체가 합치면 알뜰폰 사업과 지역 케이블방송 영역에서 ‘경쟁 제한성’(독과점)이 심해질 것이라는 내용이 담긴 것으로 알려져, 현실적으로 합병을 진행하기 어려울 수 있다는 전망이 나온다.

그러나	그러나/MAJ
두	두/MMN
업체가	업체/NNG+가/JKS
합치면	합치/VV+면/EC
알뜰폰	알뜰/NNG+폰/NNG
사업과	사업/NNG+과/JC
지역	지역/NNG
케이블방송	케이블/NNG+방송/NNG
영역에서	영역/NNG+에서/JKB
‘경쟁	‘/SS+경쟁/NNG
제한성’(독과점)이	제한/NNG+성/XSN+’/SS+(/SS+독과점/NNG+)/SS+이/JKS
심해질	심하/VA+아/EC+지/VX+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져,	알려지/VV+어/EC+,/SP
현실적으로	현실/NNG+적/XSN+으로/JKB
합병을	합병/NNG+을/JKO
진행하기	진행/NNG+하/XSV+기/ETN
어려울	어렵/VA+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
전망이	전망/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.65.6.1
공정위 사무처는 이날 에스케이텔레콤에 씨제이헬로비전 인수에 대한 심사보고서를 전달했다.

공정위	공정위/NNG
사무처는	사무처/NNG+는/JX
이날	이날/NNG
에스케이텔레콤에	에스케이텔레콤/NNP+에/JKB
씨제이헬로비전	씨제이헬로비전/NNP
인수에	인수/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
심사보고서를	심사/NNG+보고서/NNG+를/JKO
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.65.6.2
에스케이텔레콤이 지난해 12월 공정위에 기업결합 심사를 신청한 지 7개월 만이다.

에스케이텔레콤이	에스케이텔레콤/NNP+이/JKS
지난해	지난해/NNG
12월	12/SN+월/NNB
공정위에	공정위/NNG+에/JKB
기업결합	기업/NNG+결합/NNG
심사를	심사/NNG+를/JKO
신청한	신청/NNG+하/XSV+ㄴ/ETM
지	지/NNB
7개월	7/SN+개월/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.65.6.3
에스케이텔레콤은 최장 3주 동안 심사보고서 내용을 검토해 의견을 제출하며, 공정위는 전원회의를 통해 결론을 내린다.

에스케이텔레콤은	에스케이텔레콤/NNP+은/JX
최장	최장/NNG
3주	3/SN+주/NNB
동안	동안/NNG
심사보고서	심사/NNG+보고서/NNG
내용을	내용/NNG+을/JKO
검토해	검토/NNG+하/XSV+아/EC
의견을	의견/NNG+을/JKO
제출하며,	제출/NNG+하/XSV+며/EC+,/SP
공정위는	공정위/NNG+는/JX
전원회의를	전원회의/NNG+를/JKO
통해	통하/VV+아/EC
결론을	결론/NNG+을/JKO
내린다.	내리/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.65.6.4
그러나 공정위가 검토 기한을 얼마나 줬는지 알려지지 않아, 이르면 이달 중 전원회의가 열려 결과가 나올 수도 있다.

그러나	그러나/MAJ
공정위가	공정위/NNG+가/JKS
검토	검토/NNG
기한을	기한/NNG+을/JKO
얼마나	얼마나/MAG
줬는지	주/VV+었/EP+는지/EF
알려지지	알려지/VV+지/EC
않아,	않/VX+아/EC+,/SP
이르면	이르/VA+면/EC
이달	이달/NNG
중	중/NNB
전원회의가	전원회의/NNG+가/JKS
열려	열리/VV+어/EC
결과가	결과/NNG+가/JKS
나올	나오/VV+ㄹ/ETM
