# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.241
metadata : {}


# id : NWRW1800000037.241.1.1
‘대어’ 손흥민, 레버쿠젠 이적

‘대어’	‘/SS+대어/NNG+’/SS
손흥민,	손흥민/NNP+,/SP
레버쿠젠	레버쿠젠/NNP
이적	이적/NNG


# id : NWRW1800000037.241.2.1
5년 계약… 이적료-연봉 안 밝혀

5년	5/SN+년/NNB
계약…	계약/NNG+…/SE
이적료-연봉	이적료/NNG+-/SO+연봉/NNG
안	안/MAG
밝혀	밝히/VV+어/EF


# id : NWRW1800000037.241.3.1
유럽 프로축구 이적시장의 ‘대어’로 손꼽힌 손흥민(21·사진)이 독일 분데스리가의 명문 바이엘 레버쿠젠에 새 둥지를 틀게 됐다.

유럽	유럽/NNP
프로축구	프로/NNG+축구/NNG
이적시장의	이적/NNG+시장/NNG+의/JKG
‘대어’로	‘/SS+대어/NNG+’/SS+로/JKB
손꼽힌	손꼽히/VV+ㄴ/ETM
손흥민(21·사진)이	손흥민/NNP+(/SS+21/SN+·/SP+사진/NNG+)/SS+이/JKS
독일	독일/NNP
분데스리가의	분데스리가/NNG+의/JKG
명문	명문/NNG
바이엘	바이엘/NNP
레버쿠젠에	레버쿠젠/NNP+에/JKB
새	새/MMA
둥지를	둥지/NNG+를/JKO
틀게	틀/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.241.4.1
레버쿠젠은 13일 구단 홈페이지를 통해 “손흥민과 2018년 6월까지 5년 계약을 맺었다”고 밝혔다.

레버쿠젠은	레버쿠젠/NNP+은/JX
13일	13/SN+일/NNB
구단	구단/NNG
홈페이지를	홈페이지/NNG+를/JKO
통해	통하/VV+아/EC
“손흥민과	“/SS+손흥민/NNP+과/JKB
2018년	2018/SN+년/NNB
6월까지	6/SN+월/NNB+까지/JX
5년	5/SN+년/NNB
계약을	계약/NNG+을/JKO
맺었다”고	맺/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.241.4.2
레버쿠젠은 손흥민의 이적료와 연봉 등 계약에 관한 세부사항은 밝히지 않았다.

레버쿠젠은	레버쿠젠/NNP+은/JX
손흥민의	손흥민/NNP+의/JKG
이적료와	이적료/NNG+와/JC
연봉	연봉/NNG
