# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.95
metadata : {}


# id : NWRW1800000044.95.1.1
‘우산혁명’을 바라보는 홍콩언론의 두 얼굴

‘우산혁명’을	‘/SS+우산/NNG+혁명/NNG+’/SS+을/JKO
바라보는	바라보/VV+는/ETM
홍콩언론의	홍콩/NNP+언론/NNG+의/JKG
두	두/MMN
얼굴	얼굴/NNG


# id : NWRW1800000044.95.2.1
[한겨레] ‘싱다오일보’ ‘TVB’ 등 친중국 언론

[한겨레]	[/SS+한겨레/NNP+]/SS
‘싱다오일보’	‘/SS+싱다오/NNP+일보/NNG+’/SS
‘TVB’	‘/SS+TVB/SL+’/SS
등	등/NNB
친중국	친/XPN+중국/NNP
언론	언론/NNG


# id : NWRW1800000044.95.3.1
“시위 중단·경찰 단호한 조처” 촉구

“시위	“/SS+시위/NNG
중단·경찰	중단/NNG+·/SP+경찰/NNG
단호한	단호하/VA+ㄴ/ETM
조처”	조처/NNG+”/SS
촉구	촉구/NNG


# id : NWRW1800000044.95.4.1
‘명보’ ‘핑궈일보’는 시위에 우호적

‘명보’	‘/SS+명보/NNP+’/SS
‘핑궈일보’는	‘/SS+핑궈일보/NNP+’/SS+는/JX
시위에	시위/NNG+에/JKB
우호적	우호/NNG+적/XSN


# id : NWRW1800000044.95.5.1
“시민들 바람은 완전 직선제” 옹호

“시민들	“/SS+시민/NNG+들/XSN
바람은	바람/NNG+은/JX
완전	완전/NNG
직선제”	직선/NNG+제/XSN+”/SS
옹호	옹호/NNG


# id : NWRW1800000044.95.6.1
정부·학생대표 11일 대화재개 합의

정부·학생대표	정부/NNG+·/SP+학생/NNG+대표/NNG
11일	11/SN+일/NNB
대화재개	대화/NNG+재개/NNG
합의	합의/NNG


# id : NWRW1800000044.95.7.1
#1. 6일 오후 홍콩 <핑궈일보>사 앞.

#1.	#/SW+1/SN+./SF
6일	6/SN+일/NNB
오후	오후/NNG
홍콩	홍콩/NNP
<핑궈일보>사	</SS+핑궈일보/NNP+>/SS+사/NNG
앞.	앞/NNG+./SF


# id : NWRW1800000044.95.7.2
상인과 중장년층이 주축이 된 1300여명의 시위대가 항의집회를 열었다.

상인과	상인/NNG+과/JC
중장년층이	중장년/NNG+층/XSN+이/JKS
주축이	주축/NNG+이/JKC
된	되/VV+ㄴ/ETM
1300여명의	1300/SN+여/XSN+명/NNB+의/JKG
시위대가	시위대/NNG+가/JKS
항의집회를	항의/NNG+집회/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.95.7.3
이들은 “<핑궈일보>를 비롯한 소수 홍콩 언론이 도심 점령 시위를 벌이는 학생들을 선동하는 보도를 하고, 이에 반대하는 시위에 대해선 허위보도를 일삼고 있다”고 주장했다.

이들은	이/NP+들/XSN+은/JX
“<핑궈일보>를	“/SS+</SS+핑궈일보/NNP+>/SS+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
소수	소수/NNG
홍콩	홍콩/NNP
언론이	언론/NNG+이/JKS
도심	도심/NNG
점령	점령/NNG
시위를	시위/NNG+를/JKO
벌이는	벌이/VV+는/ETM
학생들을	학생/NNG+들/XSN+을/JKO
선동하는	선동/NNG+하/XSV+는/ETM
보도를	보도/NNG+를/JKO
하고,	하/VV+고/EC+,/SP
이에	이/NP+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
시위에	시위/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
허위보도를	허위/NNG+보도/NNG+를/JKO
일삼고	일삼/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.95.7.4
“허위 사실을 퍼뜨리고도 몰염치한 신문”, “흑백을 오도하는 신문”이라는 구호도 외쳤다.

“허위	“/SS+허위/NNG
사실을	사실/NNG+을/JKO
퍼뜨리고도	퍼뜨리/VV+고/EC+도/JX
몰염치한	몰염치/NNG+하/XSA+ㄴ/ETM
신문”,	신문/NNG+”/SS+,/SP
“흑백을	“/SS+흑백/NNG+을/JKO
오도하는	오도/NNG+하/XSV+는/ETM
신문”이라는	신문/NNG+”/SS+이/VCP+라는/ETM
구호도	구호/NNG+도/JX
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.95.7.5
이 신문에 시위 여대생의 다리를 붙잡는 사진이 실려 성추행 논란에 휩싸인 식당 주인 레이먼드 류는 “군중에 떠밀려 넘어졌을 뿐”이라며 “명예를 훼손한 <핑궈일보>를 고소하겠다”고 말했다.

이	이/MMD
신문에	신문/NNG+에/JKB
시위	시위/NNG
여대생의	여대/NNG+생/XSN+의/JKG
다리를	다리/NNG+를/JKO
붙잡는	붙잡/VV+는/ETM
사진이	사진/NNG+이/JKS
실려	실리/VV+어/EC
성추행	성추행/NNG
논란에	논란/NNG+에/JKB
휩싸인	휩싸이/VV+ㄴ/ETM
식당	식당/NNG
주인	주인/NNG
레이먼드	레이먼드/NNP
류는	류/NNP+는/JX
“군중에	“/SS+군중/NNG+에/JKB
떠밀려	떠밀리/VV+어/EC
넘어졌을	넘어지/VV+었/EP+을/ETM
뿐”이라며	뿐/NNB+”/SS+이/VCP+라며/EC
“명예를	“/SS+명예/NNG+를/JKO
훼손한	훼손/NNG+하/XSV+ㄴ/ETM
<핑궈일보>를	</SS+핑궈일보/NNP+>/SS+를/JKO
고소하겠다”고	고소/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.95.8.1
#2. 7일 새벽 애드미럴티역 부근.

#2.	#/SW+2/SN+./SF
7일	7/SN+일/NNB
새벽	새벽/NNG
애드미럴티역	애드미럴티역/NNP
부근.	부근/NNG+./SF


# id : NWRW1800000044.95.8.2
도로 점거 시위를 벌이고 있는 시위대가 <티브이B(TVB)> 방송을 향해 거센 항의를 했다.

도로	도로/NNG
점거	점거/NNG
시위를	시위/NNG+를/JKO
벌이고	벌이/VV+고/EC
있는	있/VX+는/ETM
시위대가	시위대/NNG+가/JKS
<티브이B(TVB)>	</SS+티브이B/NNP+(/SS+TVB/SL+)/SS+>/SS
방송을	방송/NNG+을/JKO
향해	향하/VV+아/EC
거센	거세/VA+ㄴ/ETM
항의를	항의/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.95.8.3
이들은 “시위 소식을 계속 소극적으로 보도했다”며 “가 아니라 ‘CCTVB’(중국 관영 <시시티브이>(CCTV)의 아류라는 비유)라 해야 마땅하다”고 외쳤다.

이들은	이/NP+들/XSN+은/JX
“시위	“/SS+시위/NNG
소식을	소식/NNG+을/JKO
계속	계속/MAG
소극적으로	소극/NNG+적/XSN+으로/JKB
보도했다”며	보도/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“가	“/SS+가/JKC
아니라	아니/VCN+라/EC
‘CCTVB’(중국	‘/SS+CCTVB/SL+’/SS+(/SS+중국/NNP
관영	관영/NNG
<시시티브이>(CCTV)의	</SS+시시티브이/NNP+>/SS+(/SS+CCTV/SL+)/SS+의/JKG
아류라는	아류/NNG+이/VCP+라는/ETM
비유)라	비유/NNG+)/SS+이/VCP+라/EC
해야	하/VV+아야/EC
마땅하다”고	마땅하/VA+다/EF+”/SS+고/JKQ
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.95.8.4
이 방송사 취재진은 시위대의 항의에 밀려 취재를 중단해야 했다.

이	이/MMD
방송사	방송사/NNG
취재진은	취재진/NNG+은/JX
시위대의	시위대/NNG+의/JKG
항의에	항의/NNG+에/JKB
밀려	밀리/VV+어/EC
취재를	취재/NNG+를/JKO
중단해야	중단/NNG+하/XSV+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.95.9.1
행정장관 완전 자유직선제를 요구하는 홍콩 시위가 대화 국면으로 접어든 가운데 친중국과 반중국으로 나뉜 시위대는 홍콩 언론을 향해 각각 불만을 표출하고 있다.

행정장관	행정/NNG+장관/NNG
완전	완전/NNG
자유직선제를	자유/NNG+직선/NNG+제/XSN+를/JKO
요구하는	요구/NNG+하/XSV+는/ETM
홍콩	홍콩/NNP
시위가	시위/NNG+가/JKS
대화	대화/NNG
국면으로	국면/NNG+으로/JKB
접어든	접어들/VV+ㄴ/ETM
가운데	가운데/NNG
친중국과	친/XPN+중국/NNP+과/JC
반중국으로	반/XPN+중국/NNP+으로/JKB
나뉜	나뉘/VV+ㄴ/ETM
시위대는	시위대/NNG+는/JX
언론을	언론/NNG+을/JKO
향해	향하/VV+아/EC
각각	각각/MAG
불만을	불만/NNG+을/JKO
표출하고	표출/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.95.9.2
검열이 일상화된 중국에 견줘 홍콩 언론들은 언론자유가 보장돼 있어 시위를 두고 엇갈린 논조를 보인다.

검열이	검열/NNG+이/JKS
일상화된	일상/NNG+화/XSN+되/XSV+ㄴ/ETM
중국에	중국/NNP+에/JKB
견줘	견주/VV+어/EC
홍콩	홍콩/NNP
언론들은	언론/NNG+들/XSN+은/JX
언론자유가	언론/NNG+자유/NNG+가/JKS
보장돼	보장/NNG+되/XSV+어/EC
있어	있/VX+어/EC
시위를	시위/NNG+를/JKO
두고	두/VV+고/EC
엇갈린	엇갈리/VV+ㄴ/ETM
논조를	논조/NNG+를/JKO
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.95.9.3
하지만 최근엔 중국 정부의 영향력과 중국 투자자들의 ‘돈의 힘’을 고려해 많은 홍콩 언론들이 점점 더 친중국적으로 변한다는 지적도 나온다.

하지만	하지만/MAJ
최근엔	최근/NNG+에/JKB+ㄴ/JX
중국	중국/NNP
정부의	정부/NNG+의/JKG
영향력과	영향력/NNG+과/JC
투자자들의	투자자/NNG+들/XSN+의/JKG
‘돈의	‘/SS+돈/NNG+의/JKG
힘’을	힘/NNG+’/SS+을/JKO
고려해	고려/NNG+하/XSV+아/EC
많은	많/VA+은/ETM
홍콩	홍콩/NNP
언론들이	언론/NNG+들/XSN+이/JKS
점점	점점/MAG
더	더/MAG
친중국적으로	친/XPN+중국/NNP+적/XSN+으로/JKB
변한다는	변하/VV+ㄴ다는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.95.10.1
<싱다오일보>와 <다궁바오> <둥팡일보> 등은 친중국계 성향으로 도심 점거 시위대에 비판적인 보도를 하고 있다.

<싱다오일보>와	</SS+싱다오/NNP+일보/NNG+>/SS+와/JC
<다궁바오>	</SS+다궁바오/NNP+>/SS
<둥팡일보>	</SS+둥팡/NNP+일보/NNG+>/SS
등은	등/NNB+은/JX
친중국계	친/XPN+중국/NNP+계/XSN
성향으로	성향/NNG+으로/JKB
도심	도심/NNG
점거	점거/NNG
시위대에	시위대/NNG+에/JKB
비판적인	비판/NNG+적/XSN+이/VCP+ㄴ/ETM
보도를	보도/NNG+를/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.95.10.2
홍콩 중산층이 주요 독자인 <싱다오일보>는 최근 사설에서 “사회질서 회복을 위해 경찰이 단호한 조처를 취해야 한다.

홍콩	홍콩/NNP
중산층이	중산/NNG+층/XSN+이/JKS
주요	주요/NNG
독자인	독자/NNG+이/VCP+ㄴ/ETM
<싱다오일보>는	</SS+싱다오/NNP+일보/NNG+>/SS+는/JX
최근	최근/NNG
사설에서	사설/NNG+에서/JKB
“사회질서	“/SS+사회/NNG+질서/NNG
회복을	회복/NNG+을/JKO
위해	위하/VV+아/EC
경찰이	경찰/NNG+이/JKS
단호한	단호하/VA+ㄴ/ETM
조처를	조처/NNG+를/JKO
취해야	취하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.95.10.3
최루탄 사용도 꺼려선 안 된다”며 중국 정부의 주장을 강력히 두둔했다.

최루탄	최루탄/NNG
사용도	사용/NNG+도/JX
꺼려선	꺼리/VV+어서/EC+ㄴ/JX
안	안/MAG
된다”며	되/VV+ㄴ다/EF+”/SS+며/EC
중국	중국/NNP
정부의	정부/NNG+의/JKG
주장을	주장/NNG+을/JKO
강력히	강력히/MAG
두둔했다.	두둔/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.95.10.4
<다궁바오>와 <둥팡일보>도 사설에서 각각 “도심 점령 시위를 당장 멈춰라”, “미국이 중국을 파멸시키려 한다”고 주장했다.

<다궁바오>와	</SS+다궁바오/NNP+>/SS+와/JC
<둥팡일보>도	</SS+둥팡/NNP+일보/NNG+>/SS+도/JX
사설에서	사설/NNG+에서/JKB
각각	각각/MAG
“도심	“/SS+도심/NNG
점령	점령/NNG
시위를	시위/NNG+를/JKO
당장	당장/NNG
멈춰라”,	멈추/VV+어라/EF+”/SS+,/SP
“미국이	“/SS+미국/NNP+이/JKS
중국을	중국/NNP+을/JKO
파멸시키려	파멸/NNG+시키/XSV+려/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.95.11.1
이들과 대척점엔 <명보>와 <핑궈일보> 등이 서 있다.

이들과	이/NP+들/XSN+과/JC
대척점엔	대척점/NNG+에/JKB+ㄴ/JX
<명보>와	</SS+명보/NNP+>/SS+와/JC
<핑궈일보>	</SS+핑궈일보/NNP+>/SS
등이	등/NNB+이/JKS
서	서/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.95.11.2
1959년 설립된 <명보>는 이번 시위의 한 축인 중·고교생 독자가 많다.

1959년	1959/SN+년/NNB
설립된	설립/NNG+되/XSV+ㄴ/ETM
<명보>는	</SS+명보/NNP+>/SS+는/JX
이번	이번/NNG
시위의	시위/NNG+의/JKG
한	한/MMN
축인	축/NNG+이/VCP+ㄴ/ETM
중·고교생	중·고교/NNG+생/XSN
독자가	독자/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000044.95.11.3
이 신문은 “홍콩 시민들의 바람은 행정장관 입후보 자격을 사전 제한한 규정을 철폐하라는 것이지 중국 정부를 완전히 부정하는 것이 아니다”고 주장했다.

이	이/MMD
신문은	신문/NNG+은/JX
“홍콩	“/SS+홍콩/NNP
시민들의	시민/NNG+들/XSN+의/JKG
바람은	바람/NNG+은/JX
행정장관	행정/NNG+장관/NNG
입후보	입후보/NNG
자격을	자격/NNG+을/JKO
사전	사전/NNG
제한한	제한/NNG+하/XSV+ㄴ/ETM
규정을	규정/NNG+을/JKO
철폐하라는	철폐/NNG+하/XSV+라는/ETM
것이지	것/NNB+이/VCP+지/EC
중국	중국/NNP
정부를	정부/NNG+를/JKO
완전히	완전히/MAG
부정하는	부정/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKC
아니다”고	아니/VCN+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.95.11.4
연예소식과 정부에 비판적인 논조로 최대 발행부수를 지닌 <핑궈일보>는 도심 점거 시위에 대해 초반부터 우호적인 논조를 보여왔다.

연예소식과	연예/NNG+소식/NNG+과/JC
정부에	정부/NNG+에/JKB
비판적인	비판/NNG+적/XSN+이/VCP+ㄴ/ETM
논조로	논조/NNG+로/JKB
최대	최대/NNG
발행부수를	발행/NNG+부수/NNG+를/JKO
지닌	지니/VV+ㄴ/ETM
<핑궈일보>는	</SS+핑궈일보/NNP+>/SS+는/JX
도심	도심/NNG
점거	점거/NNG
시위에	시위/NNG+에/JKB
대해	대하/VV+아/EC
초반부터	초반/NNG+부터/JX
우호적인	우호/NNG+적/XSN+이/VCP+ㄴ/ETM
논조를	논조/NNG+를/JKO
보여왔다.	보이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.95.12.1
이런 가운데 정부와 시위 학생대표 쪽은 11일까지 정식 대화를 시작하기로 합의했다.

이런	이런/MMD
가운데	가운데/NNG
정부와	정부/NNG+와/JC
시위	시위/NNG
학생대표	학생/NNG+대표/NNG
쪽은	쪽/NNB+은/JX
11일까지	11/SN+일/NNB+까지/JX
정식	정식/NNG
대화를	대화/NNG+를/JKO
시작하기로	시작/NNG+하/XSV+기/ETN+로/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.95.12.2
대학생 연합체인 홍콩전상학생연회(학련) 레스터 셤 부비서장과 라오콩와 홍콩 정치개혁·본토 사무국 부국장은 7일 학생과 정부 대표가 동등한 위치에서 여러 차례 대화를 진행하고 합의 사항을 이행하기로 뜻을 모았다.

대학생	대학/NNG+생/XSN
연합체인	연합체/NNG+이/VCP+ㄴ/ETM
홍콩전상학생연회(학련)	홍콩전상학생연회/NNP+(/SS+학련/NNP+)/SS
레스터	레스터/NNP
셤	셤/NNP
부비서장과	부비서장/NNG+과/JC
라오콩와	라오콩와/NNP
홍콩	홍콩/NNP
정치개혁·본토	정치/NNG+개혁/NNG+·/SP+본토/NNG
사무국	사무국/NNG
부국장은	부국장/NNG+은/JX
7일	7/SN+일/NNB
학생과	학생/NNG+과/JC
정부	정부/NNG
대표가	대표/NNG+가/JKS
동등한	동등/NNG+하/XSA+ㄴ/ETM
위치에서	위치/NNG+에서/JKB
여러	여러/MMN
차례	차례/NNG
대화를	대화/NNG+를/JKO
진행하고	진행/NNG+하/XSV+고/EC
합의	합의/NNG
사항을	사항/NNG+을/JKO
이행하기로	이행/NNG+하/XSV+기/ETN+로/JKB
뜻을	뜻/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.95.12.3
정부 쪽은 “좋은 분위기 속에서 진지하게 대화했다”고 했지만, 학생 쪽은 “정부가 구체적인 안이 없다.

정부	정부/NNG
쪽은	쪽/NNB+은/JX
“좋은	“/SS+좋/VA+은/ETM
분위기	분위기/NNG
속에서	속/NNG+에서/JKB
진지하게	진지하/VA+게/EC
대화했다”고	대화/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
했지만,	하/VV+았/EP+지만/EC+,/SP
학생	학생/NNG
“정부가	“/SS+정부/NNG+가/JKS
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
안이	안/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.95.12.4
대화가 실패하면 다시 투쟁강도를 높이겠다”고 말하고 있어, 대화를 통한 해결 전망은 여전히 미지수다.

대화가	대화/NNG+가/JKS
실패하면	실패/NNG+하/XSV+면/EC
다시	다시/MAG
