# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.205
metadata : {}


# id : NWRW1800000033.205.1.1
제주의 속살 100km를 달리다

제주의	제주/NNP+의/JKG
속살	속살/NNG
100km를	100/SN+km/SW+를/JKO
달리다	달리/VV+다/EF


# id : NWRW1800000033.205.2.1
■ 제주국제트레일런 본보 임재영 기자 완주記

■	■/SW
제주국제트레일런	제주/NNP+국제/NNG+트레일런/NNG
본보	본보/NNG
임재영	임재영/NNP
기자	기자/NNG
완주記	완주/NNG+記/SH


# id : NWRW1800000033.205.3.1
도로가 아닌 산이나 계곡, 들판, 사막, 정글 등 포장되지 않은 길을 달리는 아웃도어 스포츠인 트레일런(Trail Run).

도로가	도로/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
산이나	산/NNG+이나/JC
계곡,	계곡/NNG+,/SP
들판,	들판/NNG+,/SP
사막,	사막/NNG+,/SP
정글	정글/NNG
등	등/NNB
포장되지	포장/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
길을	길/NNG+을/JKO
달리는	달리/VV+는/ETM
아웃도어	아웃도어/NNG
스포츠인	스포츠/NNG+이/VCP+ㄴ/ETM
트레일런(Trail	트레일런/NNG+(/SS+Trail/SL
Run).	Run/SL+)/SS+./SF


# id : NWRW1800000033.205.3.2
국내에선 아직 생소하지만 유럽에서는 포장도로를 달리는 마라톤과 견줄 정도로 큰 인기를 모으는 스포츠다.

국내에선	국내/NNG+에서/JKB+ㄴ/JX
아직	아직/MAG
생소하지만	생소하/VA+지만/EC
유럽에서는	유럽/NNP+에서/JKB+는/JX
포장도로를	포장도로/NNG+를/JKO
달리는	달리/VV+는/ETM
마라톤과	마라톤/NNG+과/JKB
견줄	견주/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
큰	크/VA+ㄴ/ETM
인기를	인기/NNG+를/JKO
모으는	모으/VV+는/ETM
스포츠다.	스포츠/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.205.3.3
2∼4일 제주에서 국내 첫 트레일런 대회인 ‘2012 제주국제트레일런’이 열려 국내외 애호가 700여 명이 참가했다.

2∼4일	2/SN+∼/SO+4/SN+일/NNB
제주에서	제주/NNP+에서/JKB
국내	국내/NNG
첫	첫/MMN
트레일런	트레일런/NNG
대회인	대회/NNG+이/VCP+ㄴ/ETM
‘2012	‘/SS+2012/SN
제주국제트레일런’이	제주/NNP+국제/NNG+트레일런/NNG+’/SS+이/JKS
열려	열리/VV+어/EC
국내외	국내외/NNG
애호가	애호가/NNG
700여	700/SN+여/XSN
명이	명/NNB+이/JKS
참가했다.	참가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.205.3.4
12km, 40km, 100km 3종목으로 열린 이 대회에서 100km 종목에 직접 기자가 도전해 봤다(작은 사진).

12km,	12/SN+km/SW+,/SP
40km,	40/SN+km/SW+,/SP
100km	100/SN+km/SW
3종목으로	3/SN+종목/NNG+으로/JKB
열린	열리/VV+ㄴ/ETM
이	이/MMD
대회에서	대회/NNG+에서/JKB
종목에	종목/NNG+에/JKB
