# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.72
metadata : {}


# id : NWRW1800000053.72.1.1
[스마트 컨슈머]타이어 특화 서비스… ‘고객감동’ 싣고 달린다

[스마트	[/SS+스마트/NNG
컨슈머]타이어	컨슈머/NNG+]/SS+타이어/NNG
특화	특화/NNG
서비스…	서비스/NNG+…/SE
‘고객감동’	‘/SS+고객/NNG+감동/NNG+’/SS
싣고	싣/VV+고/EC
달린다	달리/VV+ㄴ다/EF


# id : NWRW1800000053.72.2.1
금호타이어

금호타이어	금호타이어/NNP


# id : NWRW1800000053.72.3.1
금호타이어(대표 이한섭)는 프리미엄 타이어 시장을 선점하기 위해 2001년 6월 ‘타이어 프로페셔널리즘(Tire Professionalism)’을 표방한 타이어 전문 특화유통점인 ‘타이어프로’ (Tire Pro)를 국내 최초로 론칭했다.

금호타이어(대표	금호타이어/NNP+(/SS+대표/NNG
이한섭)는	이한섭/NNP+)/SS+는/JX
프리미엄	프리미엄/NNG
타이어	타이어/NNG
시장을	시장/NNG+을/JKO
선점하기	선점/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
2001년	2001/SN+년/NNB
6월	6/SN+월/NNB
‘타이어	‘/SS+타이어/NNG
프로페셔널리즘(Tire	프로페셔널리즘/NNG+(/SS+Tire/SL
Professionalism)’을	Professionalism/SL+)/SS+’/SS+을/JKO
표방한	표방/NNG+하/XSV+ㄴ/ETM
전문	전문/NNG
특화유통점인	특화/NNG+유통점/NNG+이/VCP+ㄴ/ETM
‘타이어프로’	‘/SS+타이어프로/NNP+’/SS
(Tire	(/SS+Tire/SL
Pro)를	Pro/SL+)/SS+를/JKO
국내	국내/NNG
최초로	최초/NNG+로/JKB
론칭했다.	론칭/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.72.4.1
타이어 특화유통점은 타이어 판매만 가능한 일반 대리점과는 달리 타이어와 관련된 점검과 정비 등 원스톱 서비스가 가능하다.

타이어	타이어/NNG
특화유통점은	특화/NNG+유통점/NNG+은/JX
판매만	판매/NNG+만/JX
가능한	가능/NNG+하/XSA+ㄴ/ETM
일반	일반/NNG
대리점과는	대리점/NNG+과/JKB+는/JX
달리	달리/MAG
타이어와	타이어/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
점검과	점검/NNG+과/JC
정비	정비/NNG
등	등/NNB
원스톱	원스톱/NNG
서비스가	서비스/NNG+가/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000053.72.4.2
타이어프로는 타이어 추천 및 교체와 더불어 공기압 점검, 인치업, 휠 얼라인먼트, 진동 조정, 밸런스 등 타이어와 직접 관련된 과학적 서비스를 제공한다.

타이어프로는	타이어프로/NNP+는/JX
타이어	타이어/NNG
추천	추천/NNG
및	및/MAG
교체와	교체/NNG+와/JKB
더불어	더불/VV+어/EC
공기압	공기압/NNG
점검,	점검/NNG+,/SP
인치업,	인치업/NNG+,/SP
휠	휠/NNG
얼라인먼트,	얼라인먼트/NNG+,/SP
진동	진동/NNG
조정,	조정/NNG+,/SP
밸런스	밸런스/NNG
등	등/NNB
타이어와	타이어/NNG+와/JKB
직접	직접/MAG
관련된	관련/NNG+되/XSV+ㄴ/ETM
과학적	과학/NNG+적/XSN
서비스를	서비스/NNG+를/JKO
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.72.4.3
표준화된 점검 서비스와 업계에서 가장 잘 훈련된 타이어 전문가들을 배치해 고객들의 높은 만족도를 유지하는 데 중점을 두고 있다.

표준화된	표준/NNG+화/XSN+되/XSV+ㄴ/ETM
점검	점검/NNG
서비스와	서비스/NNG+와/JC
업계에서	업계/NNG+에서/JKB
가장	가장/MAG
잘	잘/MAG
훈련된	훈련/NNG+되/XSV+ㄴ/ETM
타이어	타이어/NNG
전문가들을	전문가/NNG+들/XSN+을/JKO
배치해	배치/NNG+하/XSV+아/EC
고객들의	고객/NNG+들/XSN+의/JKG
높은	높/VA+은/ETM
만족도를	만족도/NNG+를/JKO
유지하는	유지/NNG+하/XSV+는/ETM
데	데/NNB
중점을	중점/NNG+을/JKO
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.72.5.1
서비스 품질 향상을 위해 기술적 전문성과 경영 마인드 갖춰

서비스	서비스/NNG
품질	품질/NNG
향상을	향상/NNG+을/JKO
위해	위하/VV+아/EC
기술적	기술/NNG+적/XSN
전문성과	전문/NNG+성/XSN+과/JC
경영	경영/NNG
마인드	마인드/NNG
갖춰	갖추/VV+어/EF


# id : NWRW1800000053.72.6.1
타이어프로의 전문적인 서비스는 고도로 숙련된 타이어 전문가들이 있어야 가능하다.

타이어프로의	타이어프로/NNP+의/JKG
전문적인	전문/NNG+적/XSN+이/VCP+ㄴ/ETM
서비스는	서비스/NNG+는/JX
고도로	고도/NNG+로/JKB
숙련된	숙련/NNG+되/XSV+ㄴ/ETM
타이어	타이어/NNG
전문가들이	전문가/NNG+들/XSN+이/JKS
있어야	있/VA+어야/EC
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000053.72.6.2
금호타이어는 이 점을 절감하고 타이어프로 인력들의 전문성 향상과 최신기술 교육을 위해 점주 및 직원들을 대상으로 해외 기술연수, 단계별 세분된 기술 전문가 과정, 세일즈 매뉴얼 교육, 유통점 경영자 대상 경영 실무교육 등을 실시하고 있다.

금호타이어는	금호타이어/NNP+는/JX
이	이/MMD
점을	점/NNG+을/JKO
절감하고	절감/NNG+하/XSV+고/EC
타이어프로	타이어프로/NNP
인력들의	인력/NNG+들/XSN+의/JKG
전문성	전문/NNG+성/XSN
향상과	향상/NNG+과/JC
최신기술	최신/NNG+기술/NNG
교육을	교육/NNG+을/JKO
위해	위하/VV+아/EC
점주	점주/NNG
및	및/MAG
직원들을	직원/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
해외	해외/NNG
기술연수,	기술/NNG+연수/NNG+,/SP
단계별	단계/NNG+별/XSN
세분된	세분/NNG+되/XSV+ㄴ/ETM
기술	기술/NNG
전문가	전문가/NNG
과정,	과정/NNG+,/SP
세일즈	세일즈/NNG
매뉴얼	매뉴얼/NNG
교육,	교육/NNG+,/SP
유통점	유통점/NNG
경영자	경영자/NNG
대상	대상/NNG
경영	경영/NNG
실무교육	실무/NNG+교육/NNG
등을	등/NNB+을/JKO
실시하고	실시/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.72.6.3
올해 3월에는 전국 금호타이어의 특화 유통망(타이어프로 및 KTS) 대리점주 500여 명을 대상으로 정책설명회를 실시해 올해 회사의 영업·마케팅 정책과 중점 추진사항 등을 발표하고 대리점주들의 영업 현장에 대한 의견을 들으며 유통망 역량 강화를 위한 소통의 시간을 가졌다.

올해	올해/NNG
3월에는	3/SN+월/NNB+에/JKB+는/JX
전국	전국/NNG
금호타이어의	금호타이어/NNP+의/JKG
특화	특화/NNG
유통망(타이어프로	유통망/NNG+(/SS+타이어프로/NNP
및	및/MAG
KTS)	KTS/SL+)/SS
대리점주	대리점주/NNG
500여	500/SN+여/XSN
명을	명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
정책설명회를	정책/NNG+설명회/NNG+를/JKO
실시해	실시/NNG+하/XSV+아/EC
회사의	회사/NNG+의/JKG
영업·마케팅	영업/NNG+·/SP+마케팅/NNG
정책과	정책/NNG+과/JC
중점	중점/NNG
추진사항	추진/NNG+사항/NNG
등을	등/NNB+을/JKO
발표하고	발표/NNG+하/XSV+고/EC
대리점주들의	대리점주/NNG+들/XSN+의/JKG
영업	영업/NNG
현장에	현장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
들으며	듣/VV+으며/EC
유통망	유통망/NNG
역량	역량/NNG
강화를	강화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
소통의	소통/NNG+의/JKG
시간을	시간/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.72.6.4
또한 금호타이어는 2대째 타이어프로 경영을 준비하는 예비점주 및 일반 대리점을 대상으로 2009년부터 워크숍을 실시해오고 있다.

또한	또한/MAG
금호타이어는	금호타이어/NNP+는/JX
2대째	2/SN+대/NNB+째/XSN
타이어프로	타이어프로/NNP
경영을	경영/NNG+을/JKO
준비하는	준비/NNG+하/XSV+는/ETM
예비점주	예비/NNG+점주/NNG
및	및/MAG
일반	일반/NNG
대리점을	대리점/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
2009년부터	2009/SN+년/NNB+부터/JX
워크숍을	워크숍/NNG+을/JKO
실시해오고	실시/NNG+하/XSV+아/EC+오/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.72.6.5
이뿐만 아니라 금호타이어는 타이어 전문가 양성을 위해 2013년 업계 최초로 대전 세일즈 트레이닝 센터를 오픈하고 체계적 트레이닝 프로그램을 운영 중이다.

이뿐만	이/NP+뿐/JX+만/JX
아니라	아니/VCN+라/EC
금호타이어는	금호타이어/NNP+는/JX
타이어	타이어/NNG
전문가	전문가/NNG
양성을	양성/NNG+을/JKO
위해	위하/VV+아/EC
2013년	2013/SN+년/NNB
업계	업계/NNG
최초로	최초/NNG+로/JKB
대전	대전/NNP
세일즈	세일즈/NNG
트레이닝	트레이닝/NNG
센터를	센터/NNG+를/JKO
오픈하고	오픈/NNG+하/XSV+고/EC
체계적	체계/NNG+적/XSN
프로그램을	프로그램/NNG+을/JKO
운영	운영/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.72.6.6
교육 노하우를 축약해 만들어진 세일즈 매뉴얼인 ‘고객 맞춤 세일즈 6단계’를 통해 고객의 구매심리를 파악하고 최적화된 맞춤형 서비스를 제공할 수 있도록 필수 교육과목으로 선정하여 교육을 실시하고 있다.

교육	교육/NNG
노하우를	노하우/NNG+를/JKO
축약해	축약/NNG+하/XSV+아/EC
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
세일즈	세일즈/NNG
매뉴얼인	매뉴얼/NNG+이/VCP+ㄴ/ETM
‘고객	‘/SS+고객/NNG
맞춤	맞춤/NNG
6단계’를	6/SN+단계/NNG+’/SS+를/JKO
통해	통하/VV+아/EC
고객의	고객/NNG+의/JKG
구매심리를	구매/NNG+심리/NNG+를/JKO
파악하고	파악/NNG+하/XSV+고/EC
최적화된	최적/NNG+화/XSN+되/XSV+ㄴ/ETM
맞춤형	맞춤/NNG+형/XSN
서비스를	서비스/NNG+를/JKO
제공할	제공/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
필수	필수/NNG
교육과목으로	교육/NNG+과목/NNG+으로/JKB
선정하여	선정/NNG+하/XSV+아/EC
교육을	교육/NNG+을/JKO
실시하고	실시/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.72.7.1
또한 전국 타이어프로 어디에서나 고객에게 표준화된 서비스 제공이 가능하도록 교육 전문인력의 현장 방문 교육이 실시되고 있으며, 매장 상호간의 서비스 품질 벤치마킹을 위한 미스터리 쇼핑 프로그램도 새롭게 도입해 서비스 품질 향상을 추구하고 있다.

또한	또한/MAG
전국	전국/NNG
타이어프로	타이어프로/NNP
어디에서나	어디/NP+에서/JKB+나/JX
고객에게	고객/NNG+에게/JKB
표준화된	표준/NNG+화/XSN+되/XSV+ㄴ/ETM
서비스	서비스/NNG
제공이	제공/NNG+이/JKS
가능하도록	가능/NNG+하/XSA+도록/EC
교육	교육/NNG
전문인력의	전문/NNG+인력/NNG+의/JKG
현장	현장/NNG
방문	방문/NNG
교육이	교육/NNG+이/JKS
실시되고	실시/NNG+되/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
매장	매장/NNG
상호간의	상호/NNG+간/NNB+의/JKG
품질	품질/NNG
벤치마킹을	벤치마킹/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
미스터리	미스터리/NNG
쇼핑	쇼핑/NNG
프로그램도	프로그램/NNG+도/JX
새롭게	새롭/VA+게/EC
도입해	도입/NNG+하/XSV+아/EC
향상을	향상/NNG+을/JKO
추구하고	추구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.72.8.1
글로벌 B.I 적용을 통한 전 세계 표준 서비스

글로벌	글로벌/NNG
B.I	B/SL+./SP+I/SL
적용을	적용/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
전	전/MMN
세계	세계/NNG
표준	표준/NNG
서비스	서비스/NNG


# id : NWRW1800000053.72.9.1
타이어프로가 한 단계 도약하게 된 시점은 2009년이다.

타이어프로가	타이어프로/NNP+가/JKS
한	한/MMN
단계	단계/NNG
도약하게	도약/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
시점은	시점/NNG+은/JX
2009년이다.	2009/SN+년/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.72.9.2
글로벌 브랜드 아이덴티티(B.I) 도입과 함께 단순히 외형만 통일한 것이 아니라 전 세계 어느 매장에서도 차량 입고부터 최종 점검, 출고까지 표준화된 절차에 따른 서비스를 제공하기 시작했다.

글로벌	글로벌/NNG
브랜드	브랜드/NNG
아이덴티티(B.I)	아이덴티티/NNP+(/SS+B/SL+./SP+I/SL+)/SS
도입과	도입/NNG+과/JKB
함께	함께/MAG
단순히	단순히/MAG
외형만	외형/NNG+만/JX
통일한	통일/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
전	전/MMN
세계	세계/NNG
어느	어느/MMD
매장에서도	매장/NNG+에서/JKB+도/JX
차량	차량/NNG
입고부터	입고/NNG+부터/JX
최종	최종/NNG
점검,	점검/NNG+,/SP
출고까지	출고/NNG+까지/JX
표준화된	표준/NNG+화/XSN+되/XSV+ㄴ/ETM
절차에	절차/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
서비스를	서비스/NNG+를/JKO
제공하기	제공/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.72.9.3
이를 통해 국내외 리테일 시장에서 ‘글로벌 기업’ 이미지를 본격적으로 구축했다.

이를	이/NP+를/JKO
통해	통하/VV+아/EC
국내외	국내외/NNG
리테일	리테일/NNG
시장에서	시장/NNG+에서/JKB
‘글로벌	‘/SS+글로벌/NNG
기업’	기업/NNG+’/SS
이미지를	이미지/NNG+를/JKO
본격적으로	본격/NNG+적/XSN+으로/JKB
구축했다.	구축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.72.10.1
‘고객 편의를 위한 원스톱 타이어 서비스 공간’을 지향하는 만큼 고객들이 타이어 교환이나 점검을 기다리는 동안 차를 마시거나 인터넷을 사용하며 편안한 시간을 보낼 수 있도록 매장을 구성했고, 작업장에 커다란 통유리를 설치해 고객들이 편안하게 앉아서 작업과정을 모두 지켜볼 수 있도록 배려했다.

‘고객	‘/SS+고객/NNG
편의를	편의/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
원스톱	원스톱/NNG
타이어	타이어/NNG
서비스	서비스/NNG
공간’을	공간/NNG+’/SS+을/JKO
지향하는	지향/NNG+하/XSV+는/ETM
만큼	만큼/NNB
고객들이	고객/NNG+들/XSN+이/JKS
교환이나	교환/NNG+이나/JC
점검을	점검/NNG+을/JKO
기다리는	기다리/VV+는/ETM
동안	동안/NNG
차를	차/NNG+를/JKO
마시거나	마시/VV+거나/EC
인터넷을	인터넷/NNG+을/JKO
사용하며	사용/NNG+하/XSV+며/EC
편안한	편안/NNG+하/XSA+ㄴ/ETM
시간을	시간/NNG+을/JKO
보낼	보내/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
매장을	매장/NNG+을/JKO
구성했고,	구성/NNG+하/XSV+았/EP+고/EC+,/SP
작업장에	작업장/NNG+에/JKB
커다란	커다랗/VA+ㄴ/ETM
통유리를	통유리/NNG+를/JKO
설치해	설치/NNG+하/XSV+아/EC
편안하게	편안/NNG+하/XSA+게/EC
앉아서	앉/VV+아서/EC
작업과정을	작업/NNG+과정/NNG+을/JKO
모두	모두/MAG
지켜볼	지켜보/VV+ㄹ/ETM
배려했다.	배려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.72.10.2
또한 2011년 8월 매장 외형 업그레이드를 추진해 보다 세련되고 현대화된 타이어프로 매장을 구축했다.

또한	또한/MAG
2011년	2011/SN+년/NNB
8월	8/SN+월/NNB
매장	매장/NNG
외형	외형/NNG
업그레이드를	업그레이드/NNG+를/JKO
추진해	추진/NNG+하/XSV+아/EC
보다	보다/MAG
세련되고	세련/NNG+되/XSA+고/EC
현대화된	현대/NNG+화/XSN+되/XSV+ㄴ/ETM
타이어프로	타이어프로/NNP
매장을	매장/NNG+을/JKO
구축했다.	구축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.72.11.1
고객 감동을 위한 혁신적 서비스활동 도입

고객	고객/NNG
감동을	감동/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
혁신적	혁신/NNG+적/XSN
서비스활동	서비스/NNG+활동/NNG
도입	도입/NNG


# id : NWRW1800000053.72.12.1
금호타이어는 2013년 국내 최초로 ‘타이어 마모 수명 보증제도(Mileage Warranty)’를 도입해 고객들에게 실질적인 혜택을 제공하고 있다.

금호타이어는	금호타이어/NNP+는/JX
2013년	2013/SN+년/NNB
국내	국내/NNG
최초로	최초/NNG+로/JKB
‘타이어	‘/SS+타이어/NNG
마모	마모/NNG
수명	수명/NNG
보증제도(Mileage	보증/NNG+제도/NNG+(/SS+Mileage/SL
Warranty)’를	Warranty/SL+)/SS+’/SS+를/JKO
도입해	도입/NNG+하/XSV+아/EC
고객들에게	고객/NNG+들/XSN+에게/JKB
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
혜택을	혜택/NNG+을/JKO
제공하고	제공/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.72.12.2
이 제도는 구매 후 타이어 바닥 면이 마모 한계(1.6mm)수준까지 마모됐을 때, 실제 주행 거리와 보증거리 간의 차이만큼 보상해주는 제도로서 합리적 소비성향을 가진 소비자들에게 호응을 얻고 있다.

이	이/MMD
제도는	제도/NNG+는/JX
구매	구매/NNG
후	후/NNG
타이어	타이어/NNG
바닥	바닥/NNG
면이	면/NNG+이/JKS
마모	마모/NNG
한계(1.6mm)수준까지	한계/NNG+(/SS+1/SN+./SP+6/SN+mm/SW+)/SS+수준/NNG+까지/JX
마모됐을	마모/NNG+되/XSV+었/EP+을/ETM
때,	때/NNG+,/SP
실제	실제/NNG
주행	주행/NNG
거리와	거리/NNG+와/JC
보증거리	보증/NNG+거리/NNG
간의	간/NNB+의/JKG
차이만큼	차이/NNG+만큼/JKB
보상해주는	보상/NNG+하/XSV+아/EC+주/VX+는/ETM
제도로서	제도/NNG+로서/JKB
합리적	합리/NNG+적/XSN
소비성향을	소비/NNG+성향/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
소비자들에게	소비자/NNG+들/XSN+에게/JKB
호응을	호응/NNG+을/JKO
얻고	얻/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.72.12.3
대상 제품은 마제스티 솔루스, 시티벤처 프리미엄 등 프리미엄 제품 외 기본형과 SUV 용 제품이며, 최소 2개 이상 구매 시 최대 6만 km(주행거리)까지 보증 받을 수 있다.

대상	대상/NNG
제품은	제품/NNG+은/JX
마제스티	마제스티/NNP
솔루스,	솔루스/NNP+,/SP
시티벤처	시티벤처/NNP
프리미엄	프리미엄/NNG
등	등/NNB
제품	제품/NNG
외	외/NNB
기본형과	기본/NNG+형/XSN+과/JC
SUV	SUV/SL
용	용/XSN
제품이며,	제품/NNG+이/VCP+며/EC+,/SP
최소	최소/NNG
2개	2/SN+개/NNB
이상	이상/NNG
구매	구매/NNG
시	시/NNB
최대	최대/NNG
6만	6/SN+만/NR
km(주행거리)까지	km/SW+(/SS+주행/NNG+거리/NNG+)/SS+까지/JX
보증	보증/NNG
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


