# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.300
metadata : {}


# id : NWRW1800000026.300.1.1
추신수 3안타… 박찬호 7경기 무자책점

추신수	추신수/NNP
3안타…	3/SN+안타/NNG+…/SE
박찬호	박찬호/NNP
7경기	7/SN+경기/NNG
무자책점	무/XPN+자책점/NNG


# id : NWRW1800000026.300.2.1
미 프로야구 클리블랜드 인디언스의 추신수(28)가 오래간만에 '호타준족'을 뽐냈다.

미	미/NNP
프로야구	프로/NNG+야구/NNG
클리블랜드	클리블랜드/NNP
인디언스의	인디언스/NNP+의/JKG
추신수(28)가	추신수/NNP+(/SS+28/SN+)/SS+가/JKS
오래간만에	오래간만/NNG+에/JKB
'호타준족'을	'/SS+호타준족/NNG+'/SS+을/JKO
뽐냈다.	뽐내/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.300.2.2
추신수는 2일 시카고 화이트삭스와의 홈경기에 5타수 3안타에 시즌 16번째 도루까지 성공시켰다.

추신수는	추신수/NNP+는/JX
2일	2/SN+일/NNB
시카고	시카고/NNP
화이트삭스와의	화이트삭스/NNP+와/JKB+의/JKG
홈경기에	홈경기/NNG+에/JKB
5타수	5/SN+타수/NNG
3안타에	3/SN+안타/NNG+에/JKB
시즌	시즌/NNG
16번째	16/SN+번/NNB+째/XSN
도루까지	도루/NNG+까지/JX
성공시켰다.	성공/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.300.2.3
추신수가 한 경기에서 2개 이상의 안타를 때린 것은 지난달 27일 캔자스시티 로열스전 이후 5일 만이다.

추신수가	추신수/NNP+가/JKS
한	한/MMN
경기에서	경기/NNG+에서/JKB
2개	2/SN+개/NNB
이상의	이상/NNG+의/JKG
안타를	안타/NNG+를/JKO
때린	때리/VV+ㄴ/ETM
것은	것/NNB+은/JX
지난달	지난달/NNG
27일	27/SN+일/NNB
캔자스시티	캔자스시티/NNP
로열스전	로열스전/NNG
이후	이후/NNG
5일	5/SN+일/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.300.2.4
시즌 타율은 0.291에서 0.294로 올랐다.

시즌	시즌/NNG
타율은	타율/NNG+은/JX
0.291에서	0/SN+./SP+291/SN+에서/JKB
0.294로	0/SN+./SP+294/SN+로/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.300.3.1
피츠버그 파이리츠의 박찬호(37)는 시카고 컵스와의 원정경기에서 3분의 2이닝을 무실점으로 막아내며 7경기 연속 무자책점 기록을 이어갔다.

피츠버그	피츠버그/NNP
파이리츠의	파이리츠/NNP+의/JKG
박찬호(37)는	박찬호/NNP+(/SS+37/SN+)/SS+는/JX
시카고	시카고/NNP
컵스와의	컵스/NNP+와/JKB+의/JKG
원정경기에서	원정/NNG+경기/NNG+에서/JKB
3분의	3/SN+분/XSN+의/JKG
2이닝을	2/SN+이닝/NNG+을/JKO
무실점으로	무/XPN+실점/NNG+으로/JKB
막아내며	막/VV+아/EC+내/VX+며/EC
7경기	7/SN+경기/NNG
연속	연속/NNG
무자책점	무/XPN+자책점/NNG
기록을	기록/NNG+을/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.300.4.1
한편 일본 프로야구 지바롯데 마린스의 김태균(28)은 라쿠텐 골든이글스와 홈경기에서 펜스를 직접 맞히는 2루타를 포함해 3타수 1안타 1득점 1볼넷을 기록, 팀의 4대2 승리를 도왔다.

한편	한편/MAG
일본	일본/NNP
프로야구	프로/NNG+야구/NNG
지바롯데	지바/NNP+롯데/NNP
마린스의	마린스/NNP+의/JKG
김태균(28)은	김태균/NNP+(/SS+28/SN+)/SS+은/JX
라쿠텐	라쿠텐/NNP
골든이글스와	골든이글스/NNP+와/JKB
홈경기에서	홈경기/NNG+에서/JKB
펜스를	펜스/NNG+를/JKO
직접	직접/MAG
맞히는	맞히/VV+는/ETM
2루타를	2루타/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
3타수	3/SN+타수/NNG
1안타	1/SN+안타/NNG
1득점	1/SN+득점/NNG
1볼넷을	1/SN+볼넷/NNG+을/JKO
기록,	기록/NNG+,/SP
팀의	팀/NNG+의/JKG
4대2	4/SN+대/NNB+2/SN
승리를	승리/NNG+를/JKO
도왔다.	돕/VV+았/EP+다/EF+./SF


