# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.121
metadata : {}


# id : NWRW1800000049.121.1.1
박윤수·홍지민·정훈목… 해외파 무용수들 한자리에

박윤수·홍지민·정훈목…	박윤수/NNP+·/SP+홍지민/NNP+·/SP+정훈목/NNP+…/SE
해외파	해외파/NNG
무용수들	무용수/NNG+들/XSN
한자리에	한자리/NNG+에/JKB


# id : NWRW1800000049.121.2.1
한국을 빛내는 해외무용스타 초청공연 29일 아르코예술극장 대극장서 열려… 21일에는 아·태 국제무용총회 개최

한국을	한국/NNP+을/JKO
빛내는	빛내/VV+는/ETM
해외무용스타	해외/NNG+무용/NNG+스타/NNG
초청공연	초청/NNG+공연/NNG
29일	29/SN+일/NNB
아르코예술극장	아르코예술극장/NNP
대극장서	대/XPN+극장/NNG+서/JKB
열려…	열리/VV+어/EF+…/SE
21일에는	21/SN+일/NNB+에/JKB+는/JX
아·태	아·태/NNP
국제무용총회	국제/NNG+무용/NNG+총회/NNG
개최	개최/NNG


# id : NWRW1800000049.121.3.1
해외에서 활동하고 있는 한국인 무용수들과 세계 무용학자, 안무가들이 한자리에 모인다.

해외에서	해외/NNG+에서/JKB
활동하고	활동/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
한국인	한국인/NNG
무용수들과	무용수/NNG+들/XSN+과/JC
세계	세계/NNG
무용학자,	무용학자/NNG+,/SP
안무가들이	안무가/NNG+들/XSN+이/JKS
한자리에	한자리/NNG+에/JKB
모인다.	모이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.121.4.1
‘한국을 빛내는 해외 무용스타 초청공연’이 29, 30일 서울 아르코예술극장 대극장에서 열린다.

‘한국을	‘/SS+한국/NNP+을/JKO
빛내는	빛내/VV+는/ETM
해외	해외/NNG
무용스타	무용/NNG+스타/NNG
초청공연’이	초청/NNG+공연/NNG+’/SS+이/JKS
29,	29/SN+,/SP
30일	30/SN+일/NNB
서울	서울/NNP
아르코예술극장	아르코예술극장/NNP
대극장에서	대/XPN+극장/NNG+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.121.4.2
2001년 처음 시작한 이 행사는 올해로 13회를 맞았다.

2001년	2001/SN+년/NNB
처음	처음/NNG
시작한	시작/NNG+하/XSV+ㄴ/ETM
이	이/MMD
행사는	행사/NNG+는/JX
올해로	올해/NNG+로/JKB
13회를	13/SN+회/NNB+를/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.121.4.3
그동안 해외 직업무용단에서 주역 무용수 또는 솔리스트로 활약 중인 강효정(슈투트가르트 발레단), 한서혜(보스턴 발레단) 등 한국인 무용수 80여 명이 행사에 참여했다.

그동안	그동안/NNG
해외	해외/NNG
직업무용단에서	직업/NNG+무용단/NNG+에서/JKB
주역	주역/NNG
무용수	무용수/NNG
또는	또는/MAG
솔리스트로	솔리스트/NNG+로/JKB
활약	활약/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
강효정(슈투트가르트	강효정/NNP+(/SS+슈투트가르트/NNP
발레단),	발레단/NNG+)/SS+,/SP
한서혜(보스턴	한서혜/NNP+(/SS+보스턴/NNP
발레단)	발레단/NNG+)/SS
등	등/NNB
한국인	한국인/NNG
80여	80/SN+여/XSN
명이	명/NNB+이/JKS
행사에	행사/NNG+에/JKB
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.121.4.4
이 때문에 발레 팬들 사이에서는 세계적 수준의 무용수들을 볼 수 있는 기회로 통한다.

이	이/NP
때문에	때문/NNB+에/JKB
발레	발레/NNG
팬들	팬/NNG+들/XSN
사이에서는	사이/NNG+에서/JKB+는/JX
세계적	세계/NNG+적/XSN
수준의	수준/NNG+의/JKG
무용수들을	무용수/NNG+들/XSN+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회로	기회/NNG+로/JKB
통한다.	통하/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.121.5.1
올해 초청된 해외 활동 무용수는 박윤수(독일 함부르크 발레단), 홍지민(덴마크 왕립발레단), 김민정(헝가리 국립발레단), 나대한(캐나다 국립발레단), 정훈목(벨기에 피핑 톰 무용단) 등 5명이다.

올해	올해/NNG
초청된	초청/NNG+되/XSV+ㄴ/ETM
해외	해외/NNG
활동	활동/NNG
무용수는	무용수/NNG+는/JX
박윤수(독일	박윤수/NNP+(/SS+독일/NNP
함부르크	함부르크/NNP
발레단),	발레단/NNG+)/SS+,/SP
홍지민(덴마크	홍지민/NNP+(/SS+덴마크/NNP
왕립발레단),	왕립/NNG+발레단/NNG+)/SS+,/SP
김민정(헝가리	김민정/NNP+(/SS+헝가리/NNP
국립발레단),	국립/NNG+발레단/NNG+)/SS+,/SP
나대한(캐나다	나대한/NNP+(/SS+캐나다/NNP
정훈목(벨기에	정훈목/NNP+(/SS+벨기에/NNP
피핑	피핑/NNP
톰	톰/NNP
무용단)	무용단/NNG+)/SS
등	등/NNB
5명이다.	5/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.121.5.2
홍지민은 해외로 진출한 지 14년, 박윤수는 10년, 정훈목은 8년 만에 국내 무대에 선다.

홍지민은	홍지민/NNP+은/JX
해외로	해외/NNG+로/JKB
진출한	진출/NNG+하/XSV+ㄴ/ETM
지	지/NNB
14년,	14/SN+년/NNB+,/SP
박윤수는	박윤수/NNP+는/JX
10년,	10/SN+년/NNB+,/SP
정훈목은	정훈목/NNP+은/JX
8년	8/SN+년/NNB
만에	만/NNB+에/JKB
국내	국내/NNG
무대에	무대/NNG+에/JKB
선다.	서/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.121.5.3
홍지민은 “오랜만에 한국 관객과 만나게 돼 설렌다”고 말했다.

홍지민은	홍지민/NNP+은/JX
“오랜만에	“/SS+오랜만/NNG+에/JKB
한국	한국/NNP
관객과	관객/NNG+과/JKB
만나게	만나/VV+게/EC
돼	되/VV+어/EC
설렌다”고	설레/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.121.6.1
박윤수는 같은 발레단의 왕리중과 존 노이마이어 안무의 ‘아다지오’를, 홍지민은 같은 발레단의 수석무용수인 울리크 비르키에르와 리엄 스칼릿의 ‘비스케라’ 파드되를 펼친다.

박윤수는	박윤수/NNP+는/JX
같은	같/VA+은/ETM
발레단의	발레단/NNG+의/JKG
왕리중과	왕리중/NNP+과/JKB
존	존/NNP
노이마이어	노이마이어/NNP
안무의	안무/NNG+의/JKG
‘아다지오’를,	‘/SS+아다지오/NNG+’/SS+를/JKO+,/SP
홍지민은	홍지민/NNP+은/JX
수석무용수인	수석/NNG+무용수/NNG+이/VCP+ㄴ/ETM
울리크	울리크/NNP
비르키에르와	비르키에르/NNP+와/JKB
리엄	리엄/NNP
스칼릿의	스칼릿/NNP+의/JKG
‘비스케라’	‘/SS+비스케라/NNG+’/SS
파드되를	파드되/NNG+를/JKO
펼친다.	펼치/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.121.6.2
김민정은 나대한과 함께 게오르게 발란친의 ‘차이콥스키 파드되’를 무대에 올릴 예정이다.

김민정은	김민정/NNP+은/JX
나대한과	나대한/NNP+과/JKB
함께	함께/MAG
게오르게	게오르게/NNP
발란친의	발란친/NNP+의/JKG
‘차이콥스키	‘/SS+차이콥스키/NNP
파드되’를	파드되/NNG+’/SS+를/JKO
무대에	무대/NNG+에/JKB
올릴	올리/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.121.6.3
해외 무대로의 진출이 유력한 영스타 무용수로는 올해 YAGP 그랑프리를 수상한 전준혁(영국 로열발레학교)과 캐나다 국립발레학교에 재학 중인 송현정 등이 출연한다.

해외	해외/NNG
무대로의	무대/NNG+로/JKB+의/JKG
진출이	진출/NNG+이/JKS
유력한	유력/NNG+하/XSA+ㄴ/ETM
영스타	영스타/NNG
무용수로는	무용수/NNG+로/JKB+는/JX
올해	올해/NNG
YAGP	YAGP/SL
그랑프리를	그랑프리/NNG+를/JKO
