# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.126
metadata : {}


# id : NWRW1800000048.126.1.1
프랑스-영국, 유로터널 밀입국자 골머리

프랑스-영국,	프랑스/NNP+-/SO+영국/NNP+,/SP
유로터널	유로터널/NNP
밀입국자	밀입국자/NNG
골머리	골머리/NNG


# id : NWRW1800000048.126.2.1
해저터널 입구서 영국행 시도

해저터널	해저/NNG+터널/NNG
입구서	입구/NNG+서/JKB
영국행	영국행/NNG
시도	시도/NNG


# id : NWRW1800000048.126.3.1
프랑스 경찰, 난민 200여명 체포

프랑스	프랑스/NNP
경찰,	경찰/NNG+,/SP
난민	난민/NNG
200여명	200/SN+여/XSN+명/NNB
체포	체포/NNG


# id : NWRW1800000048.126.4.1
단속과정 쫓고 쫓기고 ‘아수라장’

단속과정	단속/NNG+과정/NNG
쫓고	쫓/VV+고/EC
쫓기고	쫓기/VV+고/EC
‘아수라장’	‘/SS+아수라장/NNG+’/SS


# id : NWRW1800000048.126.5.1
양국, 대응문제 싸고 갈등 번져

양국,	양국/NNG+,/SP
대응문제	대응/NNG+문제/NNG
싸고	싸/VV+고/EC
갈등	갈등/NNG
번져	번지/VV+어/EF


# id : NWRW1800000048.126.6.1
28일 밤 12시가 다 된 시각, 프랑스 북부도시 칼레.

28일	28/SN+일/NNB
밤	밤/NNG
12시가	12/SN+시/NNB+가/JKS
다	다/MAG
된	되/VV+ㄴ/ETM
시각,	시각/NNG+,/SP
프랑스	프랑스/NNP
북부도시	북부/NNG+도시/NNG
칼레.	칼레/NNP+./SF


# id : NWRW1800000048.126.6.2
이 곳에서 영국으로 통하는 해저터널인 유로터널의 터미널 앞은 컴컴한 어둠 속에서 도망치는 사람과 쫓아내는 사람의 몸싸움, 경찰차 경광등 불빛과 고함이 뒤엉켜 순식간에 아수라장이 됐다.

이	이/MMD
곳에서	곳/NNG+에서/JKB
영국으로	영국/NNP+으로/JKB
통하는	통하/VV+는/ETM
해저터널인	해저/NNG+터널/NNG+이/VCP+ㄴ/ETM
유로터널의	유로터널/NNP+의/JKG
터미널	터미널/NNG
앞은	앞/NNG+은/JX
컴컴한	컴컴하/VA+ㄴ/ETM
어둠	어둠/NNG
속에서	속/NNG+에서/JKB
도망치는	도망치/VV+는/ETM
사람과	사람/NNG+과/JC
쫓아내는	쫓아내/VV+는/ETM
사람의	사람/NNG+의/JKG
몸싸움,	몸싸움/NNG+,/SP
경찰차	경찰차/NNG
경광등	경광등/NNG
불빛과	불빛/NNG+과/JC
고함이	고함/NNG+이/JKS
뒤엉켜	뒤엉키/VV+어/EC
순식간에	순식/NNG+간/XSN+에/JKB
아수라장이	아수라장/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.126.6.3
터널을 통해 영국으로 밀입국을 감행하려던 난민 2000여명이 유로터널 진입구로 한꺼번에 몰려들었기 때문이다.

터널을	터널/NNG+을/JKO
통해	통하/VV+아/EC
영국으로	영국/NNP+으로/JKB
밀입국을	밀입국/NNG+을/JKO
감행하려던	감행/NNG+하/XSV+려던/ETM
난민	난민/NNG
2000여명이	2000/SN+여/XSN+명/NNB+이/JKS
유로터널	유로터널/NNP
진입구로	진입구/NNG+로/JKB
한꺼번에	한꺼번에/MAG
몰려들었기	몰려들/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.126.7.1
공식 명칭이 ‘채널 터널’(해협 터널)인 이 터널의 민간 운영업체인 유로터널의 대변인은 영국 <가디언>에 “자정 직전에 시작된 밀입국 시도와 저지가 밤새도록 계속됐다”며 “난민들은 항만 울타리를 부수고 넘어 터미널로 가서 영국행 트럭과 기차에 올라타려 했다”고 말했다.

공식	공식/NNG
명칭이	명칭/NNG+이/JKS
‘채널	‘/SS+채널/NNP
터널’(해협	터널/NNP+’/SS+(/SS+해협/NNG
터널)인	터널/NNG+)/SS+이/VCP+ㄴ/ETM
이	이/MMD
터널의	터널/NNG+의/JKG
민간	민간/NNG
운영업체인	운영/NNG+업체/NNG+이/VCP+ㄴ/ETM
유로터널의	유로터널/NNP+의/JKG
대변인은	대변인/NNG+은/JX
영국	영국/NNP
<가디언>에	</SS+가디언/NNP+>/SS+에/JKB
“자정	“/SS+자정/NNG
직전에	직전/NNG+에/JKB
시작된	시작/NNG+되/XSV+ㄴ/ETM
밀입국	밀입국/NNG
시도와	시도/NNG+와/JC
저지가	저지/NNG+가/JKS
밤새도록	밤새/VV+도록/EC
계속됐다”며	계속/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“난민들은	“/SS+난민/NNG+들/XSN+은/JX
항만	항만/NNG
울타리를	울타리/NNG+를/JKO
부수고	부수/VV+고/EC
넘어	넘/VV+어/EC
터미널로	터미널/NNG+로/JKB
가서	가/VV+아서/EC
영국행	영국행/NNG
트럭과	트럭/NNG+과/JC
기차에	기차/NNG+에/JKB
올라타려	올라타/VV+려/EC
했다”고	하/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.126.8.1
이날 밤 소동으로 다음날 아침까지 유로터널이 폐쇄돼 극심한 교통정체와 물류난을 빚었다.

이날	이날/NNG
밤	밤/NNG
소동으로	소동/NNG+으로/JKB
다음날	다음날/NNG
아침까지	아침/NNG+까지/JX
유로터널이	유로터널/NNP+이/JKS
폐쇄돼	폐쇄/NNG+되/XSV+어/EC
극심한	극심하/VA+ㄴ/ETM
교통정체와	교통/NNG+정체/NNG+와/JC
물류난을	물류난/NNG+을/JKO
빚었다.	빚/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.126.8.2
<프랑스24> 방송은 이날 칼레시 당국의 한 관리의 말을 인용해 “이번 사건은 지금까지 이 곳에서 있었던 밀입국 시도 중 최대 규모”라며, 현장에서 약 200여명이 경찰에 체포됐다고 전했다.

<프랑스24>	</SS+프랑스24/NNP+>/SS
방송은	방송/NNG+은/JX
이날	이날/NNG
칼레시	칼레시/NNP
당국의	당국/NNG+의/JKG
한	한/MMN
관리의	관리/NNG+의/JKG
말을	말/NNG+을/JKO
