# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.163
metadata : {}


# id : NWRW1800000022.163.1.1
탈북자, 작년말 駐中대사관서 USB 훔쳐 달아나

탈북자,	탈북자/NNG+,/SP
작년말	작년/NNG+말/NNB
駐中대사관서	駐中/SH+대사관/NNG+서/JKB
USB	USB/SL
훔쳐	훔치/VV+어/EC
달아나	달아나/VV+아/EF


# id : NWRW1800000022.163.2.1
베이징의 한국대사관 영사부에 수용돼 있던 탈북자 2명이 지난해 12월 영사부 사무실의 휴대용 하드디스크(정보 저장장치)를 훔쳐 도주했다가 다시 체포된 사실이 뒤늦게 밝혀졌다.

베이징의	베이징/NNP+의/JKG
한국대사관	한국대사관/NNP
영사부에	영사부/NNG+에/JKB
수용돼	수용/NNG+되/XSV+어/EC
있던	있/VX+던/ETM
탈북자	탈북자/NNG
2명이	2/SN+명/NNB+이/JKS
지난해	지난해/NNG
12월	12/SN+월/NNB
영사부	영사부/NNG
사무실의	사무실/NNG+의/JKG
휴대용	휴대/NNG+용/XSN
하드디스크(정보	하드/NNG+디스크/NNG+(/SS+정보/NNG
저장장치)를	저장/NNG+장치/NNG+)/SS+를/JKO
훔쳐	훔치/VV+어/EC
도주했다가	도주/NNG+하/XSV+았/EP+다가/EC
다시	다시/MAG
체포된	체포/NNG+되/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
뒤늦게	뒤늦/VA+게/EC
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.163.2.2
하드디스크 안에는 탈북자들의 신상 등에 관한 영사부의 보안 자료가 들어 있었던 것으로 알려졌다.

하드디스크	하드/NNG+디스크/NNG
안에는	안/NNG+에/JKB+는/JX
탈북자들의	탈북자/NNG+들/XSN+의/JKG
신상	신상/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
영사부의	영사부/NNG+의/JKG
보안	보안/NNG
자료가	자료/NNG+가/JKS
들어	들/VV+어/EC
있었던	있/VX+었/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.163.3.1
베이징 외교가의 한 관계자는 5일 "탈북자들이 휴대용 하드디스크를 들고 건물 밖으로 나간 뒤 영사부에 전화를 걸어 한국으로 빨리 보내줄 것 등을 요구한 것으로 알고 있다"고 말했다.

베이징	베이징/NNP
외교가의	외교가/NNG+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
5일	5/SN+일/NNB
"탈북자들이	"/SS+탈북자/NNG+들/XSN+이/JKS
휴대용	휴대/NNG+용/XSN
하드디스크를	하드/NNG+디스크/NNG+를/JKO
들고	들/VV+고/EC
건물	건물/NNG
밖으로	밖/NNG+으로/JKB
나간	나가/VV+ㄴ/ETM
뒤	뒤/NNG
영사부에	영사부/NNG+에/JKB
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
한국으로	한국/NNP+으로/JKB
빨리	빨리/MAG
보내줄	보내/VV+어/EC+주/VX+ㄹ/ETM
것	것/NNB
등을	등/NNB+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.163.3.2
이 탈북자들은 수일 뒤 영사부측에 의해 다시 붙잡혔으며, 훔쳐간 하드디스크도 회수됐다고 이 관계자는 말했다.

이	이/MMD
탈북자들은	탈북자/NNG+들/XSN+은/JX
수일	수일/NNG
뒤	뒤/NNG
영사부측에	영사부/NNG+측/NNB+에/JKB
의해	의하/VV+아/EC
다시	다시/MAG
붙잡혔으며,	붙잡히/VV+었/EP+으며/EC+,/SP
훔쳐간	훔치/VV+어/EC+가/VX+ㄴ/ETM
하드디스크도	하드/NNG+디스크/NNG+도/JX
회수됐다고	회수/NNG+되/XSV+었/EP+다고/EC
관계자는	관계자/NNG+는/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


