# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.60
metadata : {}


# id : NWRW1800000024.60.1.1
미-중 군사교류 재개

미-중	미/NNP+-/SO+중/NNP
군사교류	군사/NNG+교류/NNG
재개	재개/NNG


# id : NWRW1800000024.60.2.1
미국의 대만 무기 수출을 둘러싼 갈등으로 중단됐던 미국과 중국의 군사교류가 재개된다.

미국의	미국/NNP+의/JKG
대만	대만/NNP
무기	무기/NNG
수출을	수출/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
갈등으로	갈등/NNG+으로/JKB
중단됐던	중단/NNG+되/XSV+었/EP+던/ETM
미국과	미국/NNP+과/JC
중국의	중국/NNP+의/JKG
군사교류가	군사/NNG+교류/NNG+가/JKS
재개된다.	재개/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.60.3.1
미국과 중국은 27~28일 베이징에서 양쪽 국방부 고위 관리들이 참가하는 회담을 열 계획이라고 중국 <차이나데일리>가 16일 전했다.

미국과	미국/NNP+과/JC
중국은	중국/NNP+은/JX
27~28일	27/SN+~/SO+28/SN+일/NNB
베이징에서	베이징/NNP+에서/JKB
양쪽	양쪽/NNG
국방부	국방부/NNG
고위	고위/NNG
관리들이	관리/NNG+들/XSN+이/JKS
참가하는	참가/NNG+하/XSV+는/ETM
회담을	회담/NNG+을/JKO
열	열/VV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
중국	중국/NNP
<차이나데일리>가	</SS+차이나데일리/NNP+>/SS+가/JKS
16일	16/SN+일/NNB
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.60.3.2
이번 회담은 애초 지난해 11월 열릴 예정이었으나, 미국이 대만에 65억달러 규모의 무기를 판매하겠다고 발표하자, 중국이 이에 대한 항의 표시로 연기했던 것이다.

이번	이번/NNG
회담은	회담/NNG+은/JX
애초	애초/NNG
지난해	지난해/NNG
11월	11/SN+월/NNB
열릴	열리/VV+ㄹ/ETM
예정이었으나,	예정/NNG+이/VCP+었/EP+으나/EC+,/SP
미국이	미국/NNP+이/JKS
대만에	대만/NNP+에/JKB
65억달러	65/SN+억/NR+달러/NNB
규모의	규모/NNG+의/JKG
무기를	무기/NNG+를/JKO
판매하겠다고	판매/NNG+하/XSV+겠/EP+다고/EC
발표하자,	발표/NNG+하/XSV+자/EC+,/SP
중국이	중국/NNP+이/JKS
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
항의	항의/NNG
표시로	표시/NNG+로/JKB
연기했던	연기/NNG+하/XSV+았/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.60.4.1
두 나라는 이번 회담에서 군사 협력을 발전시키고, 세계안보를 위협하는 세력에 공동대처하는 방안 등을 논의할 것으로 전망된다.

두	두/MMN
나라는	나라/NNG+는/JX
이번	이번/NNG
회담에서	회담/NNG+에서/JKB
군사	군사/NNG
협력을	협력/NNG+을/JKO
발전시키고,	발전/NNG+시키/XSV+고/EC+,/SP
세계안보를	세계/NNG+안보/NNG+를/JKO
위협하는	위협/NNG+하/XSV+는/ETM
세력에	세력/NNG+에/JKB
공동대처하는	공동/NNG+대처/NNG+하/XSV+는/ETM
방안	방안/NNG
등을	등/NNB+을/JKO
논의할	논의/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.60.5.1
미국과 중국의 국방회담은 버락 오바마 미 대통령 취임 이후 처음이다.

미국과	미국/NNP+과/JC
중국의	중국/NNP+의/JKG
국방회담은	국방/NNG+회담/NNG+은/JX
버락	버락/NNP
오바마	오바마/NNP
미	미/NNP
대통령	대통령/NNG
취임	취임/NNG
이후	이후/NNG
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.60.5.2
두 나라는 1997년부터 정기적으로 국방회담을 이어왔다.

두	두/MMN
나라는	나라/NNG+는/JX
1997년부터	1997/SN+년/NNB+부터/JX
정기적으로	정기/NNG+적/XSN+으로/JKB
국방회담을	국방/NNG+회담/NNG+을/JKO
이어왔다.	잇/VV+어/EC+오/VX+았/EP+다/EF+./SF


