# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.392
metadata : {}


# id : NWRW1800000032.392.1.1
민주당 서울시장 후보 합동연설

민주당	민주당/NNP
서울시장	서울시장/NNG
후보	후보/NNG
합동연설	합동/NNG+연설/NNG


# id : NWRW1800000032.392.2.1
천정배 “이 경선판 내가 만든것”

천정배	천정배/NNP
“이	“/SS+이/MMD
경선판	경선/NNG+판/NNG
내가	내/NP+가/JKS
만든것”	만들/VV+ㄴ/ETM+것/NNB+”/SS


# id : NWRW1800000032.392.3.1
박영선 “이번엔 2번, 새 인물을”

박영선	박영선/NNP
“이번엔	“/SS+이번/NNG+에/JKB+ㄴ/JX
2번,	2/SN+번/NNB+,/SP
새	새/MMA
인물을”	인물/NNG+을/JKO+”/SS


# id : NWRW1800000032.392.4.1
추미애 “후보를 꿔와선 안될일”

추미애	추미애/NNP
“후보를	“/SS+후보/NNG+를/JKO
꿔와선	꾸/VV+어/EC+오/VX+아서/EC+ㄴ/JX
안될일”	안/MAG+되/XSV+ㄹ/ETM+일/NNG+”/SS


# id : NWRW1800000032.392.5.1
신계륜 “3년전부터 준비해왔다”

신계륜	신계륜/NNP
“3년전부터	“/SS+3/SN+년/NNB+전/NNG+부터/JX
준비해왔다”	준비/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+”/SS


# id : NWRW1800000032.392.6.1
민주당이 18일 첫 합동연설회를 여는 등 10·26 서울시장 보궐선거 후보를 뽑기 위한 당내 경선전을 본격화하고 있다.

민주당이	민주당/NNP+이/JKS
18일	18/SN+일/NNB
첫	첫/MMN
합동연설회를	합동/NNG+연설회/NNG+를/JKO
여는	열/VV+는/ETM
등	등/NNB
10·26	10/SN+·/SP+26/SN
서울시장	서울시장/NNG
보궐선거	보궐/NNG+선거/NNG
후보를	후보/NNG+를/JKO
뽑기	뽑/VV+기/ETN
위한	위하/VV+ㄴ/ETM
당내	당내/NNG
경선전을	경선전/NNG+을/JKO
본격화하고	본격/NNG+화/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.392.7.1
이날 후보자 기호 추첨에 이어 오후 서울 마포구청 대강당에서 열린 첫 합동연설회에서 후보자들은 표심을 얻기 위한 차별화에 나섰다.

이날	이날/NNG
후보자	후보자/NNG
기호	기호/NNG
추첨에	추첨/NNG+에/JKB
이어	잇/VV+어/EC
오후	오후/NNG
서울	서울/NNP
마포구청	마포구청/NNP
대강당에서	대/XPN+강당/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
첫	첫/MMN
합동연설회에서	합동/NNG+연설회/NNG+에서/JKB
후보자들은	후보자/NNG+들/XSN+은/JX
표심을	표심/NNG+을/JKO
얻기	얻/VV+기/ETN
위한	위하/VV+ㄴ/ETM
차별화에	차별/NNG+화/XSN+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.392.7.2
특히 후보들은 범야권 후보를 표방하고 나선 박원순 변호사를 의식한 듯, 한목소리로 “민주당의 자존심을 회복하겠다”며 당원들의 표심을 자극했다.

특히	특히/MAG
후보들은	후보/NNG+들/XSN+은/JX
범야권	범/XPN+야권/NNG
후보를	후보/NNG+를/JKO
표방하고	표방/NNG+하/XSV+고/EC
나선	나서/VV+ㄴ/ETM
박원순	박원순/NNP
변호사를	변호사/NNG+를/JKO
의식한	의식/NNG+하/XSV+ㄴ/ETM
듯,	듯/NNB+,/SP
한목소리로	한목소리/NNG+로/JKB
“민주당의	“/SS+민주당/NNP+의/JKG
자존심을	자존심/NNG+을/JKO
회복하겠다”며	회복/NNG+하/XSV+겠/EP+다/EF+”/SS+며/EC
당원들의	당원/NNG+들/XSN+의/JKG
표심을	표심/NNG+을/JKO
자극했다.	자극/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.392.8.1
천정배 후보는 “이 경선판은 천정배가 온몸을 던져 만들어낸 것”이라며 “욕하고 돌을 던졌지만 만약 이 경선판이 없었다면 민주당엔 내년 대선이 없다.

천정배	천정배/NNP
후보는	후보/NNG+는/JX
“이	“/SS+이/MMD
경선판은	경선/NNG+판/NNG+은/JX
천정배가	천정배/NNP+가/JKS
온몸을	온몸/NNG+을/JKO
던져	던지/VV+어/EC
만들어낸	만들/VV+어/EC+내/VX+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“욕하고	“/SS+욕/NNG+하/XSV+고/EC
돌을	돌/NNG+을/JKO
던졌지만	던지/VV+었/EP+지만/EC
만약	만약/NNG
이	이/MMD
경선판이	경선/NNG+판/NNG+이/JKS
없었다면	없/VA+었/EP+다면/EC
민주당엔	민주당/NNP+에/JKB+ㄴ/JX
내년	내년/NNG
대선이	대선/NNG+이/JKS
없다.	없/VA+다/EF+./SF


