# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.237
metadata : {}


# id : NWRW1800000052.237.1.1
신임 경찰청장 후보자에 이철성 경찰청 차장 내정

신임	신임/NNG
경찰청장	경찰청장/NNG
후보자에	후보자/NNG+에/JKB
이철성	이철성/NNP
경찰청	경찰청/NNG
차장	차장/NNG
내정	내정/NNG


# id : NWRW1800000052.237.2.1
순경서 치안정감된 입지전적 인물

순경서	순경/NNG+서/JKB
치안정감된	치안정감/NNG+되/XSV+ㄴ/ETM
입지전적	입지전/NNG+적/XSN
인물	인물/NNG


# id : NWRW1800000052.237.3.1
“안정적 조직 관리할 적임자” 평가

“안정적	“/SS+안정/NNG+적/XSN
조직	조직/NNG
관리할	관리/NNG+하/XSV+ㄹ/ETM
적임자”	적임자/NNG+”/SS
평가	평가/NNG


# id : NWRW1800000052.237.4.1
“정권말기 관리할 코드인사” 지적도

“정권말기	“/SS+정권/NNG+말기/NNG
관리할	관리/NNG+하/XSV+ㄹ/ETM
코드인사”	코드/NNG+인사/NNG+”/SS
지적도	지적/NNG+도/JX


# id : NWRW1800000052.237.5.1
이철성(사진) 경찰청 차장이 차기 경찰청장 후보자로 내정됐다.

이철성(사진)	이철성/NNP+(/SS+사진/NNG+)/SS
경찰청	경찰청/NNG
차장이	차장/NNG+이/JKS
차기	차기/NNG
경찰청장	경찰청장/NNG
후보자로	후보자/NNG+로/JKB
내정됐다.	내정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.237.5.2
강신명 현 경찰청장은 다음달 22일 임기를 끝마치게 된다.

강신명	강신명/NNP
현	현/MMD
경찰청장은	경찰청장/NNG+은/JX
다음달	다음/NNG+달/NNG
22일	22/SN+일/NNB
임기를	임기/NNG+를/JKO
끝마치게	끝마치/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.237.6.1
정연국 청와대 대변인은 이날 오후 춘추관 브리핑에서 “(휴가중인) 박근혜 대통령이 경찰청장에 이철성 현 경찰청 차장을 내정했다”고 밝혔다.

정연국	정연국/NNP
청와대	청와대/NNP
대변인은	대변인/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
춘추관	춘추관/NNP
브리핑에서	브리핑/NNG+에서/JKB
“(휴가중인)	“/SS+(/SS+휴가/NNG+중/NNB+이/VCP+ㄴ/ETM+)/SS
박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
경찰청장에	경찰청장/NNG+에/JKB
이철성	이철성/NNP
현	현/MMD
경찰청	경찰청/NNG
차장을	차장/NNG+을/JKO
내정했다”고	내정/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.237.6.2
이 차장은 경기도 수원 출신으로, 비고시·비경찰대 인사다.

이	이/NNP
차장은	차장/NNG+은/JX
경기도	경기도/NNP
수원	수원/NNP
출신으로,	출신/NNG+으로/JKB+,/SP
비고시·비경찰대	비/XPN+고시/NNG+·/SP+비/XPN+경찰대/NNP
인사다.	인사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.237.7.1
이 내정자는 1982년 순경으로 경찰에 입직해 1989년 간부후보생 시험에 합격한 뒤 일선서와 지방청·경찰청의 핵심 요직을 두루 거쳤다.

이	이/NNP
내정자는	내정자/NNG+는/JX
1982년	1982/SN+년/NNB
순경으로	순경/NNG+으로/JKB
경찰에	경찰/NNG+에/JKB
입직해	입직/NNG+하/XSV+아/EC
1989년	1989/SN+년/NNB
간부후보생	간부/NNG+후보/NNG+생/XSN
시험에	시험/NNG+에/JKB
합격한	합격/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
일선서와	일선/NNG+서/JKB+와/JKB
지방청·경찰청의	지방청/NNG+·/SP+경찰청/NNG+의/JKG
핵심	핵심/NNG
요직을	요직/NNG+을/JKO
두루	두루/MAG
거쳤다.	거치/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.237.7.2
경남지방경찰청장을 역임한 뒤인 2014과 2015년에는 대통령 정무수석실 사회안전비서관과 치안비서관을 지내며 박근혜 대통령을 보좌한 바 있다.

경남지방경찰청장을	경남/NNP+지방/NNG+경찰청장/NNG+을/JKO
역임한	역임/NNG+하/XSV+ㄴ/ETM
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
2014과	2014/SN+과/JC
2015년에는	2015/SN+년/NNB+에/JKB+는/JX
대통령	대통령/NNG
정무수석실	정무/NNG+수석실/NNG
사회안전비서관과	사회/NNG+안전/NNG+비서관/NNG+과/JC
치안비서관을	치안/NNG+비서관/NNG+을/JKO
지내며	지내/VV+며/EC
박근혜	박근혜/NNP
대통령을	대통령/NNG+을/JKO
보좌한	보좌/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.237.8.1
정 대변인은 “이 내정자가 순경으로 경찰에 입문해 치안정감까지 오른 입지전적 인물로서, 경찰 업무 전반에 다양한 경험이 있는데다 청와대 치안비서관을 거쳐 국정 철학을 잘 이해하고 있다.

정	정/NNP
대변인은	대변인/NNG+은/JX
“이	“/SS+이/NNP
내정자가	내정자/NNG+가/JKS
순경으로	순경/NNG+으로/JKB
경찰에	경찰/NNG+에/JKB
입문해	입문/NNG+하/XSV+아/EC
치안정감까지	치안정감/NNG+까지/JX
오른	오르/VV+ㄴ/ETM
입지전적	입지전/NNG+적/XSN
인물로서,	인물/NNG+로서/JKB+,/SP
경찰	경찰/NNG
업무	업무/NNG
전반에	전반/NNG+에/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
경험이	경험/NNG+이/JKS
있는데다	있/VA+는/ETM+데/NNB+다/JX
청와대	청와대/NNP
치안비서관을	치안/NNG+비서관/NNG+을/JKO
거쳐	거치/VV+어/EC
국정	국정/NNG
철학을	철학/NNG+을/JKO
잘	잘/MAG
이해하고	이해/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.237.8.2
풍부한 경험과 확고한 공직관으로 4대악 등 각종 불안을 척결해 국민이 안심할 수 있는 치안 질서를 확립해 나갈 것으로 기대된다”고 내정 배경을 밝혔다.

풍부한	풍부하/VA+ㄴ/ETM
경험과	경험/NNG+과/JC
확고한	확고하/VA+ㄴ/ETM
공직관으로	공직관/NNG+으로/JKB
4대악	4/SN+대/NNG+악/NNG
등	등/NNB
각종	각종/NNG
불안을	불안/NNG+을/JKO
척결해	척결/NNG+하/XSV+아/EC
국민이	국민/NNG+이/JKS
안심할	안심/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
치안	치안/NNG
질서를	질서/NNG+를/JKO
확립해	확립/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대된다”고	기대/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
내정	내정/NNG
배경을	배경/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.237.9.1
부산의 학교전담경찰관(SPO)이 여학생들과 성관계를 하는 등 최근 경찰의 성범죄·성추문 등이 잇따르자, 최하위 직급인 순경부터 경찰 전반을 두루 경험한 이 내정자가 경찰조직을 다잡고 안정적으로 관리할 적임자란 평가가 나온다.

부산의	부산/NNP+의/JKG
학교전담경찰관(SPO)이	학교/NNG+전담/NNG+경찰관/NNG+(/SS+SPO/SL+)/SS+이/JKS
여학생들과	여학생/NNG+들/XSN+과/JKB
성관계를	성관계/NNG+를/JKO
하는	하/VV+는/ETM
등	등/NNB
최근	최근/MAG
경찰의	경찰/NNG+의/JKG
성범죄·성추문	성범죄/NNG+·/SP+성/NNG+추문/NNG
등이	등/NNB+이/JKS
잇따르자,	잇따르/VV+자/EC+,/SP
최하위	최/XPN+하위/NNG
직급인	직급/NNG+이/VCP+ㄴ/ETM
순경부터	순경/NNG+부터/JX
경찰	경찰/NNG
전반을	전반/NNG+을/JKO
두루	두루/MAG
경험한	경험/NNG+하/XSV+ㄴ/ETM
이	이/NNP
내정자가	내정자/NNG+가/JKS
경찰조직을	경찰/NNG+조직/NNG+을/JKO
다잡고	다잡/VV+고/EC
안정적으로	안정/NNG+적/XSN+으로/JKB
관리할	관리/NNG+하/XSV+ㄹ/ETM
적임자란	적임자/NNG+이/VCP+란/ETM
평가가	평가/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.237.9.2
또 한켠에선 박 대통령이 급격히 레임덕에 빠질 수 있는 정권 말기 관리를 위한 ‘코드 인사’란 얘기도 나온다.

또	또/MAG
한켠에선	한/MMN+켠/NNB+에서/JKB+ㄴ/JX
박	박/NNP
대통령이	대통령/NNG+이/JKS
급격히	급격히/MAG
레임덕에	레임덕/NNG+에/JKB
빠질	빠지/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
정권	정권/NNG
말기	말기/NNG
관리를	관리/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
‘코드	‘/SS+코드/NNG
인사’란	인사/NNG+’/SS+이/VCP+란/ETM
얘기도	얘기/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.237.10.1
이 내정자는 앞으로 국회 인사청문회를 거쳐, 안전행정부 장관의 제청과 대통령의 임명을 통해 청장에 취임하게 된다.

이	이/NNP
내정자는	내정자/NNG+는/JX
앞으로	앞/NNG+으로/JKB
국회	국회/NNG
인사청문회를	인사/NNG+청문회/NNG+를/JKO
거쳐,	거치/VV+어/EC+,/SP
안전행정부	안전/NNG+행정부/NNG
장관의	장관/NNG+의/JKG
제청과	제청/NNG+과/JC
대통령의	대통령/NNG+의/JKG
임명을	임명/NNG+을/JKO
통해	통하/VV+아/EC
청장에	청장/NNG+에/JKB
취임하게	취임/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


