# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.408
metadata : {}


# id : NWRW1800000046.408.1.1
親盧의 반격… 비주류 70% 공천탈락說

親盧의	親盧/SH+의/JKG
반격…	반격/NNG+…/SE
비주류	비/XPN+주류/NNG
70%	70/SN+%/SW
공천탈락說	공천/NNG+탈락/NNG+說/SH


# id : NWRW1800000046.408.2.1
'현역 평가 하위 20%' 내주 윤곽… 내일부터 온라인 入黨 허용

'현역	'/SS+현역/NNG
평가	평가/NNG
하위	하위/NNG
20%'	20/SN+%/SW+'/SS
내주	내주/NNG
윤곽…	윤곽/NNG+…/SE
내일부터	내일/NNG+부터/JX
온라인	온라인/NNG
入黨	入黨/SH
허용	허용/NNG


# id : NWRW1800000046.408.3.1
안철수 의원의 탈당(脫黨) 이후 새정치민주연합 친노(親盧)의 반격이 시작됐다.

안철수	안철수/NNP
의원의	의원/NNG+의/JKG
탈당(脫黨)	탈당/NNG+(/SS+脫黨/SH+)/SS
이후	이후/NNG
새정치민주연합	새정치민주연합/NNP
친노(親盧)의	친/XPN+노/NNP+(/SS+親盧/SH+)/SS+의/JKG
반격이	반격/NNG+이/JKS
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.408.3.2
문재인 대표가 강조했던 '혁신안' 핵심인 현역 의원 하위 20% 공천 탈락 윤곽이 오는 24일쯤 드러나고, 16일부터 스마트폰을 통한 온라인 입당(入黨)이 시작된다.

문재인	문재인/NNP
대표가	대표/NNG+가/JKS
강조했던	강조/NNG+하/XSV+았/EP+던/ETM
'혁신안'	'/SS+혁신안/NNG+'/SS
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
현역	현역/NNG
의원	의원/NNG
하위	하위/NNG
20%	20/SN+%/SW
공천	공천/NNG
탈락	탈락/NNG
윤곽이	윤곽/NNG+이/JKS
오는	오/VV+는/ETM
24일쯤	24/SN+일/NNB+쯤/XSN
드러나고,	드러나/VV+고/EC+,/SP
16일부터	16/SN+일/NNB+부터/JX
스마트폰을	스마트폰/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
온라인	온라인/NNG
입당(入黨)이	입당/NNG+(/SS+入黨/SH+)/SS+이/JKS
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.408.3.3
비주류에선 "안 의원 흔적을 지우고 진보 색채를 강화하기 위한 객토(客土)가 시작됐다"며 동요했다.

비주류에선	비/XPN+주류/NNG+에서/JKB+ㄴ/JX
"안	"/SS+안/NNP
의원	의원/NNG
흔적을	흔적/NNG+을/JKO
지우고	지우/VV+고/EC
진보	진보/NNG
색채를	색채/NNG+를/JKO
강화하기	강화/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
객토(客土)가	객토/NNG+(/SS+客土/SH+)/SS+가/JKS
시작됐다"며	시작/NNG+되/XSV+었/EP+다/EF+"/SS+며/EC
동요했다.	동요/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.408.4.1
원래 새정치연합은 다음 달 12일 현역 의원 20% 공천 탈락 결과를 비공개로 공심위에 넘길 계획이었다.

원래	원래/MAG
새정치연합은	새정치연합/NNP+은/JX
다음	다음/NNG
달	달/NNG
12일	12/SN+일/NNB
현역	현역/NNG
의원	의원/NNG
20%	20/SN+%/SW
공천	공천/NNG
탈락	탈락/NNG
결과를	결과/NNG+를/JKO
비공개로	비/XPN+공개/NNG+로/JKB
공심위에	공심위/NNG+에/JKB
넘길	넘기/VV+ㄹ/ETM
계획이었다.	계획/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.408.4.2
탈락 의원이 미리 알려질 경우 당 전체가 혼란에 빠질 수 있기 때문이었다.

탈락	탈락/NNG
의원이	의원/NNG+이/JKS
미리	미리/MAG
알려질	알려지/VV+ㄹ/ETM
경우	경우/NNG
당	당/NNG
전체가	전체/NNG+가/JKS
혼란에	혼란/NNG+에/JKB
빠질	빠지/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.408.4.3
그러나 야당 핵심 관계자는 14일 "다음 주인 24일쯤 평가 결과가 취합되는데 이 과정에서 심사 내용이 미리 알려질 것"이라고 말했다.

그러나	그러나/MAJ
야당	야당/NNG
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
14일	14/SN+일/NNB
"다음	"/SS+다음/NNG
주인	주/NNG+이/VCP+ㄴ/ETM
24일쯤	24/SN+일/NNB+쯤/XSN
평가	평가/NNG
결과가	결과/NNG+가/JKS
취합되는데	취합/NNG+되/XSV+는데/EC
이	이/MMD
과정에서	과정/NNG+에서/JKB
심사	심사/NNG
내용이	내용/NNG+이/JKS
미리	미리/MAG
알려질	알려지/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.408.5.1
실제 이날 야당에서는 "중간 평가를 보니 비노(非盧) 의원들의 70%가 탈락 대상" "광주·전남에서 주류와 가까운 광주 A 의원, 전남 B, C 의원을 제외하면 대부분 탈락 위기"라는 관측이 제기되고 있다.

실제	실제/MAG
이날	이날/NNG
야당에서는	야당/NNG+에서/JKB+는/JX
"중간	"/SS+중간/NNG
평가를	평가/NNG+를/JKO
보니	보/VV+니/EC
비노(非盧)	비/XPN+노/NNP+(/SS+非盧/SH+)/SS
의원들의	의원/NNG+들/XSN+의/JKG
70%가	70/SN+%/SW+가/JKS
탈락	탈락/NNG
대상"	대상/NNG+"/SS
"광주·전남에서	"/SS+광주/NNP+·/SP+전남/NNP+에서/JKB
주류와	주류/NNG+와/JKB
가까운	가깝/VA+ㄴ/ETM
광주	광주/NNP
A	A/SL
의원,	의원/NNG+,/SP
전남	전남/NNP
B,	B/SL+,/SP
C	C/SL
의원을	의원/NNG+을/JKO
제외하면	제외/NNG+하/XSV+면/EC
대부분	대/XPN+부분/NNG
위기"라는	위기/NNG+"/SS+이/VCP+라는/ETM
관측이	관측/NNG+이/JKS
