# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.322
metadata : {}


# id : NWRW1800000021.322.1.1
[‘예술가의 맨얼굴’ 20선]위대한 창조자의 인간적 면모

[‘예술가의	[/SS+‘/SS+예술가/NNG+의/JKG
맨얼굴’	맨/XPN+얼굴/NNG+’/SS
20선]위대한	20/SN+선/NNG+]/SS+위대하/VA+ㄴ/ETM
창조자의	창조자/NNG+의/JKG
인간적	인간/NNG+적/XSN
면모	면모/NNG


# id : NWRW1800000021.322.2.1
‘2009 책 읽는 대한민국’의 여섯 번째 시리즈 ‘예술가의 맨얼굴 20선’이 5일 끝났다.

‘2009	‘/SS+2009/SN
책	책/NNG
읽는	읽/VV+는/ETM
대한민국’의	대한민국/NNP+’/SS+의/JKG
여섯	여섯/NR
번째	번/NNB+째/XSN
시리즈	시리즈/NNG
‘예술가의	‘/SS+예술가/NNG+의/JKG
맨얼굴	맨/XPN+얼굴/NNG
20선’이	20/SN+선/NNG+’/SS+이/JKS
5일	5/SN+일/NNB
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.322.3.1
시리즈는 지난달 7일 정신분석학을 통해 예술가들의 내면을 들여다본 ‘속마음을 들킨 위대한 예술가들’로 시작했다.

시리즈는	시리즈/NNG+는/JX
지난달	지난달/NNG
7일	7/SN+일/NNB
정신분석학을	정신/NNG+분석학/NNG+을/JKO
통해	통하/VV+아/EC
예술가들의	예술가/NNG+들/XSN+의/JKG
내면을	내면/NNG+을/JKO
들여다본	들여다보/VV+ㄴ/ETM
‘속마음을	‘/SS+속마음/NNG+을/JKO
들킨	들키/VV+ㄴ/ETM
위대한	위대하/VA+ㄴ/ETM
예술가들’로	예술가/NNG+들/XSN+’/SS+로/JKB
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.322.3.2
라캉과 프로이트의 이론을 바탕으로 빈센트 반 고흐, 앤디 워홀, 르네 마그리트 등 화가들의 어린 시절과 가족관계를 파헤쳤다.

라캉과	라캉/NNP+과/JC
프로이트의	프로이트/NNP+의/JKG
이론을	이론/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
빈센트	빈센트/NNP
반	반/NNP
고흐,	고흐/NNP+,/SP
앤디	앤디/NNP
워홀,	워홀/NNP+,/SP
르네	르네/NNP
마그리트	마그리트/NNP
등	등/NNB
화가들의	화가/NNG+들/XSN+의/JKG
어린	어리/VA+ㄴ/ETM
시절과	시절/NNG+과/JC
가족관계를	가족/NNG+관계/NNG+를/JKO
파헤쳤다.	파헤치/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.322.3.3
저자는 엄격한 아버지, 모성애의 결핍 등으로 어린 시절 형성된 무의식이 이들의 작품세계에 많은 영향을 미쳤다고 분석했다.

저자는	저자/NNG+는/JX
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
아버지,	아버지/NNG+,/SP
모성애의	모성애/NNG+의/JKG
결핍	결핍/NNG
등으로	등/NNB+으로/JKB
어린	어리/VA+ㄴ/ETM
시절	시절/NNG
형성된	형성/NNG+되/XSV+ㄴ/ETM
무의식이	무/XPN+의식/NNG+이/JKS
이들의	이/NP+들/XSN+의/JKG
작품세계에	작품/NNG+세계/NNG+에/JKB
많은	많/VA+은/ETM
영향을	영향/NNG+을/JKO
미쳤다고	미치/VV+었/EP+다고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.322.4.1
20권의 책은 각 출판사 예술 책 담당 편집자들의 추천을 바탕으로 동아일보 문화부 출판팀이 선정했다.

20권의	20/SN+권/NNB+의/JKG
책은	책/NNG+은/JX
각	각/MMD
출판사	출판사/NNG
예술	예술/NNG
책	책/NNG
담당	담당/NNG
편집자들의	편집자/NNG+들/XSN+의/JKG
추천을	추천/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
동아일보	동아일보/NNP
문화부	문화부/NNG
출판팀이	출판/NNG+팀/NNG+이/JKS
선정했다.	선정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.322.4.2
예술가의 어린 시절, 예술가와 돈·권력의 관계, 작품에 영향을 끼친 주변인 등 예술가의 인간적인 면모와 작품 탄생에 얽힌 이야기를 다룬 책들이다.

예술가의	예술가/NNG+의/JKG
어린	어리/VA+ㄴ/ETM
시절,	시절/NNG+,/SP
예술가와	예술가/NNG+와/JC
돈·권력의	돈/NNG+·/SP+권력/NNG+의/JKG
관계,	관계/NNG+,/SP
작품에	작품/NNG+에/JKB
영향을	영향/NNG+을/JKO
끼친	끼치/VV+ㄴ/ETM
주변인	주변인/NNG
등	등/NNB
인간적인	인간/NNG+적/XSN+이/VCP+ㄴ/ETM
