# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.363
metadata : {}


# id : NWRW1800000022.363.1.1
"최우수 학생 뽑아 최고 수준으로 키워";에콜 폴리테크니크의 총장 자비에르 미셀 육군 소장

"최우수	"/SS+최/XPN+우수/NNG
학생	학생/NNG
뽑아	뽑/VV+아/EC
최고	최고/NNG
수준으로	수준/NNG+으로/JKB
키워";에콜	키우/VV+어/EC+"/SS+;/SP+에콜/NNP
폴리테크니크의	폴리테크니크/NNP+의/JKG
총장	총장/NNG
자비에르	자비에르/NNP
미셀	미셀/NNP
육군	육군/NNG
소장	소장/NNG


# id : NWRW1800000022.363.2.1
에콜 폴리테크니크의 총장은 현직 군 장성이 맡는다.

에콜	에콜/NNP
폴리테크니크의	폴리테크니크/NNP+의/JKG
총장은	총장/NNG+은/JX
현직	현직/NNG
군	군/NNG
장성이	장성/NNG+이/JKS
맡는다.	맡/VV+는다/EF+./SF


# id : NWRW1800000022.363.2.2
현 총장 자비에르 미셀(Xavier Michel)은 육군 소장으로 5년째 에콜 폴리테크니크 총장직을 수행하고 있다.

현	현/MMD
총장	총장/NNG
자비에르	자비에르/NNP
미셀(Xavier	미셀/NNP+(/SS+Xavier/SL
Michel)은	Michel/SL+)/SS+은/JX
육군	육군/NNG
소장으로	소장/NNG+으로/JKB
5년째	5/SN+년/NNB+째/XSN
에콜	에콜/NNP
폴리테크니크	폴리테크니크/NNP
총장직을	총장직/NNG+을/JKO
수행하고	수행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.363.2.3
그는 "우수한 학생들을 선별할 수 없으면 어떻게 국가가 고등교육에 대한 우선순위를 결정할 수 있느냐"며 "우리 학교에는 매년 그해 최우수 학생 400명이 들어온다"고 말했다.

그는	그/NP+는/JX
"우수한	"/SS+우수/NNG+하/XSA+ㄴ/ETM
학생들을	학생/NNG+들/XSN+을/JKO
선별할	선별/NNG+하/XSV+ㄹ/ETM
수	수/NNB
