# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.405
metadata : {}


# id : NWRW1800000028.405.1.1
김성호<전 국정원장> “기억하고 싶지 않다” /정세균 “독재부활…특검해야” /정두언 “폭로 상당부분 사실”

김성호<전	김성호/NNP+</SS+전/MMD
국정원장>	국정원장/NNG+>/SS
“기억하고	“/SS+기억/NNG+하/XSV+고/EC
싶지	싶/VX+지/EC
않다”	않/VX+다/EF+”/SS
/정세균	//SP+정세균/NNP
“독재부활…특검해야”	“/SS+독재/NNG+부활/NNG+…/SE+특검/NNG+하/XSV+아야/EC+”/SS
/정두언	//SP+정두언/NNP
“폭로	“/SS+폭로/NNG
상당부분	상당/NNG+부분/NNG
사실”	사실/NNG+”/SS


# id : NWRW1800000028.405.2.1
이창화 전 청와대 행정관(국정원에서 파견)의 사찰을 받은 것으로 지목된 당사자들의 반응은 미묘하게 엇갈렸다.

이창화	이창화/NNP
전	전/MMD
청와대	청와대/NNP
행정관(국정원에서	행정관/NNG+(/SS+국정원/NNG+에서/JKB
파견)의	파견/NNG+)/SS+의/JKG
사찰을	사찰/NNG+을/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
지목된	지목/NNG+되/XSV+ㄴ/ETM
당사자들의	당사자/NNG+들/XSN+의/JKG
반응은	반응/NNG+은/JX
미묘하게	미묘하/VA+게/EC
엇갈렸다.	엇갈리/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.405.3.1
현직 국정원장 시절 부하 직원인 이 전 행정관의 사찰을 받은 것으로 알려진 김성호 전 원장은 18일 “기억하고 싶지 않다”며 사실 여부에 대한 확답을 피했다.

현직	현직/NNG
국정원장	국정원장/NNG
시절	시절/NNG
부하	부하/NNG
직원인	직원/NNG+이/VCP+ㄴ/ETM
이	이/NNP
전	전/MMD
행정관의	행정관/NNG+의/JKG
사찰을	사찰/NNG+을/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
알려진	알리/VV+어/EC+지/VX+ㄴ/ETM
김성호	김성호/NNP
원장은	원장/NNG+은/JX
18일	18/SN+일/NNB
“기억하고	“/SS+기억/NNG+하/XSV+고/EC
싶지	싶/VX+지/EC
않다”며	않/VX+다/EF+”/SS+며/EC
사실	사실/NNG
여부에	여부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
확답을	확답/NNG+을/JKO
피했다.	피하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.405.3.2
그는 “자꾸 그런 얘기가 나오면 안 될 텐데 걱정이다.

그는	그/NP+는/JX
“자꾸	“/SS+자꾸/MAG
그런	그런/MMD
얘기가	얘기/NNG+가/JKS
나오면	나오/VV+면/EC
안	안/MAG
될	되/VV+ㄹ/ETM
텐데	터/NNB+이/VCP+ㄴ데/EC
걱정이다.	걱정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.405.3.3
나를 취재해 사찰 사실을 확인하려 하지 말라”고 말해 묘한 여운을 남겼다.

나를	나/NP+를/JKO
취재해	취재/NNG+하/XSV+아/EC
사찰	사찰/NNG
사실을	사실/NNG+을/JKO
확인하려	확인/NNG+하/XSV+려/EC
하지	하/VX+지/EC
말라”고	말/VX+라/EF+”/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
묘한	묘하/VA+ㄴ/ETM
여운을	여운/NNG+을/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.405.3.4
반면 정두언 의원은 “이석현 의원이 폭로한 내용 가운데, 나와 관련된 것은 사실관계가 상당 부분 일치한다”며 “이 문제를 계속 덮으려 한다면 이명박 정부에 더 큰 부담이 될 것”이라고 말했다.

반면	반면/NNG
정두언	정두언/NNP
의원은	의원/NNG+은/JX
“이석현	“/SS+이석현/NNP
의원이	의원/NNG+이/JKS
폭로한	폭로/NNG+하/XSV+ㄴ/ETM
내용	내용/NNG
가운데,	가운데/NNG+,/SP
나와	나/NP+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
사실관계가	사실/NNG+관계/NNG+가/JKS
상당	상당/NNG
부분	부분/NNG
일치한다”며	일치/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“이	“/SS+이/MMD
문제를	문제/NNG+를/JKO
계속	계속/MAG
덮으려	덮/VV+으려/EC
한다면	하/VX+ㄴ다면/EC
이명박	이명박/NNP
정부에	정부/NNG+에/JKB
더	더/MAG
큰	크/VA+ㄴ/ETM
부담이	부담/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.405.3.5
정 의원은 “이창화 전 행정관이 나와 내 처를 사찰한다는 얘기를 듣고 청와대에 강력하게 항의했었다”며 “당시 청와대는 이 전 행정관을 국정원으로 복귀시키려 했으나 김성호 전 원장이 ‘나를 사찰했던 인물을 받아들일 수 없다’고 해 총리실로 갔다가 원세훈 원장 취임 뒤 국정원에 복귀했다”고 말했다.

정	정/NNP
의원은	의원/NNG+은/JX
“이창화	“/SS+이창화/NNP
전	전/MMD
행정관이	행정관/NNG+이/JKS
나와	나/NP+와/JC
내	나/NP+의/JKG
처를	처/NNG+를/JKO
사찰한다는	사찰/NNG+하/XSV+ㄴ다는/ETM
얘기를	얘기/NNG+를/JKO
듣고	듣/VV+고/EC
청와대에	청와대/NNP+에/JKB
강력하게	강력/NNG+하/XSA+게/EC
항의했었다”며	항의/NNG+하/XSV+았었/EP+다/EF+”/SS+며/EC
“당시	“/SS+당시/NNG
청와대는	청와대/NNP+는/JX
이	이/NNP
행정관을	행정관/NNG+을/JKO
국정원으로	국정원/NNG+으로/JKB
복귀시키려	복귀/NNG+시키/XSV+려/EC
했으나	하/VX+았/EP+으나/EC
김성호	김성호/NNP
원장이	원장/NNG+이/JKS
‘나를	‘/SS+나/NP+를/JKO
사찰했던	사찰/NNG+하/XSV+았/EP+던/ETM
인물을	인물/NNG+을/JKO
받아들일	받아들이/VV+ㄹ/ETM
수	수/NNB
없다’고	없/VA+다/EF+’/SS+고/JKQ
해	하/VV+아/EC
총리실로	총리실/NNG+로/JKB
갔다가	가/VV+았/EP+다가/EC
원세훈	원세훈/NNP
원장	원장/NNG
취임	취임/NNG
뒤	뒤/NNG
국정원에	국정원/NNG+에/JKB
복귀했다”고	복귀/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.405.3.6
김 전 원장이 사찰받았다는 내용 상당 부분이 사실이라는 것이다.

김	김/NNP
전	전/MMD
원장이	원장/NNG+이/JKS
사찰받았다는	사찰/NNG+받/XSV+았/EP+다는/ETM
내용	내용/NNG
상당	상당/NNG
부분이	부분/NNG+이/JKS
사실이라는	사실/NNG+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.405.4.1
정세균 민주당 대표는 “이런 식의 사찰이라면 독재정권의 부활이나 마찬가지다.

정세균	정세균/NNP
민주당	민주당/NNP
대표는	대표/NNG+는/JX
“이런	“/SS+이런/MMD
식의	식/NNB+의/JKG
사찰이라면	사찰/NNG+이/VCP+라면/EC
독재정권의	독재/NNG+정권/NNG+의/JKG
부활이나	부활/NNG+이나/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.405.4.2
특검을 꼭 해야 할 것 같다”고 말했다.

특검을	특검/NNG+을/JKO
꼭	꼭/MAG
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.405.5.1
한나라당 초선모임인 ‘민본21’ 소속 의원들은 이날 주례 모임에서 청와대 대포폰, 이창화 전 행정관 사찰 의혹 등에 대해 검찰이 엄정하게 재수사해야 한다고 의견을 모았다.

한나라당	한나라당/NNP
초선모임인	초선/NNG+모임/NNG+이/VCP+ㄴ/ETM
‘민본21’	‘/SS+민본/NNG+21/SN+’/SS
소속	소속/NNG
의원들은	의원/NNG+들/XSN+은/JX
이날	이날/NNG
주례	주례/NNG
모임에서	모임/NNG+에서/JKB
청와대	청와대/NNP
대포폰,	대포/NNG+폰/NNG+,/SP
이창화	이창화/NNP
전	전/MMD
행정관	행정관/NNG
사찰	사찰/NNG
의혹	의혹/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
검찰이	검찰/NNG+이/JKS
엄정하게	엄정/NNG+하/XSA+게/EC
재수사해야	재/XPN+수사/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
