# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.71
metadata : {}


# id : NWRW1800000025.71.1.1
대기업 임원수 줄이고 보수는 늘렸다

대기업	대/XPN+기업/NNG
임원수	임원/NNG+수/NNG
줄이고	줄이/VV+고/EC
보수는	보수/NNG+는/JX
늘렸다	늘리/VV+었/EP+다/EF


# id : NWRW1800000025.71.2.1
12일 열린 현대자동차 정기주주총회에서는 이사 보수 한도를 100억 원에서 150억 원으로 늘리는 안건이 승인됐다.

12일	12/SN+일/NNB
열린	열리/VV+ㄴ/ETM
현대자동차	현대자동차/NNP
정기주주총회에서는	정기/NNG+주주/NNG+총회/NNG+에서/JKB+는/JX
이사	이사/NNG
보수	보수/NNG
한도를	한도/NNG+를/JKO
100억	100/SN+억/NR
원에서	원/NNB+에서/JKB
150억	150/SN+억/NR
원으로	원/NNB+으로/JKB
늘리는	늘리/VV+는/ETM
안건이	안건/NNG+이/JKS
승인됐다.	승인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.71.2.2
2006년 3월 70억 원에서 100억 원으로 늘어난 뒤 3년 연속 동결됐던 현대차 이사 보수 한도가 150억 원으로 크게 늘어난 것.

2006년	2006/SN+년/NNB
3월	3/SN+월/NNB
70억	70/SN+억/NR
원에서	원/NNB+에서/JKB
100억	100/SN+억/NR
원으로	원/NNB+으로/JKB
늘어난	늘어나/VV+ㄴ/ETM
뒤	뒤/NNG
3년	3/SN+년/NNB
연속	연속/NNG
동결됐던	동결/NNG+되/XSV+었/EP+던/ETM
현대차	현대차/NNP
이사	이사/NNG
보수	보수/NNG
한도가	한도/NNG+가/JKS
150억	150/SN+억/NR
크게	크/VA+게/EC
것.	것/NNB+./SF


# id : NWRW1800000025.71.2.3
현대차 관계자는 이사 보수 한도가 대폭 증가한 이유에 대해 “지난해 경영성과와 보수 한도가 3년간 동결된 점 등을 고려한 것”이라고 설명했다.

현대차	현대차/NNP
관계자는	관계자/NNG+는/JX
이사	이사/NNG
보수	보수/NNG
한도가	한도/NNG+가/JKS
대폭	대폭/MAG
증가한	증가/NNG+하/XSV+ㄴ/ETM
이유에	이유/NNG+에/JKB
대해	대하/VV+아/EC
“지난해	“/SS+지난해/NNG
경영성과와	경영/NNG+성과/NNG+와/JC
3년간	3/SN+년/NNB+간/XSN
동결된	동결/NNG+되/XSV+ㄴ/ETM
점	점/NNG
등을	등/NNB+을/JKO
고려한	고려/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.71.3.1
주총을 개최했거나 주총을 앞둔 기업들의 주총 안건을 분석한 결과, 임원 보수 한도를 늘리고 이사 수를 줄이는 기업이 많아진 것으로 나타났다.

주총을	주총/NNG+을/JKO
개최했거나	개최/NNG+하/XSV+았/EP+거나/EC
앞둔	앞두/VV+ㄴ/ETM
기업들의	기업/NNG+들/XSN+의/JKG
주총	주총/NNG
안건을	안건/NNG+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
임원	임원/NNG
보수	보수/NNG
한도를	한도/NNG+를/JKO
늘리고	늘리/VV+고/EC
이사	이사/NNG
수를	수/NNG+를/JKO
줄이는	줄이/VV+는/ETM
기업이	기업/NNG+이/JKS
많아진	많아지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.71.3.2
임원 보수 한도는 사외이사를 포함한 등기 이사가 받는 급여와 성과급, 퇴직금 등이 포함된 액수다.

임원	임원/NNG
보수	보수/NNG
한도는	한도/NNG+는/JX
사외이사를	사외/NNG+이사/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
등기	등기/NNG
이사가	이사/NNG+가/JKS
받는	받/VV+는/ETM
급여와	급여/NNG+와/JC
성과급,	성과급/NNG+,/SP
퇴직금	퇴직금/NNG
등이	등/NNB+이/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
액수다.	액수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.71.3.3
사외이사의 연간 보수가 많아야 1억 원 안팎인 점을 감안하면 늘어난 보수 한도는 대부분 사내이사들에게 돌아가는 몫이라고 보면 된다.

사외이사의	사외/NNG+이사/NNG+의/JKG
연간	연간/NNG
보수가	보수/NNG+가/JKS
많아야	많/VA+아야/EC
1억	1/SN+억/NR
원	원/NNB
안팎인	안팎/NNG+이/VCP+ㄴ/ETM
점을	점/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
늘어난	늘어나/VV+ㄴ/ETM
보수	보수/NNG
한도는	한도/NNG+는/JX
대부분	대/XPN+부분/NNG
사내이사들에게	사내/NNG+이사/NNG+들/XSN+에게/JKB
돌아가는	돌아가/VV+는/ETM
몫이라고	몫/NNG+이/VCP+라고/EC
보면	보/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.71.4.1
포스코는 올해 등기 이사를 15명에서 13명으로 줄이면서 임원 보수 총액은 60억 원에서 70억 원으로 올렸다.

포스코는	포스코/NNP+는/JX
올해	올해/NNG
등기	등기/NNG
이사를	이사/NNG+를/JKO
15명에서	15/SN+명/NNB+에서/JKB
