# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.275
metadata : {}


# id : NWRW1800000033.275.1.1
[횡설수설] 이웃집 사이코패스

[횡설수설]	[/SS+횡설수설/NNG+]/SS
이웃집	이웃집/NNG
사이코패스	사이코패스/NNG


# id : NWRW1800000033.275.2.1
영화 ‘양들의 침묵’은 사이코패스가 어떤 존재인지를 생생하게 보여줬다.

영화	영화/NNG
‘양들의	‘/SS+양/NNG+들/XSN+의/JKG
침묵’은	침묵/NNG+’/SS+은/JX
사이코패스가	사이코패스/NNG+가/JKS
어떤	어떤/MMD
존재인지를	존재/NNG+이/VCP+ㄴ지/EF+를/JKO
생생하게	생생하/VA+게/EC
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.275.2.2
하니발 렉터는 잔인하고 지능적이며 고통에 무감각하고 예술적 취향을 가진 사이코패스의 전형이었다.

하니발	하니발/NNP
렉터는	렉터/NNP+는/JX
잔인하고	잔인/NNG+하/XSA+고/EC
지능적이며	지능/NNG+적/XSN+이/VCP+며/EC
고통에	고통/NNG+에/JKB
무감각하고	무/XPN+감각/NNG+하/XSA+고/EC
예술적	예술/NNG+적/XSN
취향을	취향/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
사이코패스의	사이코패스/NNG+의/JKG
전형이었다.	전형/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.275.2.3
실존했던 사이코패스로는 30∼100명의 여성을 살해한 테드 번디, 17명의 청소년을 살해해 인육을 먹었던 ‘밀워키의 식인귀’ 제프리 다머, 13명을 살인한 리처드 라미네스가 악명이 높다.

실존했던	실존/NNG+하/XSV+았/EP+던/ETM
사이코패스로는	사이코패스/NNG+로/JKB+는/JX
30∼100명의	30/SN+∼/SO+100/SN+명/NNB+의/JKG
여성을	여성/NNG+을/JKO
살해한	살해/NNG+하/XSV+ㄴ/ETM
테드	테드/NNP
번디,	번디/NNP+,/SP
17명의	17/SN+명/NNB+의/JKG
청소년을	청소년/NNG+을/JKO
살해해	살해/NNG+하/XSV+아/EC
인육을	인육/NNG+을/JKO
먹었던	먹/VV+었/EP+던/ETM
‘밀워키의	‘/SS+밀워키/NNP+의/JKG
식인귀’	식인귀/NNG+’/SS
제프리	제프리/NNP
다머,	다머/NNP+,/SP
13명을	13/SN+명/NNB+을/JKO
살인한	살인/NNG+하/XSV+ㄴ/ETM
리처드	리처드/NNP
라미네스가	라미네스/NNP+가/JKS
악명이	악명/NNG+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000033.275.2.4
이들은 잘생긴 외모로 여자들의 동정심에 호소해 범행대상을 유인했다.

이들은	이/NP+들/XSN+은/JX
잘생긴	잘생기/VV+ㄴ/ETM
외모로	외모/NNG+로/JKB
여자들의	여자/NNG+들/XSN+의/JKG
동정심에	동정심/NNG+에/JKB
호소해	호소/NNG+하/XSV+아/EC
범행대상을	범행/NNG+대상/NNG+을/JKO
유인했다.	유인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.275.2.5
로스쿨 학생이었던 번디는 법정에서 ‘살인 미소’와 뛰어난 언변으로 스스로를 변호했다.

로스쿨	로스쿨/NNG
학생이었던	학생/NNG+이/VCP+었/EP+던/ETM
번디는	번디/NNP+는/JX
법정에서	법정/NNG+에서/JKB
‘살인	‘/SS+살인/NNG
미소’와	미소/NNG+’/SS+와/JC
