# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.254
metadata : {}


# id : NWRW1800000033.254.1.1
우승컵 안은 서울, 새로운 도전 시작

우승컵	우승컵/NNG
안은	안/VV+은/ETM
서울,	서울/NNP+,/SP
새로운	새롭/VA+ㄴ/ETM
도전	도전/NNG
시작	시작/NNG


# id : NWRW1800000033.254.2.1
내년 AFC 챔스리그 출전… 체력관리 비상 라이벌 수원전 ‘무승 징크스’ 극복도 과제

내년	내년/NNG
AFC	AFC/SL
챔스리그	챔스리그/NNG
출전…	출전/NNG+…/SE
체력관리	체력/NNG+관리/NNG
비상	비상/NNG
라이벌	라이벌/NNG
수원전	수원전/NNG
‘무승	‘/SS+무/XPN+승/NNG
징크스’	징크스/NNG+’/SS
극복도	극복/NNG+도/JX
과제	과제/NNG


# id : NWRW1800000033.254.3.1
올 시즌 K리그 우승팀 FC 서울의 도전은 아직 끝나지 않았다.

올	올/NNG
시즌	시즌/NNG
K리그	K/SL+리그/NNG
우승팀	우승/NNG+팀/NNG
FC	FC/SL
서울의	서울/NNP+의/JKG
도전은	도전/NNG+은/JX
아직	아직/MAG
끝나지	끝나/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.254.4.1
21일 열린 41라운드 경기에서 제주를 꺾고 우승을 확정한 서울이지만 44라운드까지 남은 경기에서 이뤄내야 할 과제가 하나 더 있다.

21일	21/SN+일/NNB
열린	열리/VV+ㄴ/ETM
41라운드	41/SN+라운드/NNG
경기에서	경기/NNG+에서/JKB
제주를	제주/NNP+를/JKO
꺾고	꺾/VV+고/EC
우승을	우승/NNG+을/JKO
확정한	확정/NNG+하/XSV+ㄴ/ETM
서울이지만	서울/NNP+이/VCP+지만/EC
44라운드까지	44/SN+라운드/NNG+까지/JX
남은	남/VV+은/ETM
이뤄내야	이루/VV+어/EC+내/VX+어야/EC
할	하/VX+ㄹ/ETM
과제가	과제/NNG+가/JKS
하나	하나/NR
더	더/MAG
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.254.4.2
최용수 감독은 “우승과 페어플레이 상을 모두 석권해 ‘퍼펙트 우승’을 달성하고 싶다”고 말했다.

최용수	최용수/NNP
감독은	감독/NNG+은/JX
“우승과	“/SS+우승/NNG+과/JC
페어플레이	페어플레이/NNG
상을	상/NNG+을/JKO
모두	모두/MAG
석권해	석권/NNG+하/XSV+아/EC
‘퍼펙트	‘/SS+퍼펙트/NNG
우승’을	우승/NNG+’/SS+을/JKO
달성하고	달성/NNG+하/XSV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.254.5.1
그가 추구한 ‘무공해 축구’는 ‘무조건 공격해’라는 뜻을 지닌 공격 축구인 동시에 ‘공해 없는 축구’, 즉 반칙과 경고를 최소화한 깨끗한 축구를 뜻하기도 한다.

그가	그/NP+가/JKS
추구한	추구/NNG+하/XSV+ㄴ/ETM
‘무공해	‘/SS+무/XPN+공해/NNG
축구’는	축구/NNG+’/SS+는/JX
‘무조건	‘/SS+무/XPN+조건/NNG
공격해’라는	공격/NNG+하/XSV+아/EF+’/SS+이/VCP+라는/ETM
뜻을	뜻/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
공격	공격/NNG
축구인	축구/NNG+이/VCP+ㄴ/ETM
동시에	동시/NNG+에/JKB
‘공해	‘/SS+공해/NNG
없는	없/VA+는/ETM
축구’,	축구/NNG+’/SS+,/SP
즉	즉/MAG
반칙과	반칙/NNG+과/JC
경고를	경고/NNG+를/JKO
최소화한	최소/NNG+화/XSN+하/XSV+ㄴ/ETM
깨끗한	깨끗하/VA+ㄴ/ETM
축구를	축구/NNG+를/JKO
뜻하기도	뜻/NNG+하/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.254.5.2
최 감독은 “경고 누적으로 출전 정지 선수가 생기면 안정적인 전력 확보가 불가능하기 때문에 반칙이 없는 축구를 목표로 정했다”고 밝혔다.

최	최/NNP
감독은	감독/NNG+은/JX
“경고	“/SS+경고/NNG
누적으로	누적/NNG+으로/JKB
출전	출전/NNG
정지	정지/NNG
선수가	선수/NNG+가/JKS
생기면	생기/VV+면/EC
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
전력	전력/NNG
확보가	확보/NNG+가/JKS
불가능하기	불/XPN+가능/NNG+하/XSA+기/ETN
때문에	때문/NNB+에/JKB
반칙이	반칙/NNG+이/JKS
없는	없/VA+는/ETM
축구를	축구/NNG+를/JKO
목표로	목표/NNG+로/JKB
정했다”고	정하/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.254.5.3
그의 말대로 22일 현재 서울은 반칙 559개, 경고 61개로 두 부문 모두 리그 최소(스플릿 시스템 가동 후 리그 경기에 불참한 상주 상무 제외)를 기록 중이다.

그의	그/NP+의/JKG
말대로	말/NNG+대로/JX
22일	22/SN+일/NNB
현재	현재/MAG
서울은	서울/NNP+은/JX
반칙	반칙/NNG
559개,	559/SN+개/NNB+,/SP
경고	경고/NNG
61개로	61/SN+개/NNB+로/JKB
두	두/MMN
