# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.374
metadata : {}


# id : NWRW1800000044.374.1.1
문체부장관 후보 김종덕 교수 지명 자리 빈 지 16일만에…정치색 없는 ‘영상·디자인 전문가’

문체부장관	문체부/NNG+장관/NNG
후보	후보/NNG
김종덕	김종덕/NNP
교수	교수/NNG
지명	지명/NNG
자리	자리/NNG
빈	비/VV+ㄴ/ETM
지	지/NNB
16일만에…정치색	16/SN+일/NNB+만/NNB+에/JKB+…/SE+정치색/NNG
없는	없/VA+는/ETM
‘영상·디자인	‘/SS+영상/NNG+·/SP+디자인/NNG
전문가’	전문가/NNG+’/SS


# id : NWRW1800000044.374.2.1
[한겨레] 홍익대 시각디자인과 교수

[한겨레]	[/SS+한겨레/NNP+]/SS
홍익대	홍익대/NNP
시각디자인과	시각/NNG+디자인과/NNG
교수	교수/NNG


# id : NWRW1800000044.374.3.1
박 대통령과 특별인연 없어

박	박/NNP
대통령과	대통령/NNG+과/JKB
특별인연	특별/NNG+인연/NNG
없어	없/VA+어/EF


# id : NWRW1800000044.374.4.1
미 NBC 영상감독 경력

미	미/NNP
NBC	NBC/SL
영상감독	영상/NNG+감독/NNG
경력	경력/NNG


# id : NWRW1800000044.374.5.1
90년대 금강제화 모델 일도

90년대	90/SN+년대/NNB
금강제화	금강제화/NNP
모델	모델/NNG
일도	일/NNG+도/JX


# id : NWRW1800000044.374.6.1
박근혜 대통령이 3일 문화체육관광부 장관 후보자에 김종덕(57·사진) 홍익대 시각디자인과 교수를 지명했다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
3일	3/SN+일/NNB
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
장관	장관/NNG
후보자에	후보자/NNG+에/JKB
김종덕(57·사진)	김종덕/NNP+(/SS+57/SN+·/SP+사진/NNG+)/SS
홍익대	홍익대/NNP
시각디자인과	시각/NNG+디자인과/NNG
교수를	교수/NNG+를/JKO
지명했다.	지명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.374.6.2
2기 내각 인사청문회 과정에서 지난달 16일 정성근 전 문체부 장관 후보자가 사퇴하고, 다음날 박 대통령이 유진룡 전 장관의 사표를 수리해 장관 자리가 빈 지 16일 만이다.

2기	2/SN+기/NNG
내각	내각/NNG
인사청문회	인사/NNG+청문회/NNG
과정에서	과정/NNG+에서/JKB
지난달	지난달/NNG
16일	16/SN+일/NNB
정성근	정성근/NNP
전	전/MMD
문체부	문체부/NNG
장관	장관/NNG
후보자가	후보자/NNG+가/JKS
사퇴하고,	사퇴/NNG+하/XSV+고/EC+,/SP
다음날	다음날/NNG
박	박/NNP
대통령이	대통령/NNG+이/JKS
유진룡	유진룡/NNP
장관의	장관/NNG+의/JKG
사표를	사표/NNG+를/JKO
수리해	수리/NNG+하/XSV+아/EC
자리가	자리/NNG+가/JKS
빈	비/VV+ㄴ/ETM
지	지/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.374.6.3
김 후보자와 함께 청문회를 앞두고 있는 황우여 사회부총리 겸 교육부 장관 후보자가 청문회를 통과하게 되면 박 대통령의 2기 내각이 본격적인 진용을 갖출 것으로 보인다.

김	김/NNP
후보자와	후보자/NNG+와/JKB
함께	함께/MAG
청문회를	청문회/NNG+를/JKO
앞두고	앞두/VV+고/EC
있는	있/VX+는/ETM
황우여	황우여/NNP
사회부총리	사회/NNG+부총리/NNG
겸	겸/NNB
교육부	교육부/NNG
장관	장관/NNG
후보자가	후보자/NNG+가/JKS
통과하게	통과/NNG+하/XSV+게/EC
되면	되/VV+면/EC
박	박/NNP
대통령의	대통령/NNG+의/JKG
2기	2/SN+기/NNG
내각이	내각/NNG+이/JKS
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
진용을	진용/NNG+을/JKO
갖출	갖추/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.374.7.1
충북 청주 출신인 김 후보자는 경동고와 홍대 시각디자인과를 졸업한 영상·디자인 분야 전문가로 꼽힌다.

충북	충북/NNP
청주	청주/NNP
출신인	출신/NNG+이/VCP+ㄴ/ETM
김	김/NNP
후보자는	후보자/NNG+는/JX
경동고와	경동고/NNP+와/JC
홍대	홍대/NNP
시각디자인과를	시각/NNG+디자인과/NNG+를/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
영상·디자인	영상/NNG+·/SP+디자인/NNG
분야	분야/NNG
전문가로	전문가/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.374.7.2
미국 아트센터디자인대학에서 영상 분야로 석사학위를 받았고, 서울대에서 언론정보학으로 박사학위를 받았다.

미국	미국/NNP
아트센터디자인대학에서	아트센터디자인대학/NNP+에서/JKB
영상	영상/NNG
분야로	분야/NNG+로/JKB
석사학위를	석사/NNG+학위/NNG+를/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
서울대에서	서울대/NNP+에서/JKB
언론정보학으로	언론/NNG+정보학/NNG+으로/JKB
박사학위를	박사/NNG+학위/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.374.7.3
미국 <엔비시>(NBC) 영상감독으로 일한 적이 있으며, 광고제작사인 선우프로덕션에서 감독 생활을 했다.

미국	미국/NNP
<엔비시>(NBC)	</SS+엔비시/NNP+>/SS+(/SS+NBC/SL+)/SS
영상감독으로	영상/NNG+감독/NNG+으로/JKB
일한	일/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있으며,	있/VV+으며/EC+,/SP
광고제작사인	광고/NNG+제작사/NNG+이/VCP+ㄴ/ETM
선우프로덕션에서	선우프로덕션/NNP+에서/JKB
감독	감독/NNG
생활을	생활/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.374.7.4
국내 애니메이션 <원더풀데이즈>를 제작하기도 했고, 90년대엔 금강제화 광고 모델로 등장한 적도 있다.

국내	국내/NNG
애니메이션	애니메이션/NNG
<원더풀데이즈>를	</SS+원더풀데이즈/NNP+>/SS+를/JKO
제작하기도	제작/NNG+하/XSV+기/ETN+도/JX
했고,	하/VX+았/EP+고/EC+,/SP
90년대엔	90/SN+년대/NNB+에/JKB+ㄴ/JX
금강제화	금강제화/NNP
광고	광고/NNG
모델로	모델/NNG+로/JKB
등장한	등장/NNG+하/XSV+ㄴ/ETM
적도	적/NNB+도/JX
있다.	있/VV+다/EF+./SF


# id : NWRW1800000044.374.8.1
민경욱 청와대 대변인은 이날 브리핑에서 “김 후보자가 경험과 전문성이 풍부할 뿐 아니라 리더십과 현장 감각이 뛰어나 문화융성의 국정기조를 실현하는데 적임이라고 기대돼 발탁했다”고 인선 배경을 설명했다.

민경욱	민경욱/NNP
청와대	청와대/NNP
대변인은	대변인/NNG+은/JX
이날	이날/NNG
브리핑에서	브리핑/NNG+에서/JKB
“김	“/SS+김/NNP
후보자가	후보자/NNG+가/JKS
경험과	경험/NNG+과/JC
전문성이	전문/NNG+성/XSN+이/JKS
풍부할	풍부하/VA+ㄹ/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
리더십과	리더십/NNG+과/JC
현장	현장/NNG
감각이	감각/NNG+이/JKS
뛰어나	뛰어나/VA+아/EC
문화융성의	문화/NNG+융성/NNG+의/JKG
국정기조를	국정/NNG+기조/NNG+를/JKO
실현하는데	실현/NNG+하/XSV+는데/EC
적임이라고	적임/NNG+이/VCP+라고/EC
기대돼	기대/NNG+되/XSV+어/EC
발탁했다”고	발탁/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
인선	인선/NNG
배경을	배경/NNG+을/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.374.9.1
김 후보자는 홍익대에서 광고홍보대학원장과 영상대학원장 등을 지내고 한국데이터방송협회장, 한국디자인회장 등 외부 활동도 활발한 편이었지만, 박 대통령과 특별한 인연은 없는 것으로 알려졌다.

김	김/NNP
후보자는	후보자/NNG+는/JX
홍익대에서	홍익대/NNP+에서/JKB
광고홍보대학원장과	광고/NNG+홍보/NNG+대학원장/NNG+과/JC
영상대학원장	영상/NNG+대학원장/NNG
등을	등/NNB+을/JKO
지내고	지내/VV+고/EC
한국데이터방송협회장,	한국/NNP+데이터/NNG+방송/NNG+협회장/NNG+,/SP
한국디자인회장	한국/NNP+디자인/NNG+회장/NNG
등	등/NNB
외부	외부/NNG
