# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.222
metadata : {}


# id : NWRW1800000052.222.1.1
알바 ‘수습임금’ 10% 삭감 안 된다

알바	알바/NNG
‘수습임금’	‘/SS+수습/NNG+임금/NNG+’/SS
10%	10/SN+%/SW
삭감	삭감/NNG
안	안/MAG
된다	되/VV+ㄴ다/EF


# id : NWRW1800000052.222.2.1
국무회의 ‘최저임금법 개정안’ 통과

국무회의	국무/NNG+회의/NNG
‘최저임금법	‘/SS+최저/NNG+임금법/NNG
개정안’	개정안/NNG+’/SS
통과	통과/NNG


# id : NWRW1800000052.222.3.1
수습기간 3개월 최저임금 10% 감면 폐지

수습기간	수습/NNG+기간/NNG
3개월	3/SN+개월/NNB
최저임금	최저/NNG+임금/NNG
10%	10/SN+%/SW
감면	감면/NNG
폐지	폐지/NNG


# id : NWRW1800000052.222.4.1
최저임금 위반시 2천만 과태료 즉시 부과

최저임금	최저/NNG+임금/NNG
위반시	위반/NNG+시/NNB
2천만	2/SN+천만/NR
과태료	과태료/NNG
즉시	즉시/MAG
부과	부과/NNG


# id : NWRW1800000052.222.5.1
이르면 내년부터 아르바이트생의 최저임금을 수습 기간이라는 이유로 깎을 수 없게 된다.

이르면	이르/VA+면/EC
내년부터	내년/NNG+부터/JX
아르바이트생의	아르바이트/NNG+생/XSN+의/JKG
최저임금을	최저/NNG+임금/NNG+을/JKO
수습	수습/NNG
기간이라는	기간/NNG+이/VCP+라는/ETM
이유로	이유/NNG+로/JKB
깎을	깎/VV+을/ETM
수	수/NNB
없게	없/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.222.5.2
또 최저임금을 지키지 않는 사업주한테는 최대 2천만원 이하의 과태료가 즉시 부과된다.

또	또/MAG
최저임금을	최저/NNG+임금/NNG+을/JKO
지키지	지키/VV+지/EC
않는	않/VX+는/ETM
사업주한테는	사업주/NNG+한테/JKB+는/JX
최대	최대/NNG
2천만원	2/SN+천만/NR+원/NNB
이하의	이하/NNG+의/JKG
과태료가	과태료/NNG+가/JKS
즉시	즉시/MAG
부과된다.	부과/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.222.6.1
고용노동부는 21일 오전 국무회의에서 이런 내용의 최저임금법 개정안을 의결해 이달 말 국회에 제출한다고 밝혔다.

고용노동부는	고용/NNG+노동부/NNG+는/JX
21일	21/SN+일/NNB
오전	오전/NNG
국무회의에서	국무/NNG+회의/NNG+에서/JKB
이런	이런/MMD
내용의	내용/NNG+의/JKG
최저임금법	최저/NNG+임금법/NNG
개정안을	개정안/NNG+을/JKO
의결해	의결/NNG+하/XSV+아/EC
이달	이달/NNG
말	말/NNB
국회에	국회/NNG+에/JKB
제출한다고	제출/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.222.6.2
고용부는 “개정안은 19대 국회 때 제출됐지만 큰 쟁점이 없는데도 임기 만료로 폐기됐다”며 “20대 국회에서 조속히 논의해 처리되기를 기대한다”고 밝혔다.

고용부는	고용부/NNG+는/JX
“개정안은	“/SS+개정안/NNG+은/JX
19대	19/SN+대/NNB
국회	국회/NNG
때	때/NNG
제출됐지만	제출/NNG+되/XSV+었/EP+지만/EC
큰	크/VA+ㄴ/ETM
쟁점이	쟁점/NNG+이/JKS
없는데도	없/VA+는데/EC+도/JX
임기	임기/NNG
