# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.54
metadata : {}


# id : NWRW1800000030.54.1.1
[만물상] 이준 열사 기념관

[만물상]	[/SS+만물상/NNG+]/SS
이준	이준/NNP
열사	열사/NNG
기념관	기념관/NNG


# id : NWRW1800000030.54.2.1
"코레(한국)의 특사들이 나를 찾아왔다.

"코레(한국)의	"/SS+코레/NNP+(/SS+한국/NNP+)/SS+의/JKG
특사들이	특사/NNG+들/XSN+이/JKS
나를	나/NP+를/JKO
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.54.2.2
그들은 머물고 있는 숙소의 명함을 내게 건넸다." 1907년 6월 네덜란드 헤이그에서 열린 만국평화회의 부의장 드 보포트의 일기 중 일부다.

그들은	그/NP+들/XSN+은/JX
머물고	머물/VV+고/EC
있는	있/VX+는/ETM
숙소의	숙소/NNG+의/JKG
명함을	명함/NNG+을/JKO
내게	나/NP+에게/JKB
건넸다."	건네/VV+었/EP+다/EF+./SF+"/SS
1907년	1907/SN+년/NNB
6월	6/SN+월/NNB
네덜란드	네덜란드/NNP
헤이그에서	헤이그/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
만국평화회의	만국/NNG+평화/NNG+회의/NNG
부의장	부의장/NNG
드	드/NNP
보포트의	보포트/NNP+의/JKG
일기	일기/NNG
중	중/NNB
일부다.	일부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.54.2.3
고종의 밀명을 받고 온 이준 특사 일행이 머문 곳은 드용 호텔이었다.

고종의	고종/NNP+의/JKG
밀명을	밀명/NNG+을/JKO
받고	받/VV+고/EC
온	오/VX+ㄴ/ETM
이준	이준/NNP
특사	특사/NNG
일행이	일행/NNG+이/JKS
머문	머물/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
드용	드용/NNP
호텔이었다.	호텔/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.54.2.4
만국평화회의장까지는 걸어서 10분이면 충분했지만 특사들은 일제(日帝)의 방해로 회의장에 들어가지도 못했다.

만국평화회의장까지는	만국/NNG+평화/NNG+회의장/NNG+까지/JX+는/JX
걸어서	걷/VV+어서/EC
10분이면	10/SN+분/NNB+이/VCP+면/EC
충분했지만	충분하/VA+았/EP+지만/EC
특사들은	특사/NNG+들/XSN+은/JX
일제(日帝)의	일제/NNG+(/SS+日帝/SH+)/SS+의/JKG
방해로	방해/NNG+로/JKB
회의장에	회의장/NNG+에/JKB
들어가지도	들어가/VV+지/EC+도/JX
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.54.3.1
▶특사들은 호소문을 나눠주고 장외 연설로 각국 언론의 관심을 끌었다.

▶특사들은	▶/SW+특사/NNG+들/XSN+은/JX
호소문을	호소문/NNG+을/JKO
나눠주고	나누/VV+어/EC+주/VX+고/EC
장외	장외/NNG
연설로	연설/NNG+로/JKB
각국	각국/NNG
언론의	언론/NNG+의/JKG
관심을	관심/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.54.3.2
유럽 언론들이 일본을 비판하는 기사와 만평을 실었다.

유럽	유럽/NNP
언론들이	언론/NNG+들/XSN+이/JKS
일본을	일본/NNP+을/JKO
비판하는	비판/NNG+하/XSV+는/ETM
기사와	기사/NNG+와/JC
만평을	만평/NNG+을/JKO
실었다.	싣/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.54.3.3
7월 14일 이준 열사가 숙소에서 마흔여덟에 세상을 떴다.

7월	7/SN+월/NNB
14일	14/SN+일/NNB
이준	이준/NNP
열사가	열사/NNG+가/JKS
숙소에서	숙소/NNG+에서/JKB
마흔여덟에	마흔여덟/NR+에/JKB
세상을	세상/NNG+을/JKO
떴다.	뜨/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.54.3.4
현지 의사가 쓴 사망진단서에는 사인(死因)이 적혀 있지 않았다.

현지	현지/NNG
의사가	의사/NNG+가/JKS
쓴	쓰/VV+ㄴ/ETM
사망진단서에는	사망/NNG+진단서/NNG+에/JKB+는/JX
사인(死因)이	사인/NNG+(/SS+死因/SH+)/SS+이/JKS
적혀	적히/VV+어/EC
있지	있/VX+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.54.3.5
황성신문은 '할복자살'을, 일제는 '병사(病死)'를 각각 주장했다.

황성신문은	황성신문/NNP+은/JX
'할복자살'을,	'/SS+할복자살/NNG+'/SS+을/JKO+,/SP
일제는	일제/NNG+는/JX
'병사(病死)'를	'/SS+병사/NNG+(/SS+病死/SH+)/SS+'/SS+를/JKO
각각	각각/MAG
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.54.3.6
최근 우리 학계에선 '단식 자살' 주장도 나왔다.

최근	최근/NNG
우리	우리/NP
학계에선	학계/NNG+에서/JKB+ㄴ/JX
'단식	'/SS+단식/NNG
자살'	자살/NNG+'/SS
주장도	주장/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.54.3.7
분명한 것은 이준 열사가 "내 조국을 도와주소서!"라는 말을 남기고 호텔에서 분사(憤死)했다는 것이다.

분명한	분명/MAG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
이준	이준/NNP
열사가	열사/NNG+가/JKS
"내	"/SS+나/NP+의/JKG
조국을	조국/NNG+을/JKO
도와주소서!"라는	도와주/VV+소서/EF+!/SF+"/SS+이/VCP+라는/ETM
말을	말/NNG+을/JKO
남기고	남기/VV+고/EC
호텔에서	호텔/NNG+에서/JKB
분사(憤死)했다는	분사/NNG+(/SS+憤死/SH+)/SS+하/VV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.54.4.1
▶열사가 숨진 호텔은 80년 넘게 그대로 남아 있다가 1992년 헐릴 처지가 됐다.

▶열사가	▶/SW+열사/NNG+가/JKS
숨진	숨지/VV+ㄴ/ETM
호텔은	호텔/NNG+은/JX
80년	80/SN+년/NNB
넘게	넘/VV+게/EC
그대로	그대로/MAG
남아	남/VV+아/EC
있다가	있/VX+다가/EC
1992년	1992/SN+년/NNB
헐릴	헐리/VV+ㄹ/ETM
처지가	처지/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.54.4.2
