# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.27
metadata : {}


# id : NWRW1800000041.27.1.1
‘3가지 근육’으로 힘찬 기지개

‘3가지	‘/SS+3/SN+가지/NNB
근육’으로	근육/NNG+’/SS+으로/JKB
힘찬	힘차/VA+ㄴ/ETM
기지개	기지개/NNG


# id : NWRW1800000041.27.2.1
[시선집중, 이 주식]IBK기업은행

[시선집중,	[/SS+시선/NNG+집중/NNG+,/SP
이	이/MMD
주식]IBK기업은행	주식/NNG+]/SS+IBK/SL+기업은행/NNP


# id : NWRW1800000041.27.3.1
최근 IBK기업은행의 주가가 상승세다.

최근	최근/NNG
IBK기업은행의	IBK기업은행/NNP+의/JKG
주가가	주가/NNG+가/JKS
상승세다.	상승세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.27.3.2
몇 달 동안 1만3000원대에서 횡보하던 주가가 이 달 들어 1만6000원을 넘어섰다.

몇	몇/NR
달	달/NNG
동안	동안/NNG
1만3000원대에서	1/SN+만/NR+3000/SN+원/NNB+대/XSN+에서/JKB
횡보하던	횡보/NNG+하/XSV+던/ETM
주가가	주가/NNG+가/JKS
이	이/MMD
들어	들/VV+어/EC
1만6000원을	1/SN+만/NR+6000/SN+원/NNB+을/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.27.3.3
본연의 업무인 중소기업 지원뿐만 아니라 창조금융을 선도해 나가면서 어닝서프라이즈(기대치를 웃도는 실적)를 이어가고 있다.

본연의	본연/NNG+의/JKG
업무인	업무/NNG+이/VCP+ㄴ/ETM
중소기업	중소기업/NNG
지원뿐만	지원/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
창조금융을	창조/NNG+금융/NNG+을/JKO
선도해	선도/NNG+하/XSV+아/EC
나가면서	나가/VX+면서/EC
어닝서프라이즈(기대치를	어닝서프라이즈/NNG+(/SS+기대/NNG+치/XSN+를/JKO
웃도는	웃돌/VV+는/ETM
실적)를	실적/NNG+)/SS+를/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.27.3.4
여기에 최경환 경제부총리 겸 기획재정부 장관이 이끄는 새 경제팀의 배당 확대 정책이 가시화되면서 고배당주로서의 매력도 부각되고 있다.

여기에	여기/NP+에/JKB
최경환	최경환/NNP
경제부총리	경제/NNG+부총리/NNG
겸	겸/NNB
기획재정부	기획/NNG+재정부/NNG
장관이	장관/NNG+이/JKS
이끄는	이끌/VV+는/ETM
새	새/MMA
경제팀의	경제/NNG+팀/NNG+의/JKG
배당	배당/NNG
확대	확대/NNG
정책이	정책/NNG+이/JKS
가시화되면서	가시/NNG+화/XSN+되/XSV+면서/EC
고배당주로서의	고배당주/NNG+로서/JKB+의/JKG
매력도	매력/NNG+도/JX
부각되고	부각/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.27.4.1
○ 기술력 뛰어난 中企에 금융지원 강화

○	○/SW
기술력	기술력/NNG
뛰어난	뛰어나/VA+ㄴ/ETM
中企에	中企/SH+에/JKB
금융지원	금융/NNG+지원/NNG
강화	강화/NNG


# id : NWRW1800000041.27.5.1
기업은행은 기술력이 뛰어난 중소기업에 대한 금융 지원을 강화하기 위해 다양한 ‘창조금융’ 사업을 펼쳐 주목받고 있다.

기업은행은	기업은행/NNP+은/JX
기술력이	기술력/NNG+이/JKS
뛰어난	뛰어나/VA+ㄴ/ETM
중소기업에	중소기업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
금융	금융/NNG
지원을	지원/NNG+을/JKO
강화하기	강화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
‘창조금융’	‘/SS+창조/NNG+금융/NNG+’/SS
사업을	사업/NNG+을/JKO
펼쳐	펼치/VV+어/EC
주목받고	주목/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.27.5.2
핵심 사업은 △기술평가 역량 강화 △지식재산권(IP) 금융 활성화 △문화콘텐츠 산업 육성 △창조기업 육성 등이다.

핵심	핵심/NNG
사업은	사업/NNG+은/JX
△기술평가	△/SW+기술/NNG+평가/NNG
역량	역량/NNG
강화	강화/NNG
△지식재산권(IP)	△/SW+지식/NNG+재산/NNG+권/XSN+(/SS+IP/SL+)/SS
금융	금융/NNG
활성화	활성/NNG+화/XSN
△문화콘텐츠	△/SW+문화/NNG+콘텐츠/NNG
산업	산업/NNG
육성	육성/NNG
△창조기업	△/SW+창조/NNG+기업/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.27.6.1
우선 우수한 기술을 가진 중소기업들을 집중 발굴하기 위해 기술평가 전담 조직을 지난해 7월 신설했다.

우선	우선/MAG
우수한	우수/NNG+하/XSA+ㄴ/ETM
기술을	기술/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
중소기업들을	중소기업/NNG+들/XSN+을/JKO
집중	집중/NNG
발굴하기	발굴/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
기술평가	기술/NNG+평가/NNG
전담	전담/NNG
조직을	조직/NNG+을/JKO
지난해	지난해/NNG
7월	7/SN+월/NNB
신설했다.	신설/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.27.6.2
기술금융 지원 체계를 구축해 앞으로 중소기업 대출을 기존의 담보 중심에서 기술금융 중심의 투·융자로 전환한다는 목표를 갖고 있다.

기술금융	기술/NNG+금융/NNG
지원	지원/NNG
