# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.13
metadata : {}


# id : NWRW1800000044.13.1.1
SKT ‘불통 쥐꼬리 보상’ 반발 이용자들, 집단분쟁조정 신청키로

SKT	SKT/SL
‘불통	‘/SS+불통/NNG
쥐꼬리	쥐꼬리/NNG
보상’	보상/NNG+’/SS
반발	반발/NNG
이용자들,	이용자/NNG+들/XSN+,/SP
집단분쟁조정	집단/NNG+분쟁/NNG+조정/NNG
신청키로	신청/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000044.13.2.1
[한겨레] 지난 20일 저녁 6시간 가량 계속된 에스케이텔레콤(SKT)의 이동통신망 불통 사태와 관련한 회사 쪽의 보상 방안에 대해, 이동통신 이용자들이 ‘일방적인 쥐꼬리 보상’이라며 반발하고 있다.

[한겨레]	[/SS+한겨레/NNP+]/SS
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
저녁	저녁/NNG
6시간	6/SN+시간/NNB
가량	가량/XSN
계속된	계속/NNG+되/XSV+ㄴ/ETM
에스케이텔레콤(SKT)의	에스케이텔레콤/NNP+(/SS+SKT/SL+)/SS+의/JKG
이동통신망	이동/NNG+통신망/NNG
불통	불통/NNG
사태와	사태/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
회사	회사/NNG
쪽의	쪽/NNB+의/JKG
보상	보상/NNG
방안에	방안/NNG+에/JKB
대해,	대하/VV+아/EC+,/SP
이동통신	이동/NNG+통신/NNG
이용자들이	이용자/NNG+들/XSN+이/JKS
‘일방적인	‘/SS+일방/NNG+적/XSN+이/VCP+ㄴ/ETM
쥐꼬리	쥐꼬리/NNG
보상’이라며	보상/NNG+’/SS+이/VCP+라며/EC
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.13.2.2
참여연대는 통신소비자협동조합·전국대리기사협회·금융소비자연맹 등과 함께 소비자원에 소비자집단분쟁조정 신청을 추진하기로 했다.

참여연대는	참여연대/NNP+는/JX
통신소비자협동조합·전국대리기사협회·금융소비자연맹	통신소비자협동조합/NNP+·/SP+전국대리기사협회/NNP+·/SP+금융소비자연맹/NNP
등과	등/NNB+과/JKB
함께	함께/MAG
소비자원에	소비자원/NNP+에/JKB
소비자집단분쟁조정	소비자/NNG+집단/NNG+분쟁/NNG+조정/NNG
신청을	신청/NNG+을/JKO
추진하기로	추진/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.13.3.1
참여연대 등은 23일 에스케이텔레콤의 보상 안에 대해, 대리기사 등 이동전화를 이용하지 못해 생업에 큰 피해를 당한 국민들에게는 적절한 보상이 될 수 없고, 에스케이텔레콤 가입자와 연락이 절실했던 케이티(KT)와 엘지유플러스(LGU+) 가입자들의 피해는 완전히 외면하는 처사라고 주장했다.

참여연대	참여연대/NNP
등은	등/NNB+은/JX
23일	23/SN+일/NNB
에스케이텔레콤의	에스케이텔레콤/NNP+의/JKG
보상	보상/NNG
안에	안/NNG+에/JKB
대해,	대하/VV+아/EC+,/SP
대리기사	대리/NNG+기사/NNG
등	등/NNB
이동전화를	이동/NNG+전화/NNG+를/JKO
이용하지	이용/NNG+하/XSV+지/EC
못해	못하/VX+아/EC
생업에	생업/NNG+에/JKB
큰	크/VA+ㄴ/ETM
피해를	피해/NNG+를/JKO
당한	당하/VV+ㄴ/ETM
국민들에게는	국민/NNG+들/XSN+에게/JKB+는/JX
적절한	적절하/VA+ㄴ/ETM
보상이	보상/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
없고,	없/VA+고/EC+,/SP
에스케이텔레콤	에스케이텔레콤/NNP
가입자와	가입자/NNG+와/JKB
연락이	연락/NNG+이/JKS
절실했던	절실하/VA+았/EP+던/ETM
케이티(KT)와	케이티/NNP+(/SS+KT/SL+)/SS+와/JC
엘지유플러스(LGU+)	엘지유플러스/NNP+(/SS+LGU/SL++/SW+)/SS
가입자들의	가입자/NNG+들/XSN+의/JKG
피해는	피해/NNG+는/JX
완전히	완전히/MAG
외면하는	외면/NNG+하/XSV+는/ETM
처사라고	처사/NNG+이/VCP+라고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.13.3.2
참여연대의 안진걸 협동사무처장은 “에스케이텔레콤은 이동통신 3사 시장독과점 구조의 정점에서 폭리를 취하고 있다는 의혹을 받아온 사업자라서 이용자들의 본노와 실망이 크다.

참여연대의	참여연대/NNP+의/JKG
안진걸	안진걸/NNP
협동사무처장은	협동/NNG+사무처장/NNG+은/JX
“에스케이텔레콤은	“/SS+에스케이텔레콤/NNP+은/JX
이동통신	이동/NNG+통신/NNG
3사	3/SN+사/NNG
시장독과점	시장/NNG+독과점/NNG
구조의	구조/NNG+의/JKG
정점에서	정점/NNG+에서/JKB
폭리를	폭리/NNG+를/JKO
취하고	취하/VV+고/EC
있다는	있/VX+다는/ETM
의혹을	의혹/NNG+을/JKO
받아온	받/VV+아/EC+오/VX+ㄴ/ETM
사업자라서	사업자/NNG+이/VCP+라서/EC
이용자들의	이용자/NNG+들/XSN+의/JKG
본노와	본노/NNP+와/JC
실망이	실망/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000044.13.3.3
대리기사, 케이티 가입자, 엘지유플러스 가입자 중 각각 50명씩을 모아 소비자원에 소비자집단분쟁을 신청할 계획”이라고 말했다.

대리기사,	대리/NNG+기사/NNG+,/SP
케이티	케이티/NNP
가입자,	가입자/NNG+,/SP
엘지유플러스	엘지유플러스/NNP
가입자	가입자/NNG
중	중/NNB
각각	각각/MAG
50명씩을	50/SN+명/NNB+씩/XSN+을/JKO
모아	모으/VV+아/EC
소비자원에	소비자원/NNP+에/JKB
소비자집단분쟁을	소비자/NNG+집단/NNG+분쟁/NNG+을/JKO
신청할	신청/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.13.4.1
소비자집단분쟁조정이란 50명 이상의 소비자가 동일 제품이나 서비스로 피해를 봤을 때 시·군·구 단위의 지방자치단체나 소비자원 등에 보상에 대한 분쟁 조정을 신청하는 제도다.

