# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.398
metadata : {}


# id : NWRW1800000022.398.1.1
[세종시 논란 가열] 親朴 "칼 맞으면서 정권 만들어 놨더니…" 親李 "표 때문이었다고, 차라리 솔직해져라";與 세종시 內戰 親朴, 마치 야당처럼 정운찬 총리 벌떼공격

[세종시	[/SS+세종시/NNP
논란	논란/NNG
가열]	가열/NNG+]/SS
親朴	親朴/SH
"칼	"/SS+칼/NNG
맞으면서	맞/VV+으면서/EC
정권	정권/NNG
만들어	만들/VV+어/EC
놨더니…"	놓/VX+았/EP+더니/EC+…/SE+"/SS
親李	親李/SH
"표	"/SS+표/NNG
때문이었다고,	때문/NNB+이/VCP+었/EP+다고/EC+,/SP
차라리	차라리/MAG
솔직해져라";與	솔직하/VA+아/EC+지/VX+어라/EF+"/SS+;/SP+與/SH
세종시	세종시/NNP
內戰	內戰/SH
親朴,	親朴/SH+,/SP
마치	마치/MAG
야당처럼	야당/NNG+처럼/JKB
정운찬	정운찬/NNP
총리	총리/NNG
벌떼공격	벌/NNG+떼/NNG+공격/NNG


# id : NWRW1800000022.398.2.1
세종시 수정을 둘러싼 한나라당 주류와 비주류 진영의 갈등이 9일부터는 냉전(冷戰)에서 열전(熱戰)으로 치달았다.

세종시	세종시/NNP
수정을	수정/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
한나라당	한나라당/NNP
주류와	주류/NNG+와/JC
비주류	비/XPN+주류/NNG
진영의	진영/NNG+의/JKG
갈등이	갈등/NNG+이/JKS
9일부터는	9/SN+일/NNB+부터/JX+는/JX
냉전(冷戰)에서	냉전/NNG+(/SS+冷戰/SH+)/SS+에서/JKB
열전(熱戰)으로	열전/NNG+(/SS+熱戰/SH+)/SS+으로/JKB
치달았다.	치닫/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.398.2.2
친(親)박근혜 진영은 이날 세종시 수정을 논의하기 위해 당내에 설치된 '여론수렴 특위'에 불참하겠다는 입장을 공식화했다.

친(親)박근혜	친/XPN+(/SS+親/SH+)/SS+박근혜/NNP
진영은	진영/NNG+은/JX
이날	이날/NNG
세종시	세종시/NNP
수정을	수정/NNG+을/JKO
논의하기	논의/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
당내에	당내/NNG+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
