# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.22
metadata : {}


# id : NWRW1800000041.22.1.1
유플릭스 무비 “폭발적 인기에 연내 20만 가입자 돌파 예상”

유플릭스	유플릭스/NNP
무비	무비/NNG
“폭발적	“/SS+폭발/NNG+적/XSN
인기에	인기/NNG+에/JKB
연내	연내/NNG
20만	20/SN+만/NR
가입자	가입자/NNG
돌파	돌파/NNG
예상”	예상/NNG+”/SS


# id : NWRW1800000041.22.2.1
LG유플러스 무제한 동영상 플랫폼 ‘유플릭스 무비’ 출시 한달

LG유플러스	LG유플러스/NNP
무제한	무/XPN+제한/NNG
동영상	동영상/NNG
플랫폼	플랫폼/NNG
‘유플릭스	‘/SS+유플릭스/NNP
무비’	무비/NNG+’/SS
출시	출시/NNG
한달	한/MMN+달/NNB


# id : NWRW1800000041.22.3.1
버락 오바마 미국 대통령이 스스로 애청자라고 밝힌 미국의 동영상 서비스 ‘넷플릭스’는 가입자가 4800만 명에 육박한다.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
스스로	스스로/MAG
애청자라고	애청자/NNG+이/VCP+라고/EC
밝힌	밝히/VV+ㄴ/ETM
미국의	미국/NNP+의/JKG
동영상	동영상/NNG
서비스	서비스/NNG
‘넷플릭스’는	‘/SS+넷플릭스/NNP+’/SS+는/JX
가입자가	가입자/NNG+가/JKS
4800만	4800/SN+만/NR
명에	명/NNB+에/JKB
육박한다.	육박/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.22.3.2
올해 1분기(1∼3월)에만 매출 12억7000만 달러(약 1조2954억 원)를 거뒀다.

올해	올해/NNG
1분기(1∼3월)에만	1/SN+분기/NNG+(/SS+1/SN+∼/SO+3/SN+월/NNB+)/SS+에/JKB+만/JX
매출	매출/NNG
12억7000만	12/SN+억/NR+7000/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
1조2954억	1/SN+조/NR+2954/SN+억/NR
원)를	원/NNB+)/SS+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.22.3.3
이런 성공의 비결은 한 달에 1만 원도 안 되는 돈(월 8.99달러)을 내면 무제한으로 영화와 드라마를 볼 수 있는 점이다.

이런	이런/MMD
성공의	성공/NNG+의/JKG
비결은	비결/NNG+은/JX
한	한/MMN
달에	달/NNB+에/JKB
1만	1/SN+만/NR
원도	원/NNB+도/JX
안	안/MAG
되는	되/VV+는/ETM
돈(월	돈/NNG+(/SS+월/NNG
8.99달러)을	8/SN+./SP+99/SN+달러/NNB+)/SS+을/JKO
내면	내/VV+면/EC
무제한으로	무/XPN+제한/NNG+으로/JKB
영화와	영화/NNG+와/JC
드라마를	드라마/NNG+를/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.22.3.4
‘정액(定額)제 무제한 콘텐츠’의 성공 방정식은 책으로 확산돼 아마존은 60만 권의 전자책을 월 9.99달러에 볼 수 있는 ‘킨들 언리미티드(unlimited)’ 서비스를 내놓을 예정이다.

‘정액(定額)제	‘/SS+정액/NNG+(/SS+定額/SH+)/SS+제/XSN
무제한	무/XPN+제한/NNG
콘텐츠’의	콘텐츠/NNG+’/SS+의/JKG
성공	성공/NNG
방정식은	방정식/NNG+은/JX
책으로	책/NNG+으로/JKB
확산돼	확산/NNG+되/XSV+어/EC
아마존은	아마존/NNP+은/JX
60만	60/SN+만/NR
권의	권/NNB+의/JKG
전자책을	전자책/NNG+을/JKO
월	월/NNG
9.99달러에	9/SN+./SP+99/SN+달러/NNB+에/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘킨들	‘/SS+킨들/NNP
언리미티드(unlimited)’	언리미티드/NNP+(/SS+unlimited/SL+)/SS+’/SS
서비스를	서비스/NNG+를/JKO
내놓을	내놓/VV+을/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.22.4.1
한국에서도 처음으로 무제한 정액제 동영상 서비스가 탄생했다.

한국에서도	한국/NNP+에서/JKB+도/JX
처음으로	처음/NNG+으로/JKB
무제한	무/XPN+제한/NNG
정액제	정액/NNG+제/XSN
동영상	동영상/NNG
서비스가	서비스/NNG+가/JKS
탄생했다.	탄생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.22.4.2
LG유플러스가 6월 출시한 ‘유플릭스 무비’로 국내 동영상 플랫폼 중 최다인 1만2000여 편의 영화 콘텐츠를 월 7000원에 모바일과 PC, 인터넷TV(IPTV)에서 마음대로 볼 수 있다.

LG유플러스가	LG유플러스/NNP+가/JKS
6월	6/SN+월/NNB
출시한	출시/NNG+하/XSV+ㄴ/ETM
‘유플릭스	‘/SS+유플릭스/NNP
무비’로	무비/NNG+’/SS+로/JKB
국내	국내/NNG
동영상	동영상/NNG
플랫폼	플랫폼/NNG
중	중/NNB
최다인	최다/NNG+이/VCP+ㄴ/ETM
1만2000여	1/SN+만/NR+2000/SN+여/XSN
편의	편/NNB+의/JKG
영화	영화/NNG
콘텐츠를	콘텐츠/NNG+를/JKO
월	월/NNG
7000원에	7000/SN+원/NNB+에/JKB
모바일과	모바일/NNG+과/JC
PC,	PC/SL+,/SP
인터넷TV(IPTV)에서	인터넷/NNG+TV/SL+(/SS+IPTV/SL+)/SS+에서/JKB
마음대로	마음대로/MAG
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.22.4.3
반응은 폭발적이다.

반응은	반응/NNG+은/JX
폭발적이다.	폭발/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000041.22.4.4
성인창 LG유플러스 SD본부 차장은 “올해 안에만 20만 명 이상의 가입자를 유치할 수 있을 것 같다”고 말했다.

성인창	성인창/NNP
LG유플러스	LG유플러스/NNP
SD본부	SD/SL+본부/NNG
차장은	차장/NNG+은/JX
“올해	“/SS+올해/NNG
안에만	안/NNG+에/JKB+만/JX
20만	20/SN+만/NR
명	명/NNB
이상의	이상/NNG+의/JKG
가입자를	가입자/NNG+를/JKO
유치할	유치/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.22.5.1
‘한국형 넷플릭스’를 만들기 위한 태스크포스(TF)팀이 LG유플러스 내 꾸려진 건 지난해 12월.

‘한국형	‘/SS+한국/NNP+형/XSN
넷플릭스’를	넷플릭스/NNP+’/SS+를/JKO
만들기	만들/VV+기/ETN
위한	위하/VV+ㄴ/ETM
태스크포스(TF)팀이	태스크포스/NNG+(/SS+TF/SL+)/SS+팀/NNG+이/JKS
LG유플러스	LG유플러스/NNP
내	내/NNB
꾸려진	꾸리/VV+어/EC+지/VX+ㄴ/ETM
건	거/NNB+ㄴ/JX
지난해	지난해/NNG
12월.	12/SN+월/NNB+./SF


# id : NWRW1800000041.22.5.2
서비스가 성공하려면 ‘어둠의 경로(불법 웹하드 등)’를 이용하는 소비자들을 양지로 끌어올려야 했다.

서비스가	서비스/NNG+가/JKS
성공하려면	성공/NNG+하/XSV+려면/EC
‘어둠의	‘/SS+어둠/NNG+의/JKG
경로(불법	경로/NNG+(/SS+불법/NNG
웹하드	웹/NNG+하드/NNG
등)’를	등/NNB+)/SS+’/SS+를/JKO
이용하는	이용/NNG+하/XSV+는/ETM
소비자들을	소비자/NNG+들/XSN+을/JKO
양지로	양지/NNG+로/JKB
끌어올려야	끌어올리/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.22.5.3
국내에는 아직 넷플릭스와 같은 무제한 동영상 서비스가 없어 많은 이들이 ‘음지’를 이용하는 실정이었다.

국내에는	국내/NNG+에/JKB+는/JX
