# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.112
metadata : {}


# id : NWRW1800000040.112.1.1
ℓ당 111㎞ ‘연비 끝판왕’ XL1…친환경차 총출동

ℓ당	ℓ/SW+당/XSN
111㎞	111/SN+㎞/SW
‘연비	‘/SS+연비/NNG
끝판왕’	끝판왕/NNG+’/SS
XL1…친환경차	XL/SL+1/SN+…/SE+친/XPN+환경/NNG+차/NNG
총출동	총출동/NNG


# id : NWRW1800000040.112.2.1
‘제네바 모터쇼’ 트렌드 보니

‘제네바	‘/SS+제네바/NNP
모터쇼’	모터쇼/NNG+’/SS
트렌드	트렌드/NNG
보니	보/VV+니/EC


# id : NWRW1800000040.112.3.1
EU, CO₂ 배출량 규제 점점 강화

EU,	EU/SL+,/SP
CO₂	CO/SL+₂/SN
배출량	배출량/NNG
규제	규제/NNG
점점	점점/MAG
강화	강화/NNG


# id : NWRW1800000040.112.4.1
2020년까지 연비 30% 개선해야

2020년까지	2020/SN+년/NNB+까지/JX
연비	연비/NNG
30%	30/SN+%/SW
개선해야	개선/NNG+하/XSV+아야/EC


# id : NWRW1800000040.112.5.1
세계업계 앞다퉈 전기충전차 내놔

세계업계	세계/NNG+업계/NNG
앞다퉈	앞다투/VV+어/EC
전기충전차	전기/NNG+충전/NNG+차/NNG
내놔	내놓/VV+아/EC


# id : NWRW1800000040.112.6.1
5일(현지시각) 스위스에서 개막한 제네바 모터쇼는 ‘정직’하다.

5일(현지시각)	5/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
스위스에서	스위스/NNP+에서/JKB
개막한	개막/NNG+하/XSV+ㄴ/ETM
제네바	제네바/NNP
모터쇼는	모터쇼/NNG+는/JX
‘정직’하다.	‘/SS+정직/NNG+’/SS+하/XSA+다/EF+./SF


# id : NWRW1800000040.112.6.2
세계 주요 모터쇼로 꼽히는 디트로이트(미국)·프랑크푸르트(독일)·파리(프랑스) 모터쇼가 주최국에 기반을 둔 완성차 업체 중심으로 행사를 운영하는 탓에 빚어지는 왜곡 현상이 상대적으로 덜하다.

세계	세계/NNG
주요	주요/NNG
모터쇼로	모터쇼/NNG+로/JKB
꼽히는	꼽히/VV+는/ETM
