# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.5
metadata : {}


# id : NWRW1800000045.5.1.1
모바일-직구 열풍에… 백화점 11년만에 뒷걸음

모바일-직구	모바일/NNG+-/SO+직구/NNG
열풍에…	열풍/NNG+에/JKB+…/SE
백화점	백화점/NNG
11년만에	11/SN+년/NNB+만/NNB+에/JKB
뒷걸음	뒷걸음/NNG


# id : NWRW1800000045.5.2.1
2014년 유통업계 실적 살펴보니

2014년	2014/SN+년/NNB
유통업계	유통업/NNG+계/XSN
실적	실적/NNG
살펴보니	살펴보/VV+니/EC


# id : NWRW1800000045.5.3.1
백화점·대형마트 ‘비’, 홈쇼핑 ‘구름 많음’, 편의점 ‘맑음’, 면세점 ‘매우 맑음’….

백화점·대형마트	백화점/NNG+·/SP+대형/NNG+마트/NNG
‘비’,	‘/SS+비/NNG+’/SS+,/SP
홈쇼핑	홈쇼핑/NNG
‘구름	‘/SS+구름/NNG
많음’,	많/VA+음/ETN+’/SS+,/SP
편의점	편의점/NNG
‘맑음’,	‘/SS+맑음/NNG+’/SS+,/SP
면세점	면세점/NNG
‘매우	‘/SS+매우/MAG
맑음’….	맑음/NNG+’/SS+…/SE+./SF


# id : NWRW1800000045.5.4.1
유통업계가 지난해 실적을 잇달아 내놓으며 업태별로 희비가 엇갈렸다.

유통업계가	유통업/NNG+계/XSN+가/JKS
지난해	지난해/NNG
실적을	실적/NNG+을/JKO
잇달아	잇달/VV+아/EC
내놓으며	내놓/VV+으며/EC
업태별로	업태/NNG+별/XSN+로/JKB
희비가	희비/NNG+가/JKS
엇갈렸다.	엇갈리/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.5.4.2
경기 불황이 장기화하며 소비심리가 위축된 가운데 백화점이나 대형마트 등 전통적인 오프라인 채널이 침체의 늪에 빠진 반면 온라인과 모바일 부문은 가파르게 성장했다.

경기	경기/NNG
불황이	불황/NNG+이/JKS
장기화하며	장기/NNG+화/XSN+하/XSV+며/EC
소비심리가	소비/NNG+심리/NNG+가/JKS
위축된	위축/NNG+되/XSV+ㄴ/ETM
가운데	가운데/NNG
백화점이나	백화점/NNG+이나/JC
대형마트	대형/NNG+마트/NNG
등	등/NNB
전통적인	전통/NNG+적/XSN+이/VCP+ㄴ/ETM
오프라인	오프라인/NNG
채널이	채널/NNG+이/JKS
침체의	침체/NNG+의/JKG
늪에	늪/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
반면	반면/NNG
온라인과	온라인/NNG+과/JC
모바일	모바일/NNG
부문은	부문/NNG+은/JX
가파르게	가파르/VA+게/EC
성장했다.	성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.5.4.3
중국인 관광객(遊客·유커)의 힘으로 면세점 성장률이 두드러진 것도 특징이다.

중국인	중국인/NNG
관광객(遊客·유커)의	관광객/NNG+(/SS+遊客/SH+·/SP+유커/NNG+)/SS+의/JKG
힘으로	힘/NNG+으로/JKB
면세점	면세점/NNG
성장률이	성장/NNG+률/XSN+이/JKS
두드러진	두드러지/VV+ㄴ/ETM
것도	것/NNB+도/JX
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.5.5.1
○ 백화점 ‘비’

○	○/SW
백화점	백화점/NNG
‘비’	‘/SS+비/NNG+’/SS


# id : NWRW1800000045.5.6.1
