# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.125
metadata : {}


# id : NWRW1800000045.125.1.1
자유학년제 고교생, 학원-과외 사교육 1년동안 못 받는다

자유학년제	자유/NNG+학년/NNG+제/XSN
고교생,	고교/NNG+생/XSN+,/SP
학원-과외	학원/NNG+-/SO+과외/NNG
사교육	사교육/NNG
1년동안	1/SN+년/NNB+동안/NNG
못	못/MAG
받는다	받/VV+는다/EF


# id : NWRW1800000045.125.2.1
서울교육청 5월부터 시행… ‘오디세이 학교’ 유의할 사항

서울교육청	서울교육청/NNP
5월부터	5/SN+월/NNB+부터/JX
시행…	시행/NNG+…/SE
‘오디세이	‘/SS+오디세이/NNG
학교’	학교/NNG+’/SS
유의할	유의/NNG+하/XSV+ㄹ/ETM
사항	사항/NNG


# id : NWRW1800000045.125.3.1
서울시교육청이 5월부터 운영하는 자유학년제(일명 오디세이 학교)에 학부모와 학생들의 관심이 쏠리고 있다.

서울시교육청이	서울시교육청/NNP+이/JKS
5월부터	5/SN+월/NNB+부터/JX
운영하는	운영/NNG+하/XSV+는/ETM
자유학년제(일명	자유/NNG+학년/NNG+제/XSN+(/SS+일명/NNG
오디세이	오디세이/NNG
학교)에	학교/NNG+)/SS+에/JKB
학부모와	학부모/NNG+와/JC
학생들의	학생/NNG+들/XSN+의/JKG
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.125.3.2
오디세이 학교는 서울지역 고1 학생 40명이 1년간 소속 고교를 떠나 토론 중심 수업과 진로 탐색, 체험 활동을 하고 인턴십 등을 받는다.

오디세이	오디세이/NNG
학교는	학교/NNG+는/JX
서울지역	서울지역/NNP
고1	고/NNG+1/SN
학생	학생/NNG
40명이	40/SN+명/NNB+이/JKS
1년간	1/SN+년/NNB+간/XSN
소속	소속/NNG
고교를	고교/NNG+를/JKO
떠나	떠나/VV+아/EC
토론	토론/NNG
중심	중심/NNG
수업과	수업/NNG+과/JC
진로	진로/NNG
탐색,	탐색/NNG+,/SP
체험	체험/NNG
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
인턴십	인턴십/NNG
등을	등/NNB+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000045.125.3.3
하지만 기존 학교와 수업 방식 및 운영 취지가 다르기 때문에 유의해야 할 점도 있다.

하지만	하지만/MAJ
기존	기존/NNG
학교와	학교/NNG+와/JC
수업	수업/NNG
방식	방식/NNG
및	및/MAG
운영	운영/NNG
취지가	취지/NNG+가/JKS
다르기	다르/VA+기/ETN
때문에	때문/NNB+에/JKB
유의해야	유의/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
점도	점/NNG+도/JX
