# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.94
metadata : {}


# id : NWRW1800000036.94.1.1
소득세율 75% 현실화 우려에 프랑스 부자들 “진짜 이민갈까요?”

소득세율	소득세/NNG+율/XSN
75%	75/SN+%/SW
현실화	현실/NNG+화/XSN
우려에	우려/NNG+에/JKB
프랑스	프랑스/NNP
부자들	부자/NNG+들/XSN
“진짜	“/SS+진짜/MAG
이민갈까요?”	이민/NNG+가/VV+ㄹ까/EF+요/JX+?/SF+”/SS


# id : NWRW1800000036.94.2.1
[한겨레] ‘올랑드 부자증세안’ 상·하원 통과

[한겨레]	[/SS+한겨레/NNP+]/SS
‘올랑드	‘/SS+올랑드/NNP
부자증세안’	부자/NNG+증세안/NNG+’/SS
상·하원	상·하원/NNG
통과	통과/NNG


# id : NWRW1800000036.94.3.1
상위 0.05% ‘해외 이주 문의’ 빗발

상위	상위/NNG
0.05%	0/SN+./SP+05/SN+%/SW
‘해외	‘/SS+해외/NNG
이주	이주/NNG
문의’	문의/NNG+’/SS
빗발	빗발/NNG


# id : NWRW1800000036.94.4.1
프랑스 파리의 기업·부유층 세금 전문 변호사인 뱅상 그랑딜의 사무실에는 최근 문의전화가 빗발친다.

프랑스	프랑스/NNP
파리의	파리/NNP+의/JKG
기업·부유층	기업/NNG+·/SP+부유/NNG+층/XSN
세금	세금/NNG
전문	전문/NNG
변호사인	변호사/NNG+이/VCP+ㄴ/ETM
뱅상	뱅상/NNP
그랑딜의	그랑딜/NNP+의/JKG
사무실에는	사무실/NNG+에/JKB+는/JX
최근	최근/MAG
문의전화가	문의/NNG+전화/NNG+가/JKS
빗발친다.	빗발치/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.94.4.2
고객들이 묻는 것은 한결같다.

고객들이	고객/NNG+들/XSN+이/JKS
묻는	묻/VV+는/ETM
것은	것/NNB+은/JX
한결같다.	한결같/VA+다/EF+./SF


# id : NWRW1800000036.94.4.3
“프랑스를 떠날 준비를 해야 할까요?”

“프랑스를	“/SS+프랑스/NNP+를/JKO
떠날	떠나/VV+ㄹ/ETM
준비를	준비/NNG+를/JKO
해야	하/VV+아야/EC
할까요?”	하/VX+ㄹ까/EF+요/JX+?/SF+”/SS


# id : NWRW1800000036.94.4.4
그랑딜의 대답은 유보적이다.

그랑딜의	그랑딜/NNP+의/JKG
대답은	대답/NNG+은/JX
유보적이다.	유보/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000036.94.4.5
“일단 기다려 보시죠.”

“일단	“/SS+일단/MAG
기다려	기다리/VV+어/EC
보시죠.”	보/VX+시/EP+죠/EF+./SF+”/SS


# id : NWRW1800000036.94.5.1
미국 <뉴욕타임스>는 프랑스 기업과 부유층들이 프랑수아 올랑드 정부의 ‘부자증세’에 대한 우려로 실제 이주 채비를 하고 있다고 7일 보도했다.

미국	미국/NNP
<뉴욕타임스>는	</SS+뉴욕타임스/NNP+>/SS+는/JX
프랑스	프랑스/NNP
기업과	기업/NNG+과/JC
부유층들이	부유/NNG+층/XSN+들/XSN+이/JKS
프랑수아	프랑수아/NNP
올랑드	올랑드/NNP
정부의	정부/NNG+의/JKG
‘부자증세’에	‘/SS+부자/NNG+증세/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
우려로	우려/NNG+로/JKB
실제	실제/NNG
이주	이주/NNG
채비를	채비/NNG+를/JKO
하고	하/VV+고/EC
있다고	있/VX+다고/EC
7일	7/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.94.5.2
올랑드 대통령은 후보 시절 연간 100만유로(약 14억원) 이상 고소득자에 대해 ‘최고세율 75%’의 소득세를 물리겠다고 선언했으며, 이를 현실화한 2012년 수정 예산안이 최근 상·하원을 통과한 바 있다.

올랑드	올랑드/NNP
대통령은	대통령/NNG+은/JX
후보	후보/NNG
시절	시절/NNG
연간	연간/NNG
100만유로(약	100/SN+만/NR+유로/NNB+(/SS+약/MMA
14억원)	14/SN+억/NR+원/NNB+)/SS
이상	이상/NNG
고소득자에	고소득자/NNG+에/JKB
대해	대하/VV+아/EC
‘최고세율	‘/SS+최고/NNG+세율/NNG
75%’의	75/SN+%/SW+’/SS+의/JKG
소득세를	소득세/NNG+를/JKO
물리겠다고	물리/VV+겠/EP+다고/EC
선언했으며,	선언/NNG+하/XSV+았/EP+으며/EC+,/SP
이를	이/NP+를/JKO
현실화한	현실/NNG+화/XSN+하/XSV+ㄴ/ETM
2012년	2012/SN+년/NNB
수정	수정/NNG
예산안이	예산안/NNG+이/JKS
최근	최근/MAG
상·하원을	상·하원/NNG+을/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.94.6.1
프랑스 국민 6500만명 중 75% 세율을 적용받는 인구는 3만명 수준에 불과하다.

프랑스	프랑스/NNP
국민	국민/NNG
6500만명	6500/SN+만/NR+명/NNB
중	중/NNB
75%	75/SN+%/SW
세율을	세율/NNG+을/JKO
적용받는	적용/NNG+받/XSV+는/ETM
인구는	인구/NNG+는/JX
3만명	3/SN+만/NR+명/NNB
수준에	수준/NNG+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000036.94.6.2
프랑스 정부가 내년도 균형예산을 위해 더 걷어야 할 세수 330억유로에 비하면 액수도 미미하다.

프랑스	프랑스/NNP
정부가	정부/NNG+가/JKS
내년도	내년도/NNG
균형예산을	균형/NNG+예산/NNG+을/JKO
위해	위하/VV+아/EC
더	더/MAG
걷어야	걷/VV+어야/EC
할	하/VX+ㄹ/ETM
세수	세수/NNG
330억유로에	330/SN+억/NR+유로/NNB+에/JKB
비하면	비/NNG+하/XSV+면/EC
액수도	액수/NNG+도/JX
미미하다.	미미하/VA+다/EF+./SF


# id : NWRW1800000036.94.6.3
전문가들이 세수확대 보다는 정치적 상징을 고려한 조처라고 평가절하할 정도다.

전문가들이	전문가/NNG+들/XSN+이/JKS
세수확대	세수/NNG+확대/NNG
보다는	보다/JKB+는/JX
정치적	정치/NNG+적/XSN
상징을	상징/NNG+을/JKO
고려한	고려/NNG+하/XSV+ㄴ/ETM
조처라고	조처/NNG+이/VCP+라고/EC
평가절하할	평가/NNG+절하/NNG+하/XSV+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.94.6.4
또 재무장관이 직접 이런 세율은 균형예산을 위한 일시적 조처라고 강조하기도 했다.

또	또/MAG
재무장관이	재무/NNG+장관/NNG+이/JKS
직접	직접/MAG
이런	이런/MMD
세율은	세율/NNG+은/JX
균형예산을	균형/NNG+예산/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
일시적	일시/NNG+적/XSN
조처라고	조처/NNG+이/VCP+라고/EC
강조하기도	강조/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.94.7.1
그러나 당사자인 ‘상위 0.05%’의 반응은 극도로 예민하다.

그러나	그러나/MAJ
당사자인	당사자/NNG+이/VCP+ㄴ/ETM
‘상위	‘/SS+상위/NNG
0.05%’의	0/SN+./SP+05/SN+%/SW+’/SS+의/JKG
반응은	반응/NNG+은/JX
극도로	극도/NNG+로/JKB
예민하다.	예민하/VA+다/EF+./SF


# id : NWRW1800000036.94.7.2
그랑딜은 “심지어 1년에 20만유로 이상을 버는 젊은이들도 돈 버는 것을 좋은 일로 여기지 않는 이 나라에 남아야 할 것인지 의문을 품고 있다”며 부자들의 ‘엑소더스’를 경고했다.

그랑딜은	그랑딜/NNP+은/JX
“심지어	“/SS+심지어/MAG
1년에	1/SN+년/NNB+에/JKB
20만유로	20/SN+만/NR+유로/NNB
이상을	이상/NNG+을/JKO
버는	벌/VV+는/ETM
젊은이들도	젊은이/NNG+들/XSN+도/JX
돈	돈/NNG
것을	것/NNB+을/JKO
좋은	좋/VA+은/ETM
일로	일/NNG+로/JKB
여기지	여기/VV+지/EC
않는	않/VX+는/ETM
이	이/MMD
나라에	나라/NNG+에/JKB
남아야	남/VV+아야/EC
할	하/VX+ㄹ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EF
의문을	의문/NNG+을/JKO
품고	품/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
부자들의	부자/NNG+들/XSN+의/JKG
‘엑소더스’를	‘/SS+엑소더스/NNG+’/SS+를/JKO
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.94.7.3
<뉴욕타임스>는 부유층 고객과 기업을 대상으로 하는 컨설턴트, 변호사, 회계사, 부동산 중계인들의 말을 따 프랑스의 많은 기업들이 만일의 사태에 대비해 고연봉 경영진들을 국외로 이주시킬 계획을 세우고 있다고 전했다.

<뉴욕타임스>는	</SS+뉴욕타임스/NNP+>/SS+는/JX
부유층	부유/NNG+층/XSN
고객과	고객/NNG+과/JC
기업을	기업/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
하는	하/VV+는/ETM
컨설턴트,	컨설턴트/NNG+,/SP
변호사,	변호사/NNG+,/SP
회계사,	회계사/NNG+,/SP
부동산	부동산/NNG
중계인들의	중계인/NNG+들/XSN+의/JKG
말을	말/NNG+을/JKO
따	따/VV+아/EC
프랑스의	프랑스/NNP+의/JKG
많은	많/VA+은/ETM
기업들이	기업/NNG+들/XSN+이/JKS
만일의	만일/NNG+의/JKG
사태에	사태/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
고연봉	고/XPN+연봉/NNG
경영진들을	경영진/NNG+들/XSN+을/JKO
국외로	국외/NNG+로/JKB
이주시킬	이주/NNG+시키/XSV+ㄹ/ETM
계획을	계획/NNG+을/JKO
세우고	세우/VV+고/EC
있다고	있/VX+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.94.7.4
특히 그들 중 일부는 이미 영국, 벨기에, 스위스, 미국으로 떠나기 위해 짐을 싼 것으로 알려졌다.

특히	특히/MAG
그들	그/NP+들/XSN
중	중/NNB
일부는	일부/NNG+는/JX
이미	이미/MAG
영국,	영국/NNP+,/SP
벨기에,	벨기에/NNP+,/SP
스위스,	스위스/NNP+,/SP
미국으로	미국/NNP+으로/JKB
떠나기	떠나/VV+기/ETN
위해	위하/VV+아/EC
짐을	짐/NNG+을/JKO
싼	싸/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.94.8.1
프랑스 상류층들은 1980년대 프랑수아 미테랑 대통령 당시 증세에 항의하며 스위스, 벨기에 등지로 대거 이주한 전례가 있다.

프랑스	프랑스/NNP
상류층들은	상류/NNG+층/XSN+들/XSN+은/JX
1980년대	1980/SN+년대/NNB
프랑수아	프랑수아/NNP
미테랑	미테랑/NNP
대통령	대통령/NNG
당시	당시/NNG
증세에	증세/NNG+에/JKB
항의하며	항의/NNG+하/XSV+며/EC
스위스,	스위스/NNP+,/SP
벨기에	벨기에/NNP
등지로	등지/NNB+로/JKB
대거	대거/MAG
이주한	이주/NNG+하/XSV+ㄴ/ETM
전례가	전례/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.94.8.2
최근에는 빅토리아 시크릿 속옷 모델 출신 배우 래티시아 카스타, 국민가수 자니 할리데이 등이 세금을 피해 프랑스를 떠나 논란이 됐다.

최근에는	최근/NNG+에/JKB+는/JX
빅토리아	빅토리아/NNP
시크릿	시크릿/NNP
속옷	속옷/NNG
모델	모델/NNG
출신	출신/NNG
배우	배우/NNG
래티시아	래티시아/NNP
카스타,	카스타/NNP+,/SP
국민가수	국민/NNG+가수/NNG
자니	자니/NNP
할리데이	할리데이/NNP
등이	등/NNB+이/JKS
세금을	세금/NNG+을/JKO
피해	피하/VV+아/EC
프랑스를	프랑스/NNP+를/JKO
떠나	떠나/VV+아/EC
논란이	논란/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.94.9.1
상대적으로 최고세율이 낮은 이웃 나라들은 프랑스 출신 부자들의 이민을 쌍수를 들고 환영한다는 입장이다.

상대적으로	상대/NNG+적/XSN+으로/JKB
최고세율이	최고/NNG+세율/NNG+이/JKS
낮은	낮/VA+은/ETM
이웃	이웃/NNG
나라들은	나라/NNG+들/XSN+은/JX
프랑스	프랑스/NNP
출신	출신/NNG
부자들의	부자/NNG+들/XSN+의/JKG
이민을	이민/NNG+을/JKO
쌍수를	쌍수/NNG+를/JKO
들고	들/VV+고/EC
환영한다는	환영/NNG+하/XSV+ㄴ다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.94.9.2
데이비드 캐머런 영국 총리가 지난 6월 G20 정상회담에서 “레드 카펫을 깔고 환영하겠다”고 빈정댄 것이 대표적인 예다.

데이비드	데이비드/NNP
캐머런	캐머런/NNP
영국	영국/NNP
총리가	총리/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
G20	G/SL+20/SN
정상회담에서	정상/NNG+회담/NNG+에서/JKB
“레드	“/SS+레드/NNG
카펫을	카펫/NNG+을/JKO
깔고	깔/VV+고/EC
환영하겠다”고	환영/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
빈정댄	빈정대/VV+ㄴ/ETM
것이	것/NNB+이/JKS
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
예다.	예/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.94.9.3
